N	2gram	Berdyaev_O	Komedia
1	и в	19	77
2	и не	13	47
3	в том	5	44
4	том что	2	42
5	о том	3	33
6	т е	4	33
7	но и	13	32
8	может быть	11	30
9	из них	1	29
10	и его	4	28
11	в этом	12	27
12	потому что	9	27
13	что он	3	26
14	не только	11	25
15	так как	2	24
16	как и	6	23
17	что в	4	23
18	в самом	5	22
19	что и	2	22
20	если бы	1	22
21	в конце	1	21
22	так и	2	21
23	а в	5	21
24	в его	7	20
25	к этому	2	19
26	со стороны	1	19
27	в этой	5	18
28	тем что	2	17
29	в нем	10	17
30	и здесь	1	17
31	еще не	3	17
32	все же	2	16
33	у него	22	16
34	он не	7	16
35	действующих лиц	1	16
36	и сам	1	16
37	не в	11	15
38	в своем	2	15
39	его в	2	15
40	в которой	2	15
41	один из	1	15
42	и на	2	15
43	было бы	3	15
44	прежде всего	9	15
45	и с	2	14
46	к нему	3	14
47	все это	6	14
48	самом деле	1	13
49	о чем	1	13
50	в них	1	13
51	в одном	1	13
52	что она	1	13
53	так что	2	13
54	то что	5	13
55	того чтобы	4	13
56	но в	2	13
57	в котором	1	12
58	для того	3	12
59	хотя и	2	12
60	как это	1	12
61	как в	1	12
62	уже в	2	12
63	в истории	2	12
64	не по	1	12
65	не может	4	12
66	но не	1	12
67	и даже	1	11
68	с тем	2	11
69	с ним	3	11
70	на этот	1	11
71	и для	2	11
72	в частности	1	11
73	к ней	2	11
74	сразу же	2	10
75	он был	8	10
76	как бы	3	10
77	и что	1	10
78	в отношении	1	10
79	и все	10	10
80	в глазах	1	10
81	с его	4	10
82	ничего не	2	10
83	мы не	1	10
84	отношение к	5	10
85	все что	3	9
86	в своей	2	9
87	о его	5	9
88	того как	1	9
89	вовсе не	1	9
90	в ней	1	9
91	что у	2	8
92	не было	9	8
93	бы в	1	8
94	можно было	1	8
95	что для	2	8
96	да и	1	8
97	по содержанию	1	8
98	и других	1	8
99	и ее	3	8
100	и к	2	7
101	в этих	3	7
102	во всяком	1	7
103	вопрос о	10	7
104	хотя бы	3	7
105	в другом	2	7
106	ii в	1	7
107	что они	2	7
108	и это	1	7
109	в других	2	7
110	в себе	3	7
111	к его	1	7
112	не имеет	2	7
113	до конца	7	7
114	в народном	1	7
115	всяком случае	1	7
116	и вот	3	7
117	должен был	2	7
118	и о	2	7
119	еще более	1	6
120	в виду	1	6
121	в своих	3	6
122	представляет собой	1	6
123	и он	8	6
124	после того	1	6
125	не хочет	1	6
126	что не	4	6
127	больше всего	1	6
128	могут быть	3	6
129	в силу	1	6
130	всего в	2	6
131	в сущности	1	6
132	никто не	3	6
133	а не	11	6
134	которую он	2	6
135	и как	1	6
136	на то	1	6
137	это было	3	6
138	человека в	11	6
139	когда он	3	6
140	как будто	1	6
141	из всех	1	5
142	в это	1	5
143	любовь к	2	5
144	любви к	1	5
145	сказать что	2	5
146	все время	1	5
147	который в	1	5
148	тем же	1	5
149	никогда не	9	5
150	еще больше	1	5
151	в ее	2	5
152	после этого	1	5
153	чем в	2	5
154	но он	7	5
155	в мире	1	5
156	одном из	1	5
157	что их	1	5
158	в каждом	1	5
159	и от	3	5
160	не так	1	5
161	что это	1	5
162	том как	1	5
163	только один	1	5
164	в сознании	1	5
165	этом отношении	1	5
166	и после	1	5
167	это не	3	5
168	он и	1	5
169	же не	1	5
170	и без	1	5
171	и я	1	5
172	от того	1	5
173	жизни и	1	5
174	мира в	1	5
175	него в	5	4
176	из самых	1	4
177	например в	1	4
178	может служить	1	4
179	перед ним	1	4
180	в глаза	1	4
181	самом начале	1	4
182	его не	2	4
183	одна из	1	4
184	ближе к	1	4
185	все его	1	4
186	к человеку	9	4
187	и этим	2	4
188	одно из	2	4
189	там и	1	4
190	его творчества	1	4
191	по своей	1	4
192	и почему	1	4
193	не случайно	1	4
194	был бы	1	4
195	сравнению с	1	4
196	нет ничего	7	4
197	по сравнению	1	4
198	что же	2	4
199	и там	2	4
200	видеть в	1	4
201	у нас	1	4
202	свою тайну	1	4
203	с их	1	4
204	чтобы не	1	4
205	у нее	1	4
206	он знает	1	4
207	бы он	1	4
208	нуждается в	1	4
209	из которой	1	4
210	во всем	1	3
211	от него	7	3
212	к этой	2	3
213	до самого	5	3
214	за собой	1	3
215	по себе	2	3
216	самого конца	2	3
217	о любви	2	3
218	видно что	1	3
219	человека не	1	3
220	и мысли	4	3
221	из жизни	1	3
222	между двумя	1	3
223	не приходит	1	3
224	и когда	1	3
225	людей и	1	3
226	которого они	1	3
227	находится в	1	3
228	речь о	1	3
229	человеку и	5	3
230	друг с	1	3
231	но там	1	3
232	собой в	1	3
233	с другом	1	3
234	отношения к	1	3
235	от этого	1	3
236	трагедии и	1	3
237	а с	1	3
238	он в	2	3
239	и есть	3	3
240	не делает	1	3
241	к одной	1	3
242	его с	1	3
243	и из	2	3
244	о которой	2	3
245	интерес к	1	3
246	не могут	3	3
247	с ними	1	3
248	его и	1	3
249	совершенно не	1	3
250	и более	1	3
251	ни у	2	3
252	чем на	3	3
253	бог и	1	3
254	было и	1	3
255	в самой	9	3
256	как к	2	3
257	которым он	1	3
258	и эта	1	3
259	указывает на	1	3
260	с той	1	3
261	нисколько не	1	3
262	в одной	1	3
263	ко всему	1	3
264	и потому	2	3
265	он говорит	1	3
266	она не	1	3
267	в отношениях	1	3
268	не с	1	3
269	будто бы	1	3
270	над его	1	3
271	же можно	2	3
272	в голову	1	3
273	все еще	2	3
274	в эти	1	3
275	в эпоху	1	3
276	его творчество	1	3
277	богатого и	1	2
278	в центре	1	2
279	в душе	2	2
280	из сторон	1	2
281	и очень	2	2
282	же и	1	2
283	лет назад	1	2
284	и был	1	2
285	их было	1	2
286	говорит о	1	2
287	с утра	1	2
288	ты не	1	2
289	сторон и	1	2
290	связь с	1	2
291	ко всем	2	2
292	на земле	4	2
293	к каким	1	2
294	к которой	1	2
295	из всего	2	2
296	приходит в	1	2
297	в форму	1	2
298	главное в	1	2
299	не могли	2	2
300	была поставлена	1	2
301	в этот	2	2
302	до вечера	1	2
303	и отец	1	2
304	не вполне	1	2
305	и формы	1	2
306	среди них	1	2
307	него не	2	2
308	под влиянием	1	2
309	как от	1	2
310	что все	2	2
311	не одно	1	2
312	то в	1	2
313	она и	1	2
314	но еще	1	2
315	каждом из	1	2
316	и можно	1	2
317	вещей и	1	2
318	приносит нам	1	2
319	слишком много	1	2
320	его жизни	1	2
