N	4gram	Bakhtin_Fr	Analitik
1	в то же время	14	14
2	не что иное как	1	6
3	одного и того же	1	6
4	в той или иной	1	5
5	есть не что иное	1	5
6	и не может быть	1	4
7	дело в том что	4	3
8	одной и той же	1	3
9	ни в коем случае	1	2
10	нет и не может	1	2
11	один и тот же	1	2
12	то же время в	1	2
13	одно и то же	1	2
14	в одной из своих	1	2
15	но в то же	6	2
16	одна и та же	1	1
17	но это все же	1	1
18	той или иной форме	1	1
19	в большей или меньшей	1	1
20	большей или меньшей степени	1	1
21	что одно и то	1	1
22	на самом же деле	4	1
23	не может быть ни	1	1
24	но дело в том	1	1
25	же время в рамках	1	1
26	можно сказать что в	1	1
27	то же самое что	1	1
28	в том числе и	3	1
29	так же точно и	1	1
30	в этом отношении он	1	1
31	включающее в себя и	1	1
32	в самом деле в	1	1
33	и внешнее и внутреннее	2	1
34	то же время он	1	1
35	в каждом из этих	1	1
36	мы видим что в	1	1
37	но дело здесь не	1	1
38	каждом из этих трех	1	1
39	и если бы он	1	1
