N	2gram	Ircho_Kome	Vvedenie
1	и т	11	45
2	т е	14	40
3	т д	4	39
4	в том	19	38
5	в этом	9	35
6	и в	40	35
7	может быть	16	30
8	том что	19	30
9	не только	12	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	13	21
13	также и	1	20
14	не может	3	19
15	то что	8	19
16	потому что	8	18
17	только в	6	16
18	со стороны	3	16
19	о том	12	16
20	так как	6	15
21	представляет собой	1	14
22	в общем	2	14
23	что в	12	13
24	в самом	5	13
25	и не	19	13
26	в нем	8	13
27	в его	8	12
28	того что	1	12
29	xix в	1	12
30	в их	6	12
31	точки зрения	7	12
32	как на	2	12
33	то же	7	11
34	в ее	2	11
35	по себе	2	11
36	в данном	1	11
37	этом смысле	2	11
38	ясно что	9	11
39	как мы	5	11
40	прежде всего	8	10
41	не в	8	10
42	вопрос о	5	10
43	между тем	9	10
44	в той	2	10
45	но в	6	10
46	как об	1	9
47	дело с	3	9
48	тем не	3	9
49	смысле этого	1	9
50	все же	7	9
51	этого рода	2	9
52	из этих	5	9
53	но не	3	9
54	и как	3	9
55	не менее	6	9
56	в истории	10	9
57	это не	2	8
58	в качестве	8	8
59	именно в	5	8
60	о котором	1	8
61	а только	1	8
62	можно было	5	8
63	с другой	7	8
64	представить себе	3	7
65	до сих	3	7
66	в применении	1	7
67	к выводу	2	7
68	как и	12	7
69	но и	14	7
70	выводу что	1	7
71	сих пор	3	7
72	в разных	1	7
73	было бы	8	7
74	только как	1	7
75	как бы	3	7
76	один из	9	6
77	на вопрос	1	6
78	об этом	2	6
79	все это	7	6
80	не могут	1	6
81	его в	6	6
82	xviii в	1	6
83	на этот	5	6
84	тем что	5	6
85	с тем	5	6
86	в какой	2	6
87	вместе с	8	6
88	в которых	1	6
89	же время	5	6
90	и это	3	6
91	так например	1	6
92	вовсе не	3	6
93	мере в	1	6
94	применении к	1	6
95	и даже	5	6
96	в руки	1	6
97	хотя бы	2	6
98	до н	3	6
99	нельзя не	2	6
100	и что	2	6
101	как он	2	6
102	сказать что	1	6
103	могут быть	3	6
104	но если	4	6
105	и его	17	6
106	в то	14	6
107	а в	9	6
108	н э	10	6
109	иное как	1	6
110	этого понятия	1	5
111	уже в	9	5
112	внимание на	1	5
113	с этой	3	5
114	хотя и	6	5
115	что и	10	5
116	в виду	2	5
117	другой стороны	6	5
118	с их	4	5
119	в них	7	5
120	в г	28	5
121	в первом	2	5
122	одним из	3	5
123	что не	1	5
124	что он	11	5
125	что иное	1	5
126	одно из	1	5
127	от этого	2	5
128	по своему	5	5
129	данном случае	1	5
130	культуры в	1	5
131	во всяком	4	5
132	в течение	5	5
133	как уже	1	5
134	так что	6	5
135	и тем	2	5
136	а не	1	5
137	говорить о	3	5
138	в различных	1	5
139	на основании	7	5
140	не что	1	5
141	т п	7	5
142	быть в	1	5
143	а как	1	5
144	независимо от	5	5
145	в целом	6	5
146	как это	7	5
147	всяком случае	4	5
148	в особенности	1	4
149	ответ на	2	4
150	в более	4	4
151	только что	2	4
152	здесь нет	1	4
153	с одной	5	4
154	любовь к	1	4
155	этом отношении	3	4
156	о чем	2	4
157	из наиболее	2	4
158	как раз	4	4
159	в результате	5	4
160	в виде	3	4
161	в себе	3	4
162	должен был	1	4
163	так или	4	4
164	но все	4	4
165	из двух	2	4
166	или иначе	4	4
167	в одном	10	4
168	в котором	6	4
169	и ее	5	4
170	что могло	1	4
171	в своей	3	4
172	речь в	2	4
173	да и	5	4
174	сравнению с	1	4
175	в чем	3	4
176	должен быть	1	4
177	к тому	15	4
178	чтобы понять	1	4
179	еще не	7	4
180	однако не	2	4
181	не имеет	1	4
182	времени и	2	4
183	в каждом	2	4
184	еще и	2	4
185	относящихся к	1	4
