N	4gram	Bakhtin_KF	Dialekti
1	в то же время	2	14
2	одна и та же	2	8
3	и в то же	1	6
4	и тем не менее	1	5
5	и в этом смысле	1	4
6	несмотря на то что	1	3
7	но в то же	1	3
8	а с точки зрения	1	2
9	и это нисколько не	1	2
10	совершенно не зависит от	1	2
11	ни к чему не	2	2
12	значит ли это что	1	2
13	дело в том что	1	2
14	ни в чем не	4	2
15	не было ни в	1	2
16	только тогда когда оно	1	2
17	тем не менее в	1	2
18	это значило бы что	1	2
19	и не в том	1	2
20	времени и пространства и	1	1
21	уже не может быть	2	1
22	и может быть только	1	1
23	в котором мы живем	1	1
24	но не потому что	1	1
25	что это можно сделать	1	1
26	котором мы живем и	1	1
27	точки зрения той или	1	1
28	как бы ни была	1	1
29	бы то ни было	2	1
30	только к тому что	1	1
31	ничего общего не имеет	1	1
32	до сих пор не	1	1
33	с точки зрения той	1	1
34	мир в котором мы	1	1
35	зрения той или иной	1	1
36	но это не есть	1	1
37	не нужно думать что	1	1
38	к чему не обязывает	1	1
39	в то или иное	1	1
40	бы и не быть	2	1
41	не зависит от того	1	1
42	же с точки зрения	1	1
43	ничем не отличаются от	1	1
44	он не может быть	1	1
