N	2gram	Propp_Russ	NovoeSre
1	а не	3	17
2	не может	6	16
3	и в	59	16
4	совсем не	1	12
5	и не	6	11
6	и есть	1	10
7	что в	35	9
8	в том	33	8
9	как не	2	8
10	жизни и	1	8
11	он не	1	8
12	в этом	18	7
13	может быть	14	7
14	в новой	1	7
15	не будет	1	7
16	как и	19	7
17	к новому	2	7
18	ни в	1	6
19	не знает	1	6
20	не в	2	6
21	с его	1	6
22	но это	5	6
23	никогда не	1	6
24	и к	3	5
25	не только	28	5
26	в ней	3	5
27	истории в	1	5
28	все это	12	5
29	в жизни	2	5
30	в нем	3	5
31	должен быть	2	5
32	и потому	3	4
33	и мы	1	4
34	по своему	2	4
35	быть может	1	4
36	в час	1	4
37	не во	1	4
38	должно быть	2	4
39	потому что	15	4
40	это не	14	4
41	прежде всего	2	4
42	в них	10	4
43	то что	10	4
44	не было	3	4
45	и все	4	4
46	не менее	3	4
47	не имеет	9	4
48	значит что	2	4
49	и для	3	4
50	о том	14	4
51	во всех	6	3
52	в ночи	1	3
53	вопрос о	4	3
54	не означает	2	3
55	и пр	4	3
56	должна быть	1	3
57	она не	4	3
58	тому как	3	3
59	эти формы	1	3
60	в прошлом	2	3
61	дня и	1	3
62	подобно тому	3	3
63	в истории	1	3
64	в духе	1	3
65	с другой	1	3
66	в основе	1	3
67	к ним	4	3
68	в россии	4	3
69	сказать что	1	3
70	наряду с	1	3
71	и начало	2	3
72	с тем	14	3
73	не значит	2	3
74	к жизни	3	3
75	в своей	1	3
76	как в	10	3
77	но и	20	3
78	к ее	1	3
79	к тому	4	3
80	человека и	1	3
81	еще не	7	3
82	с этим	4	2
83	и от	2	2
84	еще до	2	2
85	это и	1	2
86	и что	8	2
87	не могли	1	2
88	что она	4	2
89	не имеют	1	2
90	и было	1	2
91	зависит от	1	2
92	с одной	1	2
93	мы не	11	2
94	того чтобы	6	2
95	вот почему	1	2
96	национальной замкнутости	1	2
97	хотя и	3	2
98	природе и	1	2
99	так и	8	2
100	как это	11	2
101	но она	3	2
102	думать что	3	2
103	одной стороны	1	2
104	для чего	1	2
105	не могла	1	2
106	можно было	3	2
107	ни одна	2	2
108	в русском	4	2
109	у него	2	2
110	место в	2	2
111	а в	16	2
112	все время	1	2
113	когда мы	2	2
114	и даже	1	2
115	люди не	1	2
116	и с	12	2
117	и начинается	1	2
118	вернуться к	1	2
119	по существу	7	2
120	жизни как	1	2
121	церкви не	1	2
122	для этого	6	2
123	нет и	1	2
124	могут быть	3	2
125	в себе	1	2
126	том чтобы	3	2
127	и на	14	2
128	уже не	9	2
129	что все	2	2
130	время как	1	2
131	все эти	5	2
132	есть в	2	2
133	же как	5	2
134	такой же	3	2
135	вместе с	16	2
136	который в	2	2
137	одна из	12	2
138	стремление к	1	2
139	в употреблении	1	2
140	как будто	6	2
141	в природе	2	2
142	но не	7	2
143	в то	3	2
144	от старого	1	2
145	должно было	5	2
146	том что	33	2
147	не будут	2	2
148	мир и	1	2
149	так же	7	2
150	для нового	1	2
151	и это	2	2
152	можно назвать	1	2
153	но для	1	2
154	в одну	1	2
155	но в	5	2
156	обращение к	1	2
157	не к	3	2
158	связаны с	6	2
159	в той	1	1
160	женщины в	1	1
161	все в	2	1
162	в советской	2	1
163	своего рода	3	1
164	начиная со	1	1
165	ближе к	1	1
166	во всем	2	1
167	дальнейшее развитие	1	1
168	ее на	3	1
169	и того	1	1
170	от нее	1	1
171	всегда была	1	1
172	сами не	1	1
173	привело к	2	1
174	но можно	2	1
175	на западе	2	1
176	можно сказать	1	1
177	все что	2	1
178	то они	1	1
179	во все	1	1
180	но оно	1	1
181	более высокой	1	1
182	в более	2	1
183	которая должна	2	1
184	власть чем	1	1
185	время но	1	1
186	а к	3	1
187	бы к	1	1
188	и более	3	1
189	применяя к	1	1
190	в котором	2	1
191	по преимуществу	1	1
192	значение в	2	1
193	и всех	2	1
194	то это	1	1
195	как другие	1	1
196	что этот	4	1
197	отличие от	4	1
198	по всем	3	1
199	от жизни	1	1
200	же и	1	1
201	они не	1	1
202	из них	12	1
203	бог чтобы	1	1
204	к ней	4	1
205	был уже	1	1
206	все еще	1	1
207	на нем	1	1
208	станет более	1	1
209	также что	2	1
210	свидетельствует о	1	1
211	есть вместе	1	1
212	мы уже	2	1
213	уже давно	1	1
214	есть время	1	1
215	не могу	1	1
216	уже в	2	1
217	эти слова	1	1
218	к себе	1	1
