N	2gram	Ircho_Kome	Tragedij
1	и в	37	18
2	в этом	18	9
3	не только	13	8
4	и на	6	7
5	и не	28	7
6	может быть	14	7
7	и с	5	7
8	как бы	7	7
9	он сам	1	7
10	что он	15	6
11	у него	10	6
12	же время	12	6
13	в образе	5	6
14	но в	7	6
15	и его	10	6
16	это не	3	5
17	несмотря на	7	5
18	так и	4	5
19	к жизни	1	5
20	все же	9	5
21	в дальнейшем	5	5
22	то же	14	5
23	как и	10	5
24	не может	9	5
25	в то	14	5
26	что в	11	4
27	в себе	4	4
28	и даже	6	4
29	все это	7	4
30	прежде всего	7	4
31	и все	6	4
32	я не	4	4
33	об этом	12	4
34	еще не	10	4
35	но и	18	4
36	том что	22	4
37	и что	8	4
38	так же	8	4
39	то что	5	4
40	в этой	7	4
41	что я	5	4
42	в нем	8	4
43	в целом	4	4
44	и он	5	3
45	что с	4	3
46	один из	6	3
47	в основном	1	3
48	уже в	3	3
49	в его	12	3
50	для него	1	3
51	в своем	9	3
52	с ним	10	3
53	о чем	11	3
54	что вы	2	3
55	и сам	11	3
56	в конце	14	3
57	эпизод с	1	3
58	iii в	7	3
59	и как	3	3
60	в мире	2	3
61	как в	4	3
62	никто не	2	3
63	своего отца	2	3
64	при этом	11	3
65	жизнь и	1	3
66	один в	1	3
67	как это	5	3
68	тем самым	1	3
69	к людям	1	3
70	мог бы	1	3
71	как будто	3	3
72	отнюдь не	5	3
73	все эти	1	3
74	к нему	8	3
75	в самом	17	2
76	не так	4	2
77	ребенка и	1	2
78	в душе	1	2
79	еще раз	1	2
80	и здесь	11	2
81	со мной	1	2
82	голод и	1	2
83	от счастья	1	2
84	это был	1	2
85	его дочь	3	2
86	в том	24	2
87	он и	5	2
88	с тем	6	2
89	в ее	3	2
90	по мнению	2	2
91	говорит о	2	2
92	отцом и	3	2
93	даже если	2	2
94	что и	12	2
95	отказывается от	1	2
96	ни в	14	2
97	бы и	1	2
98	но при	2	2
99	чем он	1	2
100	в русском	1	2
101	что все	1	2
102	не могут	2	2
103	его в	9	2
104	как же	2	2
105	не в	7	2
106	в первом	2	2
107	но все	5	2
108	ненависти к	5	2
109	даже на	1	2
110	было в	2	2
111	из самых	2	2
112	еще в	1	2
113	в таком	2	2
114	ничем не	4	2
115	одном из	1	2
116	вопрос о	2	2
117	дома и	3	2
118	знает что	2	2
119	и это	4	2
120	нет в	1	2
121	отца и	4	2
122	во сне	1	2
123	человека перед	1	2
124	теперь и	1	2
125	под влиянием	2	2
126	к тому	11	2
127	о том	21	2
128	перед нами	1	2
129	не был	2	2
130	а что	1	2
131	не имеет	6	2
132	что эти	1	2
133	и я	3	2
134	бросается в	1	2
135	только к	1	2
136	что этот	1	2
137	отличие от	5	2
138	она должна	2	2
139	я тебе	1	2
140	он был	6	2
141	то и	1	2
142	потому что	19	2
143	так что	7	2
144	времени в	2	2
145	он не	11	2
146	по поводу	1	2
147	в частности	4	2
148	в это	2	2
149	точно так	1	2
150	в одном	3	2
151	и до	2	2
152	я ведь	2	2
153	в глаза	3	2
154	в отличие	3	2
155	его за	3	2
156	отношение к	7	2
157	о его	4	2
158	до конца	4	2
159	в глазах	10	2
160	столь же	5	2
161	что она	10	2
162	который в	3	2
163	с его	6	2
164	а как	2	2
165	тут же	8	2
166	не мог	2	2
167	гораздо важнее	2	2
168	тем что	12	2
169	не просто	1	2
170	не случайно	3	2
171	и ее	3	2
172	никогда не	5	2
173	в известной	3	2
174	ничего не	6	2
175	друг друга	7	2
176	не выдерживает	1	1
177	в той	2	1
178	для самого	1	1
179	в лицо	1	1
180	ситуации и	1	1
181	во всем	2	1
182	уверена что	1	1
183	то в	1	1
184	открывает ему	1	1
185	от нее	5	1
186	с помощью	4	1
187	и сыном	1	1
188	в кругу	1	1
