N	4gram	Bakhtin_Pr	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	2	3
3	как в нашем примере	1	2
4	с одной стороны и	1	2
5	в художественном произведении как	2	1
6	должна быть понята и	1	1
7	мы имеем дело с	1	1
8	бы они ни были	1	1
9	с помощью определенного материала	2	1
10	ни в чем не	2	1
11	по отношению к содержанию	3	1
12	и независимо от него	1	1
13	на самом же деле	1	1
14	но в то же	1	1
15	контекста в котором слово	1	1
16	художественную форму как форму	1	1
17	по отношению к которому	1	1
18	позицию по отношению к	3	1
19	в то время как	1	1
20	по отношению к материалу	4	1
21	формы дело в том	1	1
22	ни в коем случае	2	1
23	все моменты произведения в	1	1
24	и не может быть	1	1
25	относится не к материалу	1	1
26	в то же время	3	1
27	и проч все эти	2	1
28	если бы не было	1	1
29	так называемый формальный метод	1	1
30	форма должна быть понята	1	1
31	отнюдь не совпадает с	1	1
32	с первого же взгляда	1	1
