N	2gram	Bakhtin_Pr	Sovremen
1	не может	18	17
2	может быть	23	12
3	точки зрения	17	12
4	таким образом	9	11
5	мы не	7	9
6	в каждом	5	8
7	в этом	24	7
8	и в	83	7
9	не можем	1	7
10	мы можем	9	6
11	в результате	2	6
12	каждый раз	1	6
13	как и	13	6
14	ничего не	8	6
15	и не	41	6
16	с точки	13	5
17	прежде всего	20	5
18	все эти	9	5
19	в условиях	7	5
20	и наконец	4	5
21	в дальнейшем	8	4
22	а в	4	4
23	так как	12	4
24	вопрос о	1	4
25	это не	10	4
26	не только	14	4
27	мы должны	4	4
28	в развитии	5	4
29	с помощью	4	4
30	как бы	27	4
31	нет и	3	4
32	если мы	5	4
33	в зависимости	3	4
34	их в	3	4
35	жизни и	13	4
36	вместе с	5	4
37	в целом	3	4
38	в том	22	4
39	зависимости от	3	4
40	из них	7	4
41	точку зрения	1	4
42	мы видели	2	4
43	и к	13	3
44	и потому	6	3
45	видели что	2	3
46	на этой	2	3
47	с самого	4	3
48	уже в	3	3
49	то же	10	3
50	у каждого	1	3
51	при этом	6	3
52	поэтому мы	1	3
53	не в	10	3
54	а не	19	3
55	в системе	1	3
56	все это	11	3
57	как он	4	3
58	в одном	4	3
59	у нас	2	3
60	самого начала	5	3
61	в конце	5	3
62	ведь это	2	3
63	и т.д	5	3
64	было бы	6	3
65	ли мы	1	3
66	в этой	3	3
67	он в	2	3
68	и все	14	3
69	его развития	1	3
70	в себе	10	3
71	не подлежит	1	3
72	что она	2	3
73	он может	2	3
74	одна из	9	3
75	все же	3	3
76	в области	6	3
77	отличается от	2	3
78	между собой	1	3
79	в нем	21	3
80	но мы	1	3
81	но в	12	3
82	еще не	10	3
83	с этим	3	2
84	что в	5	2
85	этих двух	5	2
86	тем не	2	2
87	в самом	7	2
88	совершенно не	4	2
89	мы видим	2	2
90	значение в	4	2
91	и что	3	2
92	для развития	1	2
93	и пространства	2	2
94	отличие от	1	2
95	друг с	6	2
96	и пр	1	2
97	в отличие	1	2
98	в свою	1	2
99	из этих	3	2
100	в его	15	2
101	во всяком	2	2
102	не будем	4	2
103	не дает	3	2
104	в которую	1	2
105	еще более	6	2
106	можно назвать	2	2
107	что это	2	2
108	что при	1	2
