N	2gram	Bakhtin_Pr	VrazhdaK
1	у тургенева	6	11
2	не только	26	9
3	достоевского с	4	9
4	в этом	33	8
5	и в	64	8
6	и что	5	8
7	достоевский в	10	8
8	что в	11	7
9	достоевского в	15	7
10	достоевского и	9	7
11	и все	6	7
12	но и	26	7
13	то что	21	7
14	к достоевскому	1	6
15	о нем	15	6
16	как и	25	6
17	и даже	5	6
18	и с	9	6
19	в романе	12	6
20	все же	11	6
21	в котором	7	6
22	в начале	1	6
23	в нем	28	6
24	но в	14	6
25	то же	18	5
26	с тургеневым	1	5
27	у него	11	5
28	в россии	2	5
29	бедных людей	1	5
30	и не	55	5
31	между тем	7	5
32	об этом	3	5
33	в письме	2	5
34	не было	5	5
35	же время	13	5
36	в то	15	5
37	тургенев в	1	4
38	это не	12	4
39	при этом	8	4
40	несмотря на	7	4
41	с ним	8	4
42	для нас	2	4
43	все это	9	4
44	тургенев не	1	4
45	в виду	3	4
46	в своих	4	4
47	что он	15	4
48	достоевского не	15	4
49	письме к	2	4
50	уже в	5	4
51	у достоевского	29	4
52	о том	5	4
53	подпольного человека	1	4
54	может быть	43	4
55	в ней	2	4
56	целый ряд	2	4
57	в истории	2	4
58	как бы	33	4
59	так же	8	4
60	во многом	1	4
61	что достоевский	1	4
62	он считал	1	4
63	что у	2	3
64	в его	30	3
65	в том	12	3
66	т е	44	3
67	достоевского к	4	3
68	его в	8	3
69	раз в	1	3
70	связи с	3	3
71	но он	4	3
72	достоевский не	5	3
73	в связи	1	3
74	я не	6	3
75	и как	9	3
76	далеко не	7	3
77	тем что	6	3
78	ставрогина и	1	3
79	и у	3	3
80	в русской	1	3
81	о себе	19	3
82	человека в	8	3
83	он был	2	3
84	том что	8	3
85	он не	14	3
86	и уже	3	3
87	в конце	8	3
88	к творчеству	1	3
89	и о	7	3
90	что есть	1	3
91	одним из	7	3
92	из подполья	12	3
93	в своем	12	3
94	на то	5	3
95	с его	11	3
96	и его	21	3
97	к этому	1	3
98	который был	1	3
99	и во	3	3
100	достоевский был	3	2
101	в той	5	2
102	таким образом	15	2
103	ответ на	1	2
104	и он	5	2
105	в момент	1	2
106	время и	1	2
107	он тоже	3	2
108	его с	1	2
109	к себе	6	2
110	мы знаем	1	2
111	с точки	21	2
112	для него	23	2
113	его и	3	2
114	лермонтова и	1	2
115	о чем	1	2
116	как раз	9	2
117	мне и	1	2
118	и достоевский	1	2
119	же не	4	2
120	роман достоевского	12	2
121	в них	5	2
122	как же	6	2
123	же в	2	2
124	достоевского он	3	2
125	отношения к	5	2
126	его на	2	2
127	в мире	7	2
128	их в	8	2
129	же как	2	2
130	в своей	11	2
131	рядом с	19	2
132	вместе с	1	2
133	что ж	4	2
134	так в	1	2
135	в это	1	2
136	в известном	1	2
137	не менее	3	2
138	и это	8	2
139	великого грешника	1	2
140	бесах он	1	2
141	на первый	1	2
142	еще не	10	2
143	он пишет	2	2
144	меня но	1	2
145	но как	4	2
146	а с	2	2
147	за роман	1	2
148	это в	2	2
149	в свою	1	2
150	п в	1	2
151	и т.п	1	2
152	о достоевском	7	2
153	очень хорошо	1	2
154	в этой	5	2
155	человека с	1	2
156	тогда как	1	2
157	он писал	2	2
158	а в	10	2
159	на это	1	2
160	к ним	1	2
161	отношение к	4	2
162	этот роман	1	2
163	уже не	15	2
164	из них	3	2
165	в себе	11	2
166	что я	7	2
167	с нею	2	2
168	не может	26	2
169	место в	1	2
170	том же	4	2
171	точки зрения	31	2
172	одна из	5	2
173	об этой	1	2
174	он сам	5	2
175	в эти	1	2
176	но это	6	2
177	во время	1	2
178	не мог	1	2
179	в него	6	2
180	и ее	5	2
181	к автору	1	2
182	никогда не	11	2
183	хорошо знаю	1	1
184	в особенности	1	1
185	все в	3	1
186	к сожалению	2	1
187	говорит достоевский	1	1
188	своего рода	1	1
189	в самом	17	1
190	обо мне	1	1
191	во всем	1	1
192	жестокий талант	1	1
193	то в	2	1
194	как к	3	1
195	связан с	1	1
196	именно к	2	1
197	так и	8	1
198	достоевский говорит	2	1
199	что они	1	1
200	этот материал	1	1
201	романа с	2	1
202	или спора	1	1
203	художник как	1	1
204	из произведений	1	1
205	в литературе	4	1
206	все что	4	1
207	о творчестве	1	1
208	до сих	9	1
209	мире а	3	1
210	один из	3	1
211	этого в	1	1
212	из которых	3	1
213	тургенев же	1	1
214	и резкое	1	1
215	сюжет в	1	1
216	они не	5	1
217	был очень	1	1
218	биографии в	1	1
219	с героем	3	1
220	автору и	1	1
221	удалении от	1	1
222	ни с	1	1
223	только что	1	1
224	героев достоевский	1	1
225	если в	1	1
226	также что	1	1
227	рассматривать в	1	1
228	того как	3	1
229	к этой	1	1
230	в основном	2	1
231	об одном	1	1
232	нем в	3	1
233	сколько в	2	1
234	героев достоевского	4	1
235	в литературной	2	1
236	героя в	7	1
237	пишет брату	1	1
238	вот она	1	1
239	он как	1	1
240	с очень	1	1
241	художником и	2	1
242	еще более	2	1
243	к брату	1	1
244	из всех	1	1
245	что это	2	1
246	хотя и	5	1
247	и романа	2	1
248	романа и	3	1
249	одному из	1	1
250	и был	1	1
251	он и	8	1
252	романа в	4	1
253	его замысла	1	1
254	в ее	2	1
255	только не	2	1
256	того что	3	1
257	этом он	1	1
258	в другой	4	1
259	знаю что	4	1
260	романе достоевского	9	1
261	чем у	2	1
262	от этой	1	1
263	в качестве	1	1
264	него в	5	1
265	вас и	1	1
266	не хочет	3	1
267	прежде всего	16	1
268	сходятся в	1	1
269	и другими	1	1
270	вошел в	1	1
271	ее и	1	1
272	разобраться в	2	1
273	роман в	2	1
274	это слово	6	1
275	быть весьма	3	1
276	на творчество	1	1
277	другой стороны	6	1
278	вы только	1	1
279	себе не	2	1
280	произведений достоевского	8	1
281	появилась в	1	1
282	в этих	5	1
283	но на	3	1
284	в их	6	1
285	о своем	3	1
286	все равно	2	1
287	мы находим	1	1
288	тому же	2	1
289	мечтатель и	1	1
290	но с	4	1
291	и самые	1	1
292	искал в	1	1
293	а между	2	1
294	достоевского а	1	1
295	ему но	3	1
296	он уже	1	1
297	что ни	1	1
298	в духе	4	1
299	конечно в	2	1
300	такое понимание	1	1
301	а за	3	1
302	а о	1	1
303	самим собой	1	1
304	из двух	1	1
305	и сам	6	1
306	человека достоевский	1	1
307	в одном	20	1
308	их и	2	1
309	ну что	5	1
310	что за	1	1
311	слово его	1	1
312	достоевский искал	1	1
313	на нее	1	1
314	на свою	1	1
315	его произведений	1	1
316	что о	1	1
317	о своей	1	1
318	но не	12	1
319	но для	3	1
320	это сравнение	1	1
321	если это	1	1
322	именно в	5	1
323	жизни и	3	1
324	то время	2	1
325	действительно были	1	1
326	он у	2	1
327	в таком	3	1
328	героев и	4	1
329	в процессе	6	1
330	в жизни	5	1
331	человек и	2	1
332	но ведь	3	1
333	достоевский также	1	1
334	правда в	2	1
335	этого типа	1	1
336	не знал	2	1
337	особенно резко	1	1
338	перед началом	1	1
339	уж конечно	1	1
340	творчеству достоевского	1	1
341	говорить об	1	1
342	человек в	1	1
343	себя как	3	1
344	такие же	1	1
345	не есть	4	1
346	человеком в	1	1
347	одном из	2	1
348	и перед	2	1
349	как в	7	1
350	и тонко	2	1
351	рассказ не	1	1
352	них он	1	1
353	влияния на	1	1
354	следовательно и	3	1
355	роль в	1	1
356	он воспринимал	1	1
357	ли не	1	1
358	в речах	2	1
359	страхову в	1	1
360	по своему	1	1
361	в авторском	5	1
362	как нам	3	1
363	по преимуществу	2	1
364	рассказ у	1	1
365	но у	4	1
366	отличается от	5	1
367	да и	2	1
368	его жизни	2	1
369	который не	2	1
370	ли он	1	1
371	в свете	4	1
372	ему и	1	1
373	о котором	1	1
374	они как	1	1
375	в условиях	2	1
376	это было	1	1
377	из которого	1	1
378	этой повести	1	1
379	в сторону	2	1
380	мы считаем	1	1
381	жития великого	1	1
382	достоевского это	3	1
383	не имеет	2	1
384	ничего общего	1	1
385	тем не	2	1
386	раз и	6	1
387	работы над	1	1
388	под влиянием	1	1
389	что как	2	1
390	сих пор	9	1
391	и вообще	1	1
392	не был	2	1
393	ему не	2	1
394	фигурируют и	1	1
395	достоевский стремится	1	1
396	и образ	1	1
397	при полном	1	1
398	жизнь и	1	1
399	первый взгляд	1	1
