N	4gram	Losev_Dial	VLabPisa
1	в то же время	7	5
2	и в то же	3	3
3	с одной стороны и	3	2
4	уже по одному тому	1	2
5	по одному тому что	1	2
6	приводит к тому что	1	2
7	в этом и заключается	1	2
8	не в том что	1	2
9	есть одно и то	1	1
10	никогда не может быть	1	1
11	как один из видов	2	1
12	именно в том что	1	1
13	в том смысле что	3	1
14	т е более или	1	1
15	иметь в виду что	2	1
16	теснейшим образом связана с	1	1
17	и есть то что	1	1
18	не имеет ничего общего	3	1
19	ни в какой мере	1	1
20	значит только то что	1	1
21	одно и то же	8	1
22	е более или менее	1	1
23	бы и не быть	1	1
24	это значит только то	1	1
25	если бы все его	1	1
26	значит ли это что	2	1
27	уже сама по себе	1	1
28	вовсе не значит что	1	1
29	же в таком случае	1	1
30	имеет ничего общего с	3	1
31	то это вовсе не	1	1
32	кто-то сказал что у	1	1
33	же время никогда не	1	1
34	а в том что	1	1
35	это и значит что	1	1
36	это вовсе не значит	1	1
37	с другой стороны в	1	1
38	но в то же	1	1
39	так же как и	1	1
40	в то время как	2	1
41	что для того чтобы	1	1
42	не говоря уже о	1	1
43	и вместе с тем	1	1
44	том или ином отношении	1	1
45	до сих пор не	1	1
46	в какой мере не	1	1
47	и т д но	2	1
