N	4gram	Vygotskiy_	Russkaja
1	в то же время	1	10
2	то это потому что	1	2
3	если бы речь шла	1	2
4	с точки зрения этой	1	2
5	в свою очередь является	1	1
6	по самому своему существу	1	1
7	бы то ни было	1	1
8	связаны друг с другом	1	1
9	в совершенно ином виде	1	1
10	таким образом оказывается что	1	1
11	дело в том что	2	1
12	указывает на то что	3	1
13	с точки зрения этих	1	1
14	совершенно ином виде чем	1	1
15	и с точки зрения	1	1
16	друг с другом в	2	1
17	заключается в том что	6	1
18	его можно было бы	1	1
19	только для того чтобы	2	1
20	которая в свою очередь	2	1
21	которых мы говорили выше	1	1
22	что с точки зрения	2	1
23	в том числе и	3	1
24	в том что для	1	1
25	говорить о том что	1	1
26	в том что только	1	1
27	бы речь шла о	1	1
28	несмотря на то что	1	1
29	в тот или иной	1	1
30	состоит в том чтобы	1	1
31	о котором мы говорили	1	1
32	о которых мы говорили	1	1
33	точно так же как	1	1
34	но на самом деле	1	1
35	само собой разумеется что	1	1
