N	4gram	Bakhtin_Fr	Myshleni
1	одной и той же	1	15
2	в том числе и	7	10
3	как мы уже говорили	4	9
4	в силу того что	1	9
5	все более и более	1	8
6	в том что он	1	8
7	мы уже говорили выше	1	6
8	что с точки зрения	1	4
9	в тех случаях когда	1	4
10	выходит далеко за пределы	1	3
11	находит свое выражение в	1	3
12	мы уже говорили что	3	3
13	мы имеем в виду	1	3
14	дело в том что	2	3
15	не чем иным как	1	3
16	или во всяком случае	1	3
17	не подлежит никакому сомнению	2	3
18	одна и та же	1	3
19	и связанное с ним	1	2
20	так как если бы	1	2
21	сводится к тому чтобы	1	2
22	в то же время	5	2
23	нет и не может	1	2
24	подлежит никакому сомнению что	1	2
25	на самом же деле	3	2
26	и в известной мере	1	2
27	рядом друг с другом	1	2
28	в той или иной	5	2
29	все же в них	1	2
30	в резком противоречии с	1	2
31	и не может быть	2	2
32	в связи с развитием	1	2
33	нас в том что	1	2
34	мы упоминали выше и	1	1
35	с точки зрения тех	1	1
36	с точки зрения этих	1	1
37	и в том что	2	1
38	в большей своей части	1	1
39	и вовсе не в	1	1
40	во всяком случае не	1	1
41	но как раз в	1	1
42	в том что слово	1	1
43	в том что новая	1	1
44	на первый план выдвигается	1	1
45	не входит в область	1	1
46	в основе его лежит	1	1
47	поэтому было бы неправильно	1	1
48	этом мы можем закончить	1	1
49	формы речевого общения между	1	1
50	тех случаях когда она	1	1
51	в полном отрыве от	1	1
52	на этом мы можем	1	1
53	может быть правильно поставлена	1	1
54	лишь в тех случаях	1	1
55	не может быть никакой	1	1
56	и в других местах	1	1
57	имеет в виду только	1	1
58	в этом отношении является	1	1
59	как именно в области	1	1
60	всего могут быть определены	1	1
61	можно без преувеличения сказать	1	1
62	которые имели место в	1	1
63	то же время в	1	1
64	в основе ее лежит	1	1
65	предметом нашего исследования является	1	1
66	становится на точку зрения	1	1
67	и в то же	2	1
68	без преувеличения сказать что	1	1
69	еще на двух моментах	1	1
70	до сих пор остается	1	1
71	уже говорили выше в	1	1
72	мы можем сказать что	1	1
73	на котором мы остановимся	1	1
74	оно имеет не только	1	1
75	в виду прежде всего	1	1
76	и в силу того	1	1
77	это как мы уже	1	1
78	свидетельствуют о том что	1	1
79	может быть отнесена к	1	1
80	с одной стороны он	1	1
81	друг от друга в	1	1
82	этого нет и не	1	1
83	и пр и пр	1	1
84	в предисловии к своему	1	1
85	могут быть определены как	1	1
86	и в некоторых других	1	1
