N	3gram	Medvedev_U	Mirosoze
1	не может быть	4	28
2	в том что	2	9
3	и в этой	2	6
4	до сих пор	2	5
5	не было бы	1	5
6	в конце концов	2	4
7	на то что	1	4
8	для него не	1	3
9	а не только	1	3
10	но это не	1	3
11	с тем что	1	3
12	не только в	1	2
13	хотя бы и	2	2
14	и в конце	1	2
15	тем что он	1	2
16	не могут быть	2	2
17	никогда не может	1	2
18	в этом отношении	2	2
19	он знает только	1	1
20	они до сих	1	1
21	него не существует	1	1
22	и у других	1	1
23	в самом деле	2	1
24	сам по себе	1	1
25	не в том	1	1
26	друг с другом	1	1
27	а между тем	2	1
28	но даже и	2	1
29	с другой стороны	3	1
30	в той же	1	1
31	в которой все	1	1
32	одним из самых	1	1
33	он в той	1	1
34	имеем в виду	1	1
35	которые могли бы	1	1
36	только в этом	1	1
37	в то же	3	1
38	и не случайно	1	1
39	то же время	3	1
40	он прежде всего	1	1
41	она все же	1	1
42	исторической но и	1	1
43	мы имеем в	1	1
44	между тем в	1	1
45	что в своей	1	1
46	с одной стороны	1	1
47	но если нет	1	1
48	это было бы	1	1
