N	4gram	Tiupa_Narr	Komedia
1	в то же время	7	16
2	в то время как	1	9
3	бы то ни было	1	7
4	обращает на себя внимание	3	7
5	и в самом деле	1	7
6	к тому же в	2	6
7	ни в чем не	1	3
8	один и тот же	1	3
9	в том числе и	1	3
10	сомневаться в том что	1	3
11	состоит в том что	5	2
12	с этой точки зрения	1	2
13	с одной стороны и	1	2
14	на себя внимание что	1	2
15	и в то же	2	2
16	за сто лет до	1	1
17	той мере в какой	1	1
18	в том что ни	1	1
19	в той мере в	1	1
20	между детьми и родителями	1	1
21	и т п не	1	1
22	в той же мере	1	1
23	в связи с этим	1	1
24	в том что именно	1	1
25	в самом деле не	1	1
26	одного и того же	2	1
27	как и всякий другой	1	1
28	до сих пор еще	1	1
29	одна из них не	1	1
30	в том случае если	1	1
31	и не только в	1	1
32	как в случае с	1	1
33	одна и та же	1	1
34	мы имеем дело с	4	1
35	он только что видел	1	1
