N	3gram	Losev_Vlad	slovoVRo
1	не может быть	4	19
2	то же время	7	18
3	в то же	7	18
4	с одной стороны	1	11
5	и т д	3	10
6	более или менее	5	9
7	в этом случае	1	9
8	во всяком случае	8	8
9	и в особенности	1	7
10	но в то	2	7
11	так и в	1	6
12	в одной плоскости	1	6
13	как мы сказали	2	6
14	и в то	3	6
15	не может не	1	6
16	но все же	1	6
17	с другой стороны	3	6
18	в том что	13	5
19	как мы уже	3	5
20	не только в	3	5
21	в этом отношении	2	5
22	до конца и	1	5
23	может быть и	1	5
24	для того чтобы	3	4
25	в известной степени	1	4
26	на первый план	4	4
27	и не может	1	4
28	а также и	2	4
29	в свою очередь	2	4
30	можно сказать что	3	4
31	мы уже сказали	2	4
32	до известной степени	1	3
33	и то же	1	3
34	одно без другого	1	3
35	в связи с	7	3
36	к тому что	1	3
37	но и здесь	1	3
38	и не в	1	3
39	одно и то	1	3
40	как мы видели	1	3
41	одной плоскости с	1	3
42	несколько слов о	1	3
43	он никогда не	2	2
44	и наконец в	1	2
45	все это очень	1	2
46	тем не менее	8	2
47	легко и быстро	1	2
48	в чем не	1	2
49	до некоторой степени	2	2
50	не только не	1	2
51	имеет дело с	1	2
52	нужно сказать что	1	2
53	не было никакого	1	2
54	и в том	2	2
55	и в этом	1	2
56	хотя и не	2	2
57	о том что	9	2
58	а следовательно и	1	2
59	и в них	1	2
60	требует от нас	1	2
61	в то время	6	2
62	во всех своих	1	2
63	и кроме того	1	2
64	на том же	1	2
65	его отношение к	1	2
66	же время и	1	2
67	ту же тему	1	2
68	с ним и	1	2
69	привело к тому	1	2
70	и в нем	1	2
71	и в частности	3	2
72	как уже сказано	1	2
73	уже не только	2	2
74	то время как	2	2
75	ни в чем	1	2
76	именно здесь в	1	1
77	для него самого	1	1
78	значение для всей	1	1
79	и на этот	2	1
80	правда все эти	1	1
81	этого общего языка	1	1
82	у него есть	1	1
83	то и в	1	1
84	что он не	3	1
85	и иной раз	1	1
86	в письмах и	1	1
87	но и по	1	1
88	а не к	1	1
89	в той же	1	1
90	только в более	1	1
91	в некотором отношении	1	1
92	здесь перед нами	1	1
93	свою связь с	1	1
94	дошедшим до нас	1	1
95	еще вовсе не	1	1
96	в первый раз	1	1
97	дело не в	1	1
98	он не может	1	1
99	и литературы и	1	1
100	в том числе	1	1
101	с ним в	2	1
102	и все это	1	1
103	в этом споре	2	1
104	и вообще в	3	1
105	конечно вместе с	1	1
106	так или иначе	3	1
107	конечно не в	1	1
108	и в более	1	1
109	а также в	1	1
110	и психологии в	1	1
111	в особенности же	1	1
112	разве только в	1	1
113	само по себе	1	1
114	именно так как	1	1
115	не могла быть	1	1
116	если бы мы	1	1
117	сказать что в	1	1
118	том что в	3	1
119	а в том	3	1
120	и как мы	2	1
121	до настоящего времени	1	1
122	говорить только с	1	1
123	мы должны сказать	1	1
124	то ни было	1	1
125	самом же деле	1	1
126	на самом же	1	1
127	и в его	2	1
128	бы то ни	2	1
129	еще более резко	1	1
130	а с его	1	1
131	но это не	2	1
132	что для нас	1	1
133	у него до	1	1
134	в какой мере	1	1
135	раз и навсегда	2	1
136	и в историческом	1	1
137	чувствует себя в	1	1
138	вся та часть	1	1
139	в которой все	1	1
140	вместе с ним	1	1
141	но кроме того	1	1
142	равно как и	1	1
143	все это то	1	1
144	что даже в	1	1
145	и во всяком	1	1
146	и особенно в	1	1
147	на то что	6	1
148	он не только	2	1
149	выдвигает на первый	1	1
150	по крайней мере	1	1
151	как к своему	1	1
152	каждый из этих	1	1
153	как это было	1	1
154	во всем его	1	1
155	в том чтобы	4	1
156	заключается в том	1	1
157	вместе со своим	1	1
158	выходят за пределы	1	1
159	и в дальнейшем	1	1
160	со всеми его	1	1
161	такой степени что	1	1
162	в свое время	6	1
163	что как раз	1	1
164	и не могла	1	1
165	к одному из	1	1
166	во всем своем	1	1
167	это не только	1	1
168	то тотчас же	1	1
169	бы она ни	1	1
170	и ни в	1	1
171	да и в	1	1
172	он как мы	2	1
173	не может сделать	1	1
174	но у него	1	1
175	но все это	1	1
176	чрезвычайно легко и	1	1
177	сам он в	1	1
178	дело в том	7	1
179	как раз в	1	1
180	с ним но	1	1
181	одной и той	1	1
182	и притом в	1	1
183	и ничего не	1	1
184	так в начале	1	1
185	уже не было	1	1
186	кроме того и	2	1
187	но во всяком	1	1
188	этом отношении он	1	1
189	глубокого и тонкого	1	1
190	том что он	4	1
191	и до конца	2	1
192	в одних случаях	1	1
193	общего языка у	1	1
194	но во всем	1	1
195	может быть также	1	1
196	и на его	2	1
197	факт что уже	1	1
198	в таких случаях	1	1
199	только с помощью	1	1
200	также и в	2	1
201	не только как	1	1
202	и потому как	1	1
203	нет и не	1	1
204	и той же	1	1
205	можно говорить только	1	1
