N	3gram	Voloshinov	UchenyiS
1	в конечном счете	1	4
2	не может быть	4	4
3	с другой стороны	2	3
4	в то же	1	3
5	то же время	1	3
6	в том что	2	2
7	в самом деле	2	2
8	тех или иных	1	2
9	то же самое	1	2
10	в этом отношении	1	2
11	говорит в.м жирмунский	1	2
12	замкнутая в себе	2	1
13	эстетического объекта в	1	1
14	художественного произведения как	2	1
15	эстетического объекта и	1	1
16	как и всякого	1	1
17	и в их	1	1
18	не входит в	1	1
19	в поэтическом творчестве	1	1
20	но в то	1	1
21	с одной стороны	2	1
22	с проблемой художественной	1	1
23	равно как и	1	1
24	нам представляется не	1	1
25	его эстетической функции	1	1
26	в значительной мере	1	1
27	не было бы	1	1
28	проблем связанных с	1	1
29	и всякого художника	1	1
30	на то что	1	1
31	более или менее	1	1
32	в данном случае	2	1
33	само по себе	1	1
34	все же остается	1	1
35	мы полагаем что	1	1
36	что он называет	1	1
37	в его эстетической	1	1
