N	4gram	Bakhtin_sl	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	1	3
3	с одной стороны и	2	2
4	одно и то же	2	2
5	бы они ни были	1	1
6	ни в чем не	1	1
7	ни в какой степени	1	1
8	на самом же деле	1	1
9	но в то же	6	1
10	как не может быть	1	1
11	как мы уже сказали	3	1
12	в том что в	1	1
13	все более и более	1	1
14	а между тем это	1	1
15	какая бы то ни	1	1
16	в то время как	2	1
17	мы имеем в виду	1	1
18	но и в истории	1	1
19	суждения и оценки относятся	1	1
20	еще раз подчеркнуть что	1	1
21	бы оно ни было	1	1
22	до сих пор не	2	1
23	не может находиться в	1	1
24	быть более или менее	1	1
25	имеем в виду не	1	1
26	она имеет дело с	1	1
27	каково бы оно ни	1	1
28	в какой степени не	1	1
29	в то же время	15	1
30	и с другой стороны	2	1
31	каковы бы они ни	1	1
32	находит свое выражение в	1	1
