N	3gram	Trubetskoy	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	6	25
4	по отношению к	1	18
5	не может быть	1	14
6	но в то	1	11
7	в конце концов	3	11
8	до сих пор	5	10
9	в самом деле	1	9
10	с другой стороны	1	9
11	с самого начала	2	9
12	во всяком случае	6	9
13	в том что	3	8
14	друг с другом	5	8
15	и в то	1	7
16	бы то ни	2	7
17	как бы в	1	7
18	мы уже говорили	1	7
19	и в этом	2	7
20	в отличие от	1	6
21	то ни было	2	6
22	к тому же	4	5
23	той или иной	2	5
24	по крайней мере	5	5
25	а не как	1	5
26	но все же	4	5
27	тем не менее	3	4
28	друг на друга	2	4
29	сами по себе	1	4
30	так и в	1	4
31	именно потому что	1	4
32	а между тем	1	4
33	более или менее	5	4
34	смысле этого слова	1	4
35	может быть даже	2	4
36	о том что	4	4
37	в этом отношении	2	4
38	может быть и	2	4
39	друг к другу	1	4
40	можно сказать что	2	3
41	из этих трех	1	3
42	но при этом	1	3
43	в настоящее время	1	3
44	в данном случае	1	3
45	не только не	1	3
46	даже там где	1	3
47	на то что	2	3
48	в то время	1	3
49	все это было	1	3
50	то что он	2	2
51	для того чтобы	5	2
52	в свою очередь	1	2
53	но тем не	1	2
54	у него в	1	2
55	вместе с тем	8	2
56	между этими двумя	2	2
57	в том или	1	2
58	до настоящего времени	1	2
59	то же самое	2	2
60	на этот раз	1	2
61	только то что	1	2
62	ни было в	1	2
63	в слове о	1	2
64	в одном из	1	2
65	и только в	1	2
66	и заставляет его	1	2
67	этой точки зрения	2	2
68	а следовательно и	1	2
69	но все это	2	2
70	но в общем	1	2
71	всяком случае не	3	2
72	и в сущности	1	2
73	а так как	3	2
74	и что он	1	2
75	в этом последнем	1	2
76	что и в	1	2
77	но с другой	1	2
78	так же как	3	1
79	точки зрения того	1	1
80	и это слово	1	1
81	в этом направлении	1	1
82	он как бы	1	1
83	о том как	1	1
84	до известной степени	1	1
85	в том числе	5	1
86	по сравнению с	2	1
87	и только на	1	1
88	же что и	1	1
89	сих пор не	1	1
90	может показаться что	1	1
91	заключает в себе	2	1
92	мы должны признать	2	1
93	в котором он	1	1
94	найти в нем	1	1
95	и тот же	1	1
96	не в том	1	1
97	потому что в	1	1
98	не совпадает с	1	1
99	еще на одном	1	1
100	его жизнь в	1	1
101	в таком случае	1	1
102	одного и того	1	1
103	так или иначе	3	1
104	их он может	1	1
105	с тем с	1	1
106	не потому что	1	1
107	все более и	1	1
108	должны признать что	2	1
109	может быть по	1	1
110	в первом случае	1	1
111	иметь в виду	1	1
112	что все эти	1	1
113	том числе и	4	1
114	том что все	1	1
115	и вместе с	4	1
116	точно так же	3	1
117	и никогда не	1	1
118	во всей своей	1	1
119	и превращается в	1	1
120	а в том	1	1
121	человека все это	1	1
122	между собой поэтому	1	1
123	и того же	1	1
124	но и как	1	1
125	и есть то	1	1
126	и люди и	1	1
127	в связи с	3	1
128	каждая из этих	1	1
129	духе и в	1	1
130	не может не	1	1
131	лицом к лицу	1	1
132	это однако не	1	1
133	с ними в	1	1
134	сих пор еще	2	1
135	его мировоззрения в	1	1
136	это как не	1	1
137	о мире как	1	1
138	мы видели что	1	1
139	может и не	1	1
140	те же что	1	1
141	иной характер носят	2	1
142	не только для	2	1
143	тем что в	1	1
144	а вместе с	1	1
145	непосредственно ни с	1	1
146	же время он	1	1
147	в этих рамках	1	1
148	и не потому	1	1
149	том или ином	1	1
150	это мы и	1	1
151	в котором они	1	1
152	перестает быть тем	1	1
153	при этом не	1	1
154	более и более	1	1
155	таким образом в	2	1
156	между тем с	1	1
157	в эту сторону	1	1
158	лишь то что	1	1
159	все те же	1	1
160	но в конце	1	1
161	зрения того же	1	1
162	всяком случае в	1	1
163	на них как	1	1
164	несколько иной характер	1	1
165	имеем в виду	1	1
166	них как на	1	1
167	мы имеем в	1	1
168	он в конце	1	1
169	главным образом в	3	1
170	один и тот	1	1
171	лишь в этом	1	1
172	своей индивидуальности и	1	1
173	тем или иным	1	1
174	и не могут	1	1
175	его с другими	1	1
176	притом не только	1	1
177	с одной стороны	7	1
178	но для этого	1	1
179	больше никогда не	1	1
180	здесь таким образом	1	1
181	из которых каждый	1	1
182	это и есть	1	1
183	не только как	1	1
184	и друг с	1	1
185	мира должна была	1	1
186	но и для	2	1
187	после того как	1	1
188	один из этих	1	1
