N	2gram	Tiupa_Vved	StatiiOP
1	в и	1	145
2	и в	23	103
3	в том	21	89
4	том что	16	77
5	в этом	27	76
6	что в	6	74
7	не только	32	60
8	о том	7	47
9	но и	31	46
10	то что	9	44
11	что он	2	42
12	в его	9	42
13	и не	24	41
14	может быть	25	38
15	было бы	4	32
16	в этой	2	31
17	вовсе не	1	31
18	тем что	2	29
19	все это	3	29
20	таким образом	6	28
21	а в	15	27
22	а не	31	27
23	но в	14	26
24	что это	2	25
25	так и	14	25
26	пушкина как	1	24
27	этом отношении	7	24
28	и его	9	24
29	все же	10	23
30	точки зрения	1	23
31	не в	12	23
32	так что	1	23
33	потому что	7	23
34	для того	1	22
35	как в	8	22
36	того что	7	22
37	прежде всего	11	22
38	у нас	4	22
39	в области	5	22
40	того чтобы	2	21
41	это не	7	20
42	в своей	10	19
43	в то	5	19
44	только в	9	19
45	в котором	11	18
46	с другой	10	18
47	он не	6	18
48	но также	2	18
49	об этом	5	18
50	не может	14	18
51	в самом	6	17
52	в году	2	17
53	между прочим	1	17
54	самом деле	6	17
55	как бы	8	17
56	в данном	22	17
57	в этих	5	16
58	сказать что	1	16
59	можно было	2	16
60	если бы	10	16
61	в ней	5	16
62	другой стороны	3	15
63	с тем	1	15
64	как и	21	15
65	по поводу	5	15
66	из этих	5	15
67	у него	8	15
68	и на	5	15
69	например в	2	15
70	в отношении	1	15
71	как раз	5	15
72	для него	5	15
73	также и	6	15
74	то же	8	14
75	так например	2	14
76	к тому	9	14
77	между тем	3	14
78	и что	2	14
79	в течение	2	14
80	в той	5	13
81	именно в	1	13
82	во всяком	3	13
83	в своем	9	13
84	из них	1	13
85	в качестве	18	13
86	а с	4	13
87	в конце	3	13
88	в нем	9	13
89	вместе с	2	13
90	со стороны	15	13
91	всяком случае	3	13
92	но это	4	13
93	дело в	1	13
94	что касается	5	13
95	жизни и	8	13
96	тому что	2	13
97	в своих	5	12
98	не менее	4	12
99	хотя бы	2	12
100	что у	4	12
101	в первой	1	12
102	у карамзина	3	12
103	что они	2	12
104	в тексте	11	12
105	в них	4	11
106	в другом	2	11
107	никогда не	6	11
108	не было	5	11
109	ясно что	2	11
110	и с	2	11
111	и по	3	11
112	своего рода	20	11
113	того как	1	11
114	все эти	1	11
115	на то	3	11
116	не столько	5	10
117	в виду	3	10
118	связь с	1	10
119	речь идет	3	10
120	так же	2	10
121	в целом	4	10
122	что такое	23	10
123	что и	6	10
124	но он	2	10
125	во всех	2	10
126	а как	1	10
127	в истории	1	10
128	же время	4	10
129	ничего не	3	10
130	ответ на	2	10
131	на вопрос	1	10
132	на самом	5	10
133	но не	9	10
134	во второй	1	10
135	в частности	19	10
136	в начале	3	10
137	и к	2	9
138	говорит о	1	9
139	можно сказать	6	9
140	он был	1	9
141	в одном	5	9
142	внимание на	4	9
143	несмотря на	2	9
144	его жизни	1	9
145	и это	2	9
146	в чем	2	9
147	ср в	1	9
148	и тем	3	9
149	во время	3	9
150	не является	7	9
151	такого рода	23	9
152	времени и	7	9
153	что же	6	9
154	и для	8	9
155	для нас	4	9
156	что мы	2	9
157	там где	1	9
158	место в	2	9
159	в результате	5	8
160	и даже	3	8
161	в речи	3	8
162	связано с	3	8
163	еще более	2	8
164	к которому	2	8
165	что она	2	8
166	к этому	3	8
167	связи с	2	8
168	одним из	5	8
169	действующих лиц	2	8
170	и др	2	8
171	могут быть	5	8
172	к сожалению	1	8
173	должен был	2	8
174	заключается в	2	8
175	в которых	2	8
176	не имеет	3	8
177	тем не	3	8
178	совершенно не	2	8
179	и более	5	8
180	мы имеем	8	8
181	той же	3	8
182	до конца	5	8
183	подчеркнуть что	5	8
