N	4gram	Tiupa_Hudo	slovoVRo
1	в то же время	11	18
2	но в то же	3	7
3	и в то же	2	6
4	с одной стороны и	1	4
5	и т п все	1	3
6	с этой точки зрения	1	2
7	и в этом случае	1	2
8	ни в чем не	1	2
9	то же время это	1	2
10	того или иного конкретного	1	2
11	уходит своими корнями в	1	2
12	и т п нет	1	1
13	она не может быть	1	1
14	на самом же деле	1	1
15	в том случае если	2	1
16	в том что она	1	1
17	и т п не	1	1
18	же время это и	1	1
19	дело в том что	1	1
20	различия между романом и	1	1
21	в том что в	1	1
22	в связи с этим	2	1
23	также в значительной степени	1	1
24	том что он не	1	1
25	в том числе и	1	1
26	конца подобно тому как	1	1
27	дело не только в	2	1
28	в том что он	1	1
29	до конца подобно тому	1	1
30	но с другой стороны	1	1
31	все более и более	1	1
32	в узком смысле слова	1	1
33	он не знает ни	1	1
34	выражения и т п	1	1
35	так же как и	1	1
