N	2gram	Vygotskiy_	Vladivir
1	и в	55	116
2	то что	47	71
3	и не	24	67
4	у него	4	65
5	не только	25	65
6	в этом	21	53
7	в том	55	52
8	том что	30	51
9	что в	39	48
10	но и	12	47
11	в конце	6	41
12	в его	8	40
13	и с	5	39
14	то есть	44	37
15	и даже	11	36
16	сказать что	12	36
17	также и	2	36
18	там же	2	35
19	учение о	1	35
20	так что	8	35
21	же с	1	34
22	потому что	27	33
23	что он	17	32
24	еще и	1	32
25	не может	30	31
26	о том	11	30
27	только в	18	30
28	как мы	2	29
29	никогда не	13	29
30	для него	1	29
31	вовсе не	7	27
32	а в	10	27
33	не было	5	26
34	а к	1	25
35	в себе	6	25
36	но в	5	25
37	в то	8	25
38	и то	4	25
39	и его	14	25
40	а также	1	24
41	философии и	2	23
42	точки зрения	32	23
43	он не	8	23
44	может быть	35	23
45	что же	4	23
46	ни в	9	22
47	так как	28	22
48	об этом	3	22
49	в своей	6	21
50	вместе с	10	21
51	и что	28	20
52	в своем	3	20
53	для нас	5	20
54	прежде всего	5	20
55	не менее	9	19
56	и вообще	3	19
57	по поводу	3	19
58	как раз	4	19
59	тем не	6	19
60	таким образом	38	19
61	в те	1	19
62	так и	6	19
63	и потому	2	19
64	как и	25	18
65	не в	19	18
66	хотя и	3	18
67	как это	8	18
68	с его	3	18
69	то это	3	17
70	что и	27	17
71	в этой	5	17
72	едва ли	5	17
73	и если	4	17
74	а не	18	17
75	у нас	4	17
76	все же	9	16
77	уже не	3	16
78	к тому	8	16
79	не есть	4	16
80	совсем не	3	16
81	для себя	2	16
82	и все	8	16
83	было бы	14	16
84	того что	15	16
85	в котором	5	16
86	и к	5	15
87	то же	17	15
88	в своих	12	15
89	к этому	5	15
90	несмотря на	8	15
91	в связи	3	15
92	иной раз	1	15
93	до конца	9	15
94	но это	3	15
95	это было	1	15
96	того же	3	14
97	все эти	7	14
98	его жизни	3	14
99	же касается	1	14
100	и на	6	14
101	с а	2	14
102	уже в	3	14
103	и как	9	14
104	во всем	5	13
105	в результате	4	13
106	с тем	11	13
107	можно сказать	2	13
108	так же	29	13
109	те времена	1	13
110	на этот	2	13
111	и от	4	13
112	что это	12	13
113	то время	6	13
114	дело в	2	13
115	жизни и	5	13
116	по себе	21	12
117	только на	7	12
118	и это	6	12
119	и у	6	12
120	и по	7	12
121	в нем	5	12
122	то в	2	12
123	всяком случае	7	12
124	ничего не	4	12
125	во всяком	9	12
126	есть только	7	12
127	связи с	2	12
128	учения о	2	12
129	при этом	28	11
130	него в	2	11
131	но что	3	11
132	более или	3	11
133	в данном	1	11
134	хотя бы	4	11
135	тому же	4	11
136	в которой	6	11
137	я не	1	11
138	на то	17	11
139	он уже	1	11
140	и здесь	3	11
141	никак не	7	11
142	в отношении	3	11
143	это есть	6	11
144	еще в	1	11
145	все это	11	11
146	то он	1	11
147	или менее	3	11
148	мы должны	4	11
149	не очень	1	11
150	и о	4	11
151	конце концов	6	11
152	в самом	18	10
153	даже в	2	10
154	вот что	2	10
155	что все	10	10
156	такого рода	1	10
157	с точки	12	10
158	в качестве	3	10
159	что его	5	10
160	можно было	4	10
161	что для	5	10
162	отнюдь не	11	10
163	к нему	3	10
164	с ним	2	10
165	в россии	1	10
166	еще не	2	10
167	он и	1	10
168	о нем	2	10
169	в ней	3	10
170	но не	5	10
171	и был	1	9
172	о чем	2	9
173	и сам	3	9
174	именно в	1	9
175	с этим	7	9
176	смысле слова	4	9
177	и психологии	2	9
178	с другой	7	9
179	мы знаем	8	9
180	но он	3	9
181	а только	4	9
182	но как	4	9
183	а с	2	9
184	не будет	4	9
185	этом смысле	3	9
186	мы будем	2	9
187	из этого	5	9
188	оно есть	3	9
189	это время	1	9
190	что мы	9	9
191	что если	7	9
192	для меня	1	9
193	это не	1	9
194	же время	2	9
195	по существу	6	9
196	этот раз	1	9
197	в целом	8	9
198	с этой	8	8
199	это значит	1	8
200	не столько	1	8
201	в этих	6	8
202	тем что	7	8
203	в это	1	8
204	которой он	2	8
205	конечно не	2	8
206	это мы	2	8
207	в смысле	3	8
208	в чем	5	8
209	значит что	1	8
210	как в	17	8
211	со стороны	5	8
212	свое время	1	8
213	должно быть	2	8
214	как бы	11	8
215	и для	9	8
216	тот же	8	8
217	только и	1	8
218	когда он	11	8
219	из этих	6	8
220	отношение к	3	8
221	мы и	1	7
222	к этой	2	7
223	в одном	4	7
224	в них	4	7
225	но все	1	7
226	что этот	3	7
227	но даже	4	7
228	точно так	6	7
229	с в	4	7
230	в нашем	1	7
231	и мы	6	7
232	себе и	2	7
233	за пределы	2	7
234	даже не	1	7
235	о его	2	7
236	и есть	5	7
237	который был	1	7
238	мы видели	2	7
239	никак нельзя	2	7
240	здесь мы	1	7
241	если бы	10	7
242	эти годы	1	7
243	но вот	1	7
244	не имеет	3	7
245	в каком	3	7
246	бы и	5	7
247	и вот	5	7
248	того чтобы	13	7
249	из его	4	7
250	при помощи	27	7
251	но если	2	7
252	в свое	1	7
253	не без	1	7
254	на его	3	7
255	в таком	5	7
256	то и	2	7
257	как он	4	7
258	или как	2	7
259	по этому	3	7
260	же в	1	7
261	и очень	2	6
262	же и	2	6
263	тому что	7	6
264	мысли и	2	6
265	те же	9	6
266	в виду	6	6
267	другой стороны	7	6
268	его на	1	6
269	но у	1	6
270	для того	12	6
271	то как	4	6
272	в отличие	4	6
273	настоящее время	2	6
274	на него	2	6
275	он сам	1	6
276	если мы	21	6
277	той же	9	6
278	указать на	1	6
279	по мнению	2	6
280	его в	3	6
281	чем в	2	6
282	том же	4	6
283	что она	11	6
284	время как	6	6
285	под влиянием	4	6
286	но только	6	6
287	она была	1	6
288	почему же	1	6
289	главным образом	3	6
290	взгляд на	2	6
291	и из	7	6
292	должен был	1	6
293	и теперь	2	6
294	на основании	7	6
295	что здесь	2	6
296	в настоящее	2	6
297	данном случае	1	6
298	мы не	15	6
299	а это	1	6
300	и тут	1	6
301	и всегда	2	6
302	здесь в	1	6
303	в общем	2	6
304	но я	1	6
305	к своему	2	6
306	по своему	2	6
307	жизнь и	3	6
308	отличие от	6	6
309	само собой	1	6
310	в жизни	5	6
311	от того	6	6
312	такой же	9	6
313	само по	8	6
314	и наконец	2	6
315	что на	4	6
316	есть не	6	6
317	еще более	2	5
318	говорит о	4	5
319	собой разумеется	1	5
320	и до	2	5
321	на эту	1	5
322	но мы	3	5
323	вопрос о	3	5
324	говорит что	10	5
325	не вполне	1	5
326	как на	6	5
327	и еще	1	5
328	без всякого	2	5
329	быть в	2	5
330	понятие о	2	5
331	из них	4	5
332	бы то	3	5
333	что они	7	5
334	во всех	4	5
335	что у	8	5
336	а и	1	5
337	и за	1	5
338	говорит в	1	5
339	эти три	1	5
340	того и	3	5
341	для его	1	5
342	то ни	2	5
343	и тем	5	5
344	всей этой	2	5
345	что бы	2	5
346	он в	2	5
347	в очень	2	5
348	с с	1	5
349	можно только	1	5
350	в частности	6	5
351	один из	6	5
352	утверждает что	5	5
353	сводится к	3	5
354	все то	4	5
355	и так	7	5
356	жизни в	1	5
357	нет ничего	1	5
358	в свою	3	5
359	и больше	2	5
360	мы имеем	7	5
361	им в	4	5
362	самого же	2	5
363	заметить что	3	5
364	по преимуществу	2	5
365	что я	4	5
366	только при	4	5
367	увидим ниже	1	5
368	он как	1	5
369	что с	5	5
370	как нечто	3	5
371	место в	1	5
372	в их	4	5
373	мы находим	2	5
374	а то	1	5
375	и без	3	5
376	он никогда	1	5
377	на все	6	5
378	есть все	1	5
379	с самого	1	5
380	эти последние	1	5
381	она не	6	5
382	церкви и	1	5
383	но она	1	5
384	учение об	2	5
385	далеко не	7	5
386	только то	3	5
387	и часто	2	5
388	которое в	2	5
389	бытия и	1	5
390	в области	12	5
391	и только	5	5
392	которой мы	2	5
393	философского творчества	1	5
394	не к	2	5
395	и другие	5	4
396	и называет	1	4
397	только что	3	4
398	которые не	3	4
399	нас в	2	4
400	нужно сказать	1	4
401	все дело	3	4
402	представление о	6	4
403	их в	4	4
404	поскольку он	2	4
405	не могли	4	4
406	мы увидим	4	4
407	процесс в	4	4
408	об отношении	1	4
409	уже и	2	4
410	не что	2	4
411	в глаза	2	4
412	пока еще	1	4
413	наряду с	3	4
414	том чтобы	9	4
415	с этими	1	4
416	что даже	3	4
417	она есть	2	4
418	крайней мере	1	4
419	не то	2	4
420	сам по	4	4
421	только не	4	4
422	что иное	2	4
423	с одной	6	4
424	время в	2	4
425	на этих	1	4
426	мы можем	6	4
427	нет и	1	4
428	или не	2	4
429	не о	1	4
430	но для	1	4
431	ясно что	22	4
432	и вместе	2	4
433	всех своих	1	4
434	если оно	3	4
435	на этом	3	4
436	в духе	1	4
437	в тех	2	4
438	очень мало	1	4
439	когда мы	4	4
440	оба они	1	4
441	всю жизнь	2	4
442	независимо от	3	4
443	в статье	1	4
444	вплоть до	3	4
445	в особенности	3	4
446	не так	2	4
447	и сейчас	4	4
448	с и	17	4
449	которых мы	4	4
450	в сущности	15	4
451	не на	2	4
452	не могут	6	4
453	заключается в	15	4
454	в нас	3	4
455	есть нечто	4	4
456	и просто	1	4
457	и т	36	4
458	себя и	3	4
459	по крайней	1	4
460	перед нами	1	4
461	человека и	3	4
462	только одно	1	4
463	это и	3	4
464	совершенно не	7	4
465	и более	3	4
466	тех же	2	4
467	с которой	1	4
468	для нее	1	4
469	которые можно	1	4
470	знаем что	4	4
471	как например	2	4
472	то мы	1	4
473	и во	3	4
474	одной из	1	4
475	того с	1	4
476	т д	10	4
477	только с	2	4
478	у них	2	4
479	как к	2	4
480	в более	1	4
481	ему в	1	4
482	тем самым	2	4
483	этом отношении	7	4
484	тоже в	1	4
485	как у	1	4
486	на самом	6	4
487	но с	1	4
488	этом не	2	4
489	настоящей работы	2	4
490	в такой	2	4
491	к канту	1	4
492	вопросе о	1	4
493	он говорит	4	4
494	в науке	2	4
495	одной стороны	7	4
496	оказывается что	5	4
497	можно найти	1	4
498	россии и	1	4
499	же самое	8	4
500	оно должно	1	4
501	это можно	3	4
502	и других	4	4
503	так в	1	4
504	и эта	1	4
505	же это	1	4
506	иное как	2	4
507	указывал на	1	3
508	от него	2	3
509	все что	4	3
510	человеческой жизни	1	3
511	здесь же	1	3
512	из своего	1	3
513	в последнее	4	3
514	можно и	1	3
515	к такому	1	3
516	очень много	1	3
517	в разных	1	3
518	ни стало	1	3
519	строго говоря	1	3
520	не как	3	3
521	что человек	1	3
522	его от	2	3
523	прибавить что	1	3
524	исходить из	1	3
525	что по	5	3
526	роль в	4	3
527	является для	1	3
528	отличается от	4	3
529	когда в	1	3
530	мир и	1	3
531	так например	1	3
532	казалось бы	4	3
533	сам же	1	3
534	я вижу	1	3
535	не существует	4	3
536	и такие	1	3
537	в противоположность	1	3
538	только как	3	3
539	в другом	1	3
540	но то	1	3
541	во многих	1	3
542	отметить что	2	3
543	самого начала	1	3
544	свою очередь	3	3
545	именно так	1	3
546	находится в	1	3
547	связи со	2	3
548	здравого смысла	1	3
549	для понимания	2	3
550	который в	3	3
551	на котором	2	3
552	нет никаких	1	3
553	к этим	1	3
554	точка зрения	6	3
555	гораздо более	2	3
556	оставаться в	1	3
557	здесь нет	1	3
558	но из	1	3
559	время и	1	3
560	в состоянии	4	3
561	начала и	2	3
562	ним в	1	3
563	то для	1	3
564	это обстоятельство	3	3
565	и кажется	1	3
566	согласии с	5	3
567	к жизни	2	3
568	как можно	3	3
569	куда он	1	3
570	не была	1	3
571	будто бы	2	3
572	что не	2	3
573	как говорит	5	3
574	между ними	2	3
575	же как	8	3
576	в мире	1	3
577	следовательно и	1	3
578	больше и	2	3
579	в сторону	1	3
580	бы в	3	3
581	оно не	2	3
582	очень часто	4	3
583	во что	1	3
584	человека как	1	3
585	этих трех	1	3
586	только потому	2	3
587	это едва	1	3
588	одно и	1	3
589	не могла	1	3
590	и хотя	1	3
591	которая с	1	3
592	сравнительно с	1	3
593	возможно что	1	3
594	и никогда	1	3
595	бы его	1	3
596	найти в	2	3
597	и др	1	3
598	что есть	3	3
599	он сказал	1	3
600	в силу	4	3
601	дело не	1	3
602	его к	2	3
603	которого мы	2	3
604	остановиться на	2	3
605	которая и	1	3
606	и ее	4	3
607	и действительно	1	3
608	раз он	1	3
