N	4gram	Tiupa_Lite	Vvedenie
1	в то же время	12	6
2	с одной стороны и	1	3
3	дело в том что	2	3
4	но в то же	1	3
5	состоит в том что	6	2
6	с этой точки зрения	3	2
7	одно и то же	1	2
8	одного и того же	1	2
9	только в том что	2	1
10	не только в том	2	1
11	дело не только в	2	1
12	и прежде всего в	1	1
13	в том что он	1	1
14	в руках у нас	1	1
15	принципе не может быть	1	1
16	до тех пор пока	2	1
17	но с другой стороны	3	1
18	бы то ни было	1	1
19	тех пор пока не	1	1
20	в том что в	1	1
21	какой бы то ни	1	1
22	не говоря уже о	2	1
23	мы имеем дело с	1	1
24	в принципе не может	1	1
