N	2gram	Tiupa_Narr	EvropaiE
1	и в	22	37
2	в отношении	1	32
3	в пределах	2	25
4	точки зрения	8	23
5	что в	6	21
6	не только	50	18
7	с точки	2	17
8	в то	9	16
9	то же	12	15
10	хотя бы	4	15
11	отношении к	1	15
12	в качестве	27	14
13	и не	34	14
14	но и	39	14
15	же время	7	14
16	в своем	7	14
17	но в	10	14
18	в этом	23	12
19	в том	20	11
20	в их	1	11
21	в области	4	11
22	с и	1	10
23	так и	12	10
24	в себе	14	9
25	прежде всего	7	9
26	только в	23	9
27	так же	2	9
28	не может	16	9
29	отнюдь не	6	9
30	с одной	5	8
31	в ее	4	8
32	в своей	8	8
33	одной стороны	5	8
34	между тем	5	8
35	было бы	2	8
36	к тому	13	8
37	так как	1	7
38	того что	7	7
39	а также	11	7
40	как и	15	7
41	по своему	3	7
42	также и	4	7
43	с другой	6	7
44	то есть	15	6
45	с этой	3	6
46	в последние	2	6
47	и даже	4	6
48	вслед за	4	6
49	и на	5	6
50	том что	15	6
51	вовсе не	2	6
52	во всех	2	6
53	может быть	24	6
54	того чтобы	7	6
55	для того	4	6
56	стороны и	1	6
57	то что	14	6
58	как бы	11	6
59	на то	4	6
60	в той	4	5
61	тем самым	9	5
62	в виде	2	5
63	этой точки	1	5
64	не в	12	5
65	но не	7	5
66	к которым	1	5
67	со стороны	14	5
68	и потому	2	5
69	в течение	1	5
70	же как	2	5
71	в частности	23	5
72	как мы	3	5
73	одной из	2	5
74	столь же	6	5
75	и по	3	5
76	в перспективе	1	4
77	в самом	8	4
78	бы то	1	4
79	то в	4	4
80	мы не	5	4
81	в предыдущем	1	4
82	даже в	1	4
83	ни было	1	4
84	того или	3	4
85	для нас	2	4
86	не на	1	4
87	и притом	3	4
88	само по	1	4
89	в некотором	2	4
90	именно в	5	4
91	в процессе	2	4
92	по себе	4	4
93	не имеет	3	4
94	в каком	1	4
95	тем более	2	4
96	той или	7	4
97	в полной	1	4
98	вопрос о	1	4
99	но даже	1	4
100	то ни	1	4
101	или иного	3	4
102	как это	7	4
103	несмотря на	1	4
104	в направлении	2	4
105	к ней	3	4
106	в ней	5	4
107	сказать что	5	4
108	можно сказать	11	4
109	во многих	1	4
110	или иной	6	4
111	мира в	4	4
112	на всем	1	4
113	и к	7	3
114	говорит о	3	3
115	но на	1	3
116	и мы	1	3
117	приближается к	1	3
118	различия в	1	3
119	можно ли	1	3
120	она в	3	3
121	из всех	1	3
122	этом отношении	5	3
123	ее в	1	3
124	что и	3	3
125	в результате	4	3
126	мы можем	2	3
127	не является	7	3
128	себе не	1	3
129	можно было	2	3
130	как было	1	3
131	в будущем	1	3
132	на себя	5	3
133	не более	1	3
134	что согласно	1	3
135	дело в	2	3
136	тем что	1	3
137	очевидно что	1	3
138	в таком	4	3
139	в стороне	1	3
140	большинстве случаев	1	3
141	в пределы	1	3
142	как в	9	3
143	жизни в	7	3
144	мира и	2	3
145	и со	1	3
146	в которых	1	3
147	по своим	2	3
148	в известном	4	3
149	с другом	1	3
150	бы ни	1	3
151	в психологии	1	3
152	во всяком	2	3
153	во все	1	3
154	в данном	17	3
155	ли это	1	3
156	идет о	3	3
157	в свою	4	3
158	всего лишь	8	3
159	представляет собой	21	3
160	связано с	2	3
161	потому что	7	3
162	и тем	9	3
163	во второй	2	3
164	когда он	1	3
165	не будет	2	3
166	и для	4	3
167	народов и	1	3
168	заключает в	2	3
169	этом смысле	1	3
170	известной степени	1	3
171	существования в	1	3
172	к ним	2	3
173	как на	2	3
174	с тем	1	3
175	известном смысле	4	3
176	в данной	2	3
177	в сфере	2	3
178	обстоит дело	1	3
179	это так	1	3
180	и от	3	3
181	место в	3	3
182	о том	5	3
183	в общем	1	3
184	мы видели	1	3
185	там где	1	3
186	и только	2	3
187	друг с	1	3
188	является ли	1	3
189	всяком случае	2	3
190	не из	1	3
191	того же	2	3
192	в культуре	3	3
193	из них	4	3
194	никогда не	8	3
195	таким образом	5	2
196	иначе говоря	14	2
197	именно к	1	2
198	и то	3	2
199	во втором	6	2
200	половине второго	1	2
201	по преимуществу	1	2
202	данном случае	12	2
203	будем именовать	1	2
204	если в	2	2
205	и сейчас	1	2
206	и того	5	2
207	должна быть	2	2
208	но еще	1	2
209	в его	12	2
