N	2gram	Losev_Prob	Psycholo
1	то что	72	193
2	и в	64	190
3	в том	19	163
4	что в	21	123
5	потому что	24	114
6	том что	26	113
7	и что	21	108
8	может быть	29	107
9	таким образом	9	102
10	в этом	30	100
11	то есть	61	97
12	все время	3	86
13	в самом	10	82
14	как бы	18	80
15	для того	10	78
16	того чтобы	10	78
17	что он	11	76
18	не только	37	75
19	на то	12	73
20	и не	63	73
21	что она	8	71
22	самом деле	10	70
23	точки зрения	5	69
24	и т	13	69
25	не может	18	68
26	если мы	16	66
27	так же	12	63
28	так как	16	63
29	было бы	16	56
30	если бы	8	55
31	то же	10	54
32	о том	25	54
33	и мы	1	54
34	при этом	8	52
35	как и	7	51
36	что и	2	50
37	а не	21	50
38	что это	4	49
39	сказать что	33	46
40	по себе	20	46
41	только в	19	46
42	в сущности	2	46
43	заключается в	2	46
44	говорит что	1	45
45	к тому	5	45
46	в искусстве	3	45
47	не в	6	45
48	ясно что	7	43
49	искусства и	3	43
50	в этой	14	43
51	показать что	1	43
52	никогда не	8	42
53	и все	9	42
54	вместе с	4	41
55	как это	7	40
56	но и	23	40
57	с и	2	40
58	как раз	20	39
59	при помощи	21	39
60	того что	18	39
61	же самое	9	38
62	т п	1	38
63	и это	13	37
64	мы видим	2	37
65	и как	10	36
66	с тем	6	35
67	вовсе не	60	34
68	как на	3	34
69	и если	9	34
70	и его	3	34
71	тому что	6	33
72	все же	7	33
73	что все	9	33
74	в себе	16	32
75	все это	11	32
76	художественного произведения	1	32
77	он не	5	31
78	мы не	6	31
79	в его	12	31
80	для нас	11	31
81	в ней	1	31
82	сейчас же	3	30
83	мы увидим	3	30
84	как будто	6	30
85	никак не	13	30
86	как в	5	30
87	с одной	4	29
88	в нас	2	29
89	и для	10	29
90	одной стороны	4	29
91	с точки	3	29
92	в нем	14	29
93	что они	5	28
94	мы можем	8	28
95	и то	15	28
96	что мы	23	28
97	в своих	3	27
98	в основе	4	27
99	и на	11	27
100	а в	7	27
101	с другой	8	27
102	так что	12	26
103	совершенно не	7	26
104	только что	2	25
105	и здесь	8	25
106	жизни и	1	25
107	до сих	6	24
108	до конца	1	24
109	тем что	10	24
110	художественное произведение	1	24
111	сущности говоря	1	24
112	указывает на	16	24
113	в целом	1	24
114	в своем	7	23
115	сих пор	6	23
116	из этого	2	23
117	один из	7	23
118	что если	5	23
119	что оно	4	23
120	для этого	5	23
121	могут быть	2	23
122	казалось бы	11	22
123	с этим	7	22
124	из них	3	22
125	что у	1	22
126	между тем	3	22
127	и даже	19	22
128	когда мы	10	22
129	т д	12	22
130	в котором	5	21
131	том чтобы	1	21
132	в которых	4	21
133	той же	2	21
134	в своей	8	21
135	ни в	13	21
136	в конце	13	21
137	что эта	2	21
138	но только	3	21
139	как мы	10	21
140	и только	7	21
141	другой стороны	7	20
142	в то	7	20
143	тот же	4	20
144	мы имеем	3	20
145	она не	5	20
146	несмотря на	6	20
147	на этом	1	20
148	это не	7	20
149	все эти	15	20
150	что при	2	19
151	мы уже	8	19
152	в какой	1	19
153	мы должны	5	19
154	в ее	3	19
155	он говорит	2	19
156	с этой	1	18
157	в которой	2	18
158	можно было	8	18
159	но в	19	18
