N	2gram	Tiupa_Lite	VrazhdaK
1	в году	18	18
2	не только	29	9
3	достоевского с	1	9
4	и достоевского	1	9
5	в этом	19	8
6	лишнего человека	1	8
7	и в	26	8
8	и что	2	8
9	что в	7	7
10	достоевского в	1	7
11	и все	1	7
12	но и	25	7
13	то что	14	7
14	о нем	1	6
15	как и	13	6
16	и даже	9	6
17	и с	4	6
18	в романе	1	6
19	все же	6	6
20	в котором	1	6
21	в начале	4	6
22	в нем	4	6
23	но в	5	6
24	то же	13	5
25	у него	5	5
26	в россии	2	5
27	и не	19	5
28	между тем	2	5
29	не было	5	5
30	же время	12	5
31	в то	12	5
32	это не	4	4
33	при этом	23	4
34	несмотря на	3	4
35	с ним	2	4
36	для нас	3	4
37	х годов	5	4
38	в виду	4	4
39	в своих	5	4
40	что он	8	4
41	уже в	7	4
42	у достоевского	2	4
43	о том	3	4
44	может быть	24	4
45	в ней	4	4
46	целый ряд	1	4
47	в истории	1	4
48	как бы	8	4
49	так же	1	4
50	русской литературе	7	3
51	в его	9	3
52	в том	22	3
53	имел в	2	3
54	его в	4	3
55	связи с	7	3
56	но он	1	3
57	в связи	4	3
58	я не	8	3
59	и как	2	3
60	далеко не	4	3
61	тем что	6	3
62	речь идет	3	3
63	в чем	2	3
64	о князе	1	3
65	и у	1	3
66	в русской	13	3
67	о себе	7	3
68	человека в	5	3
69	он был	1	3
70	эти слова	2	3
71	том что	19	3
72	в этот	1	3
73	он не	4	3
74	и уже	1	3
75	в конце	6	3
76	к творчеству	1	3
77	и о	1	3
78	наряду с	1	3
79	что есть	2	3
80	одним из	8	3
81	в своем	12	3
82	на то	2	3
83	с его	5	3
84	и его	7	3
85	к этому	2	3
86	и во	1	3
87	в той	1	2
88	ноябре года	1	2
89	таким образом	4	2
90	записки из	1	2
91	и то	3	2
92	ответ на	1	2
93	и он	3	2
94	от сознания	2	2
95	в момент	1	2
96	в ноябре	1	2
97	к себе	3	2
98	мы знаем	1	2
99	с точки	4	2
100	для него	6	2
101	как раз	6	2
102	мне и	1	2
103	нашего времени	2	2
104	о которой	2	2
105	врага в	3	2
106	в них	1	2
107	и наказания	1	2
108	а также	5	2
109	права на	4	2
110	россии в	1	2
111	же в	6	2
112	в среде	1	2
113	отношения к	1	2
114	его на	1	2
115	в мире	9	2
116	же как	3	2
117	в своей	5	2
118	рядом с	1	2
119	вместе с	5	2
120	что ж	1	2
121	так в	6	2
122	в это	1	2
123	в известном	1	2
124	не менее	11	2
125	в эту	1	2
126	и стал	1	2
127	на первый	1	2
128	еще не	4	2
129	ко мне	1	2
130	но как	3	2
131	а с	2	2
132	в свою	2	2
133	на основе	2	2
134	и т.п	14	2
135	в этой	7	2
136	в нашей	2	2
137	что к	1	2
138	человека с	1	2
139	тогда как	20	2
140	он писал	1	2
141	а в	5	2
142	на это	2	2
143	отношение к	1	2
144	в одну	1	2
145	уже не	9	2
146	году в	1	2
147	из них	5	2
148	в себе	8	2
149	что я	4	2
150	в глазах	4	2
151	не может	10	2
152	столь же	5	2
153	том же	3	2
154	точки зрения	8	2
155	тем более	2	2
156	одна из	8	2
157	году и	1	2
158	об этой	1	2
159	время он	1	2
160	он сам	2	2
161	в эти	1	2
162	отнюдь не	4	2
163	но это	2	2
164	во время	1	2
165	не мог	3	2
166	в него	1	2
167	никогда не	5	2
168	могли быть	1	2
169	души и	1	1
170	для россии	1	1
171	в особенности	2	1
172	все в	1	1
173	нет необходимости	1	1
174	своего рода	22	1
175	в самом	4	1
176	во всем	1	1
177	и такую	1	1
178	то в	3	1
179	как к	4	1
180	так и	7	1
181	преступления и	1	1
182	что они	1	1
183	романа с	1	1
184	в свое	1	1
185	в литературе	2	1
186	все что	3	1
187	перед сном	1	1
188	другой не	1	1
189	для всех	5	1
190	до сих	1	1
191	мире а	1	1
192	в душе	3	1
193	один из	7	1
194	в цель	1	1
195	и этот	1	1
196	россии не	1	1
197	ему в	2	1
198	со мной	2	1
199	этого в	1	1
200	из которых	3	1
201	приближается к	1	1
202	войне и	2	1
203	они не	1	1
204	исторического момента	1	1
205	только что	1	1
206	он весьма	1	1
207	если в	2	1
208	лет назад	1	1
209	на три	2	1
210	того как	1	1
211	к этой	2	1
212	в основном	1	1
213	второй половине	1	1
214	которой не	1	1
215	об одном	1	1
216	собой в	1	1
217	сколько в	1	1
218	усматривал в	1	1
219	вровень с	1	1
220	героя в	2	1
221	что уже	1	1
222	вот она	2	1
223	он как	1	1
224	у чехова	1	1
225	он называл	1	1
226	от которого	1	1
227	из всех	1	1
228	что это	1	1
229	с тех	1	1
230	он и	5	1
231	из стихотворения	1	1
232	в ее	1	1
233	целого ряда	1	1
234	того что	7	1
235	в недрах	1	1
236	говорит о	1	1
237	романе достоевского	1	1
238	по праву	2	1
239	в качестве	21	1
240	задолго до	1	1
241	в поэме	5	1
242	него в	2	1
243	прежде всего	14	1
244	тогда же	1	1
245	и другими	1	1
246	ее и	1	1
247	своих собственных	1	1
248	россия в	1	1
249	другой стороны	5	1
250	быть может	2	1
251	нет ничего	2	1
252	себе не	2	1
253	уже говорилось	1	1
254	в этих	2	1
255	он лишь	1	1
256	за это	1	1
257	в их	3	1
258	о своем	3	1
259	все равно	1	1
260	мы находим	1	1
261	что слово	1	1
262	тому же	2	1
263	этой практики	1	1
264	этими тремя	1	1
265	но с	3	1
266	он уже	1	1
267	что ни	1	1
268	можно признать	1	1
269	а за	3	1
270	в войне	1	1
271	то было	1	1
272	самим собой	2	1
273	ты как	1	1
274	этого не	2	1
275	из двух	1	1
276	и сам	6	1
277	как по	1	1
278	т.п ему	1	1
279	в одном	2	1
280	тот кто	1	1
281	на нее	2	1
282	на свою	3	1
283	издания мы	1	1
284	в будущее	1	1
285	еще в	7	1
286	предполагать что	1	1
287	как при	1	1
288	но не	8	1
289	в ту	1	1
290	в глубине	1	1
291	скорее всего	1	1
292	но для	1	1
293	движением руки	1	1
294	именно в	1	1
295	как новый	2	1
296	уже на	1	1
297	жизни и	6	1
298	он у	1	1
299	в таком	1	1
300	в литературу	1	1
301	нам не	1	1
302	в жизни	7	1
303	более что	1	1
304	и эстетический	1	1
305	литературе и	1	1
306	этого романа	1	1
307	не знал	1	1
308	как о	1	1
309	начинается с	1	1
310	в соответствии	2	1
311	человек в	2	1
312	в бою	2	1
313	себя как	2	1
314	своей души	1	1
315	далее этот	1	1
316	не есть	2	1
317	а их	1	1
318	это время	1	1
319	между прочим	1	1
320	одном из	3	1
321	меня я	1	1
322	и перед	1	1
323	как в	5	1
324	них он	1	1
325	роль в	2	1
326	наполеона в	1	1
327	ли не	7	1
328	в авторском	2	1
329	как нам	2	1
330	и я	7	1
331	начале х	1	1
332	по преимуществу	6	1
333	никто не	1	1
334	отличается от	1	1
335	да и	3	1
336	его жизни	1	1
337	прочим и	1	1
338	который не	1	1
339	именно своей	1	1
340	не знали	3	1
341	в условиях	1	1
342	это было	1	1
343	в итоге	2	1
344	пока не	2	1
345	в сторону	1	1
346	общее дело	1	1
347	что образ	1	1
348	достоевского это	1	1
349	не имеет	2	1
350	ничего общего	2	1
351	но мы	1	1
352	тем не	4	1
353	раз и	2	1
354	там за	1	1
355	через год	1	1
356	сих пор	1	1
357	не был	1	1
358	с первого	1	1
359	первый взгляд	1	1
360	еще один	1	1
361	во всех	4	1
362	сам же	2	1
363	на россию	1	1
364	во всяком	3	1
365	и руки	1	1
366	только от	1	1
367	в стиле	1	1
368	входя в	1	1
369	я вижу	2	1
370	то он	3	1
371	это конечно	1	1
372	в полной	1	1
373	выше и	2	1
374	не могли	1	1
375	по которому	1	1
376	что этот	1	1
377	не хуже	1	1
378	свое место	1	1
379	имеется в	2	1
380	как пример	1	1
381	это как	3	1
382	и большой	1	1
383	за мною	1	1
384	на страницах	1	1
385	не любил	2	1
386	я напротив	1	1
387	но при	2	1
388	за обедом	1	1
389	я ее	1	1
390	десять лет	1	1
391	потому что	5	1
392	традиции к	1	1
393	разногласия и	1	1
394	также и	3	1
395	одну из	2	1
396	только как	1	1
397	не всегда	1	1
398	из их	1	1
399	в рассказе	1	1
400	тех пор	2	1
401	которых не	1	1
402	к своей	2	1
403	в ответ	1	1
404	он стал	1	1
405	я только	1	1
406	с героями	1	1
407	в развитии	1	1
408	во второй	2	1
409	в частности	18	1
410	над которым	1	1
411	году когда	1	1
412	никого не	1	1
413	но зато	2	1
414	нужно было	1	1
415	не могло	3	1
416	но они	1	1
417	говорить о	1	1
418	не с	2	1
419	одно и	1	1
420	отношении к	2	1
421	всех этих	1	1
422	как он	2	1
423	говорит я	1	1
424	человеческого достоинства	1	1
425	е годы	3	1
426	к смерти	2	1
427	вслед за	1	1
428	периоды его	1	1
429	по воспоминаниям	1	1
430	человек который	1	1
431	тем самым	8	1
432	вот в	1	1
433	по своей	3	1
434	которую он	1	1
435	человека и	2	1
436	в каком	1	1
437	каждый из	4	1
438	а от	1	1
439	в москве	2	1
440	свою очередь	2	1
441	не затрагивает	1	1
442	вся русская	1	1
443	и т.д	8	1
444	у которого	1	1
445	идет о	4	1
446	годов в	2	1
447	как известно	1	1
448	с другой	11	1
449	было бы	4	1
450	автора в	2	1
451	что же	1	1
452	как на	3	1
453	соответствии с	3	1
454	себя в	7	1
455	и мире	1	1
456	я с	1	1
457	которых он	1	1
458	однако в	7	1
459	в плане	1	1
460	что для	2	1
461	по которой	1	1
462	а вот	2	1
463	затем в	1	1
464	ключ к	1	1
465	той же	5	1
466	разрушила эту	1	1
467	как правило	5	1
468	могут быть	4	1
469	россии где	1	1
470	только по	1	1
471	три строки	1	1
472	до конца	3	1
473	из первых	1	1
474	имя и	1	1
475	во многих	3	1
476	в полтаве	1	1
477	только при	1	1
478	в первой	1	1
479	есть по	1	1
480	и от	1	1
481	человечества и	1	1
482	и есть	3	1
483	тем чтобы	1	1
484	во всей	1	1
485	в силу	4	1
486	по крайней	2	1
487	всю жизнь	2	1
488	такой же	3	1
489	в уме	4	1
490	разрешения на	1	1
491	идет не	1	1
492	из этого	2	1
493	не стоит	1	1
494	не все	1	1
495	от них	1	1
496	складывались и	1	1
497	этом отношении	5	1
498	тут же	1	1
499	же это	3	1
500	сидя на	1	1
501	всяком случае	2	1
502	конце концов	1	1
503	друг друга	5	1
504	с ее	3	1
505	персонажей достоевского	1	1
506	же он	1	1
507	бы в	1	1
508	не просто	2	1
509	года а	1	1
510	того же	5	1
511	мотив получает	1	1
512	в целом	10	1
513	крайней мере	2	1
514	едва ли	5	1
515	одного и	1	1
516	не писал	1	1
517	вражды в	1	1
518	и наконец	2	1
519	ничего не	3	1
520	вплоть до	4	1
521	в е	3	1
522	поэтому он	1	1
523	к нему	1	1
524	более того	1	1
