N	3gram	Medvedev_V	Psycholo
1	в том что	2	78
2	в самом деле	1	51
3	совершенно ясно что	1	33
4	в конце концов	2	12
5	и то же	1	8
6	одно и то	1	7
7	и в частности	1	5
8	и заключается что	1	4
9	и в другом	1	3
10	дело в том	1	3
11	да и не	1	3
12	по крайней мере	1	2
13	то чего не	1	2
14	именно в этом	1	2
15	и том же	1	1
16	находится под влиянием	1	1
17	в этом и	1	1
18	самом деле как	1	1
19	же все время	1	1
20	потому что сами	1	1
21	хотя бы потому	1	1
22	в другом месте	1	1
23	одном и том	1	1
24	ни к чему	1	1
