N	3gram	Potebnia_M	Istorich
1	и т д	5	142
2	в этих случаях	1	47
3	с другой стороны	4	46
4	до сих пор	4	30
5	в этом случае	2	29
6	с одной стороны	4	28
7	в том что	22	25
8	не может быть	7	24
9	вместе с тем	5	23
10	тем не менее	7	23
11	о том что	5	22
12	не только в	4	19
13	мы видели что	1	16
14	в данном случае	3	15
15	после того как	2	15
16	по отношению к	10	14
17	в сказке о	1	14
18	на то что	3	14
19	в то время	7	13
20	то время как	3	13
21	но и в	4	12
22	как мы видели	1	12
23	не что иное	1	11
24	выше мы видели	1	11
25	что иное как	1	11
26	как и в	3	10
27	что и в	4	10
28	друг с другом	1	9
29	но так как	2	9
30	более или менее	6	9
31	в таких случаях	2	9
32	то же самое	3	8
33	таким образом и	1	8
34	и то что	3	8
35	но вместе с	2	8
36	мере того как	8	8
37	по мере того	8	8
38	подобно тому как	3	8
39	в большинстве случаев	2	7
40	можем предположить что	1	7
41	с этой стороны	2	7
42	смысле этого слова	9	7
43	то что в	2	7
44	мы можем предположить	2	7
45	с тем что	1	7
46	во всяком случае	3	7
47	что он не	3	7
48	потому что он	3	7
49	если бы мы	1	7
50	на первый взгляд	1	7
51	отсюда видно что	2	7
52	не в силу	1	6
53	и в других	1	6
54	к тому же	1	6
55	это значит что	1	6
56	мы должны будем	2	6
57	но тем не	4	6
58	мы не можем	5	6
59	с этим в	1	5
60	для того чтобы	5	5
61	так как это	1	5
62	со всех сторон	3	5
63	в том чтобы	4	5
64	только после того	1	5
65	в других случаях	1	5
66	есть не что	1	5
67	так и в	2	5
68	на самом деле	4	5
69	это далеко не	1	4
70	так или иначе	1	4
71	и может быть	2	4
72	только то что	1	4
73	с точки зрения	2	4
74	там где нет	1	4
75	состоит в том	1	4
76	есть своего рода	1	4
77	вопрос о том	1	4
78	то же что	5	4
79	по себе не	2	4
80	нам кажется что	3	4
81	сами по себе	3	4
82	в это время	1	4
83	можно сказать что	3	4
84	одной стороны и	1	3
85	все то что	2	3
86	как один из	1	3
87	и многие другие	2	3
88	один из них	1	3
89	и то же	7	3
90	не только не	4	3
91	и тем самым	1	3
92	этом случае мы	1	3
93	по этому поводу	1	3
94	к тому что	3	3
95	можно найти в	1	3
96	в одном из	1	3
97	за то что	1	3
98	например в сказке	1	3
99	один и тот	2	3
100	если бы она	1	3
101	и тем что	1	3
102	мы видели выше	1	3
103	не только по	3	3
104	дело в том	1	3
105	что мы видим	2	3
106	на первых порах	2	3
107	потому что я	1	3
108	и тот же	2	3
109	то же в	1	3
110	не в том	6	3
111	само по себе	6	3
112	то ни было	1	3
113	бы то ни	1	3
114	только тогда когда	11	3
115	так же и	1	3
116	таким образом в	1	3
117	для нас не	1	3
118	в том смысле	6	3
119	каждый из этих	1	3
120	она не знает	1	3
121	не в состоянии	4	3
122	что в нем	1	3
123	так тесно связаны	1	2
124	мы этого не	1	2
125	а может быть	2	2
126	каждого из них	1	2
127	может быть назван	3	2
128	но и по	2	2
129	по себе а	4	2
130	в том как	3	2
131	и т п	7	2
132	уже не в	1	2
133	в самом деле	1	2
134	но в таком	1	2
135	быть не может	2	2
136	далеко не всегда	1	2
137	друг от друга	2	2
138	в таком случае	2	2
139	дело вовсе не	1	2
140	сам по себе	9	2
141	ничего общего с	1	2
142	если не сделает	1	2
143	уже после того	1	2
144	или как говорит	1	2
145	и таким образом	1	2
146	во многих случаях	1	2
147	посредником между двумя	1	2
148	а в том	5	2
149	то и другое	3	2
150	можно сделать из	1	2
151	сама по себе	3	2
152	а не с	1	2
153	из того что	1	2
154	нельзя сказать чтобы	1	2
155	дает нам право	1	2
156	в силу того	2	2
157	могут быть объяснены	1	2
158	в подобных случаях	1	2
159	в одно время	3	2
160	что не только	1	2
161	превращается в ряд	1	2
162	к тому чтобы	1	2
163	и что это	1	2
164	только в том	5	2
165	заметить что в	2	2
166	но все это	1	2
167	в них не	1	2
168	не было ни	1	2
169	но еще не	1	2
170	том что и	1	2
171	не сам по	1	2
172	могли бы быть	2	2
173	не могут быть	3	2
174	в связь с	1	2
175	легко может быть	1	2
176	выводы можно сделать	1	2
177	может быть и	1	2
178	в то самое	1	2
179	она нигде не	1	2
180	это для нас	1	2
181	вовсе не в	1	2
182	там где еще	1	2
183	в чем состоит	1	2
184	том что она	1	2
185	но и то	1	2
186	по тому что	2	2
187	может быть только	4	2
188	уже потому что	1	2
189	мы должны признать	1	2
190	бы она не	1	2
191	легко заметить что	1	2
192	для нас это	1	2
193	его связь с	1	2
194	еще не имеет	1	2
195	из них не	2	2
196	и то и	2	2
197	не вдаваясь в	1	2
198	а не в	1	2
199	при всей своей	1	2
200	его как бы	1	2
201	и в том	3	2
202	и не может	1	2
203	другими словами мы	1	2
204	в свою очередь	6	2
205	силу того что	2	2
206	большей или меньшей	1	2
207	равно как и	2	2
208	тем что в	1	2
209	мы видим не	1	2
210	мы не знаем	3	2
211	с одним из	1	2
212	здесь как и	1	2
213	не потому что	1	2
214	можно заметить что	1	2
215	и той же	4	2
216	на свое место	1	2
217	можно видеть что	1	2
218	а потом и	1	2
219	одно и то	7	2
220	одной и той	4	2
221	таким образом что	2	2
222	только потому что	5	2
223	том что он	2	2
224	что этот образ	2	2
225	в общих чертах	2	2
226	тогда как в	2	2
227	в самых разнообразных	1	2
228	может быть названо	1	2
229	вне связи с	2	2
230	потому что мы	3	2
231	это было бы	1	2
232	в чем бы	1	1
233	со второй половины	1	1
234	или в том	1	1
235	не само по	1	1
236	по одной из	1	1
237	есть такое же	1	1
238	потому что оно	2	1
239	что у нас	1	1
240	причин по которым	1	1
241	этого не было	1	1
242	за ним но	1	1
243	что в ней	2	1
244	такое же значение	1	1
245	это дает нам	1	1
246	а не как	2	1
247	такая форма в	1	1
248	не менее они	1	1
249	мы можем видеть	1	1
250	в первый раз	1	1
251	что такие явления	1	1
252	говоря уже о	1	1
253	только о том	1	1
254	исследования но в	1	1
255	не может но	2	1
256	то что есть	1	1
257	тесную связь между	1	1
258	относится к нему	1	1
259	что не всегда	1	1
260	у него в	1	1
261	таким образом это	1	1
262	и вне связи	1	1
263	но и с	1	1
264	уж у меня	1	1
265	как мы уже	1	1
266	тем что у	1	1
267	и все что	1	1
268	сводится к тому	1	1
269	при помощи этого	1	1
270	право предположить что	1	1
271	и тот кто	1	1
272	может быть выяснена	1	1
273	ему в то	1	1
274	только один из	2	1
275	одно из них	2	1
276	первых порах кажется	1	1
277	с тем и	3	1
278	каждого из этих	1	1
279	нельзя сказать что	2	1
280	от них в	1	1
281	не могла бы	2	1
282	но если бы	1	1
283	тем самым и	1	1
284	потому что образ	1	1
285	тем что знание	1	1
286	тем что этот	1	1
287	свойственна не только	1	1
288	что все эти	1	1
289	нужно прибавить что	1	1
290	имеет такое же	1	1
291	в целом и	1	1
292	и как он	1	1
293	на наших глазах	1	1
294	не менее в	1	1
295	что в действительности	1	1
296	для первобытного человека	1	1
297	к вопросу о	1	1
298	в котором нет	1	1
299	об одном из	2	1
300	в буквальном смысле	2	1
301	с ними в	2	1
302	с тем мы	1	1
303	можем сказать что	1	1
304	шаг на пути	1	1
305	и потому не	1	1
306	того что он	1	1
307	к тем же	1	1
308	такое же внешнее	1	1
309	лишь тогда когда	4	1
310	нам право предположить	1	1
311	его как и	1	1
312	вместе с ним	1	1
313	прежде всего он	1	1
314	друг друга не	1	1
315	то не в	1	1
316	есть очень сложное	1	1
317	то что по	1	1
