N	3gram	Trubetskoy	Poddanst
1	то же время	10	7
2	в то же	10	7
3	в том что	7	4
4	с точки зрения	9	3
5	в полной мере	1	2
6	заключается в том	1	2
7	заключает в себе	1	2
8	в значительной мере	2	2
9	европейской культуры в	1	2
10	в том числе	1	2
11	и не только	1	2
12	друг с другом	14	1
13	в борьбе с	1	1
14	совершенно ясно что	1	1
15	и в частности	1	1
16	сводится к стремлению	1	1
17	за то что	1	1
18	вместе с тем	3	1
19	но в то	1	1
20	и тем самым	2	1
21	в применении к	1	1
22	том числе и	1	1
23	не может быть	4	1
24	человека с богом	1	1
25	во многих случаях	1	1
26	в большинстве случаев	2	1
27	между тем при	1	1
28	с тем чтобы	3	1
29	и то что	3	1
30	о соединении церквей	11	1
31	же время в	1	1
32	к соединению церквей	4	1
33	во всяком случае	6	1
34	что с точки	1	1
35	для того чтобы	6	1
36	ни к чему	2	1
37	и не может	3	1
38	в том виде	1	1
39	интеллигенции и в	1	1
40	в настоящее время	2	1
41	более или менее	4	1
42	тем более что	1	1
43	так же как	1	1
44	только в виде	1	1
45	тот или иной	1	1
46	или хотя бы	1	1
47	и в этом	1	1
