N	3gram	Propp_Russ	UchenyiS
1	не может быть	1	4
2	в том что	27	2
3	в противном случае	1	2
4	а между тем	1	2
5	в этом отношении	1	2
6	быть не может	1	1
7	для него не	1	1
8	в первую очередь	1	1
9	у нас в	1	1
10	друг с другом	1	1
11	по меньшей мере	1	1
12	на первый взгляд	1	1
13	в этой же	1	1
14	с тем что	1	1
15	с одной стороны	1	1
16	то что ему	1	1
17	можно сказать что	1	1
18	оно все же	1	1
19	этом случае он	1	1
20	и не только	1	1
21	на то что	2	1
22	не только в	1	1
23	одним из самых	1	1
24	более или менее	1	1
25	но это не	3	1
26	в данном случае	7	1
27	не все в	1	1
28	в этом случае	9	1
29	и не случайно	1	1
30	все же не	2	1
31	и у других	1	1
32	идет не о	1	1
