N	3gram	Bakhtin_Fr	EvropaiC
1	в том что	4	16
2	до сих пор	3	15
3	по отношению к	3	11
4	с точки зрения	4	8
5	более или менее	3	8
6	на самом деле	1	7
7	друг от друга	1	6
8	что касается до	1	6
9	в самом деле	3	5
10	к тому же	1	5
11	о том что	4	4
12	с другой стороны	2	4
13	начало и конец	1	4
14	в конце концов	5	4
15	заключается в том	1	3
16	не в состоянии	1	3
17	в целом ряде	1	3
18	в том же	1	3
19	в настоящее время	1	3
20	таким образом в	2	3
21	одного и того	1	3
22	не подлежит сомнению	1	3
23	в данном случае	1	3
24	и то что	1	3
25	и того же	1	3
26	в связи с	2	3
27	в том и	1	2
28	в свою очередь	3	2
29	о которой мы	1	2
30	во всяком случае	1	2
31	и может быть	1	2
32	во всех этих	1	2
33	что же касается	1	2
34	как и в	2	2
35	а следовательно и	2	2
36	в то время	1	2
37	в то же	12	2
38	и все что	1	2
39	именно потому что	1	2
40	ничего общего с	1	2
41	как и все	1	2
42	таким образом здесь	2	2
43	а с другой	1	2
44	в таком же	1	2
45	том что он	1	2
46	но все же	1	2
47	с одной стороны	3	2
48	в начале этой	1	2
49	то же время	12	2
50	о том чтобы	1	2
51	и в том	1	2
52	друг к другу	1	2
53	мы видели что	1	1
54	уже сказали что	1	1
55	того же процесса	1	1
56	таким образом мы	1	1
57	все то что	3	1
58	за то что	4	1
59	то есть в	6	1
60	но по существу	2	1
61	о котором мы	4	1
62	по этому поводу	1	1
63	так и у	1	1
64	мы уже знаем	1	1
65	а то которое	1	1
66	мы находим в	2	1
67	том и в	1	1
68	и всех других	1	1
69	на одном уровне	2	1
70	мы видим что	2	1
71	в течение его	1	1
72	а для этого	1	1
73	как и вообще	1	1
74	та или иная	1	1
75	одним из самых	2	1
76	начале этой главы	1	1
77	таким образом все	2	1
78	в ту же	1	1
79	не есть нечто	1	1
80	и в другом	1	1
81	и ничем не	1	1
82	принуждены будем признать	1	1
83	есть как бы	1	1
84	из них в	1	1
85	конце концов в	1	1
86	том или ином	2	1
87	в себе и	1	1
88	никто не может	2	1
89	в том числе	4	1
90	и все это	2	1
91	свидетельствует о том	2	1
92	но и с	2	1
93	тем более что	1	1
94	до некоторой степени	1	1
95	с такою же	2	1
96	как в его	1	1
97	в значительной своей	1	1
98	что у него	2	1
99	значительной своей части	1	1
100	у него в	2	1
101	и до сих	1	1
102	все же они	1	1
103	каждый из них	2	1
104	есть в этом	1	1
105	дело в том	2	1
106	и со своим	1	1
107	же трудно как	1	1
108	смысле этого слова	1	1
109	на земле в	1	1
110	не трудно видеть	1	1
111	и в целом	1	1
112	как мы видели	4	1
113	как мы сказали	1	1
114	мы не знаем	1	1
115	и сейчас в	1	1
116	том числе и	2	1
117	и для самого	1	1
118	том же духе	1	1
119	можно было бы	2	1
120	все эти вещи	1	1
121	уже говорили что	3	1
122	целом ряде других	1	1
123	в зрелом возрасте	1	1
124	так и к	1	1
125	и это не	1	1
126	в том или	2	1
127	не забудем что	1	1
128	так что в	1	1
129	от всех тех	1	1
130	с самого начала	1	1
131	будем признать что	1	1
132	они вовсе не	1	1
133	к которой он	1	1
134	уже знаем что	1	1
135	и по своему	1	1
136	том что они	1	1
137	и потому они	1	1
138	то обстоятельство что	1	1
139	в широком смысле	1	1
140	то же самое	1	1
141	таким образом они	1	1
142	по этому вопросу	1	1
143	а так как	1	1
144	правильнее было бы	1	1
145	ибо в ней	1	1
146	вместо того чтобы	2	1
147	с этой целью	1	1
148	не только с	2	1
149	мы уже говорили	12	1
150	из того что	1	1
151	во-первых потому что	1	1
152	таким образом и	2	1
153	никогда не было	1	1
154	его к жизни	1	1
155	является одним из	1	1
156	образом и в	1	1
157	сих пор еще	3	1
158	во всех странах	2	1
159	так же трудно	1	1
160	и все они	2	1
161	как нечто само	1	1
162	в другом случае	1	1
163	мы уже сказали	2	1
164	дело однако не	1	1
165	и не имеет	1	1
