N	4gram	Vygotskiy_	Dialekti
1	не что иное как	1	18
2	одно и то же	3	12
3	одна и та же	2	8
4	в то время как	3	8
5	ни в каком случае	1	7
6	то это значит что	1	5
7	одной и той же	3	5
8	не в том что	1	5
9	с этой точки зрения	2	4
10	и то и другое	3	4
11	и т д все	1	4
12	в том смысле что	1	4
13	и можно сказать что	1	3
14	вовсе не в том	1	3
15	т д все это	1	3
16	в каком случае не	1	3
17	мы уже знаем что	1	2
18	заключается вовсе не в	1	2
19	что в нем есть	1	2
20	свой смысл и свое	1	2
21	дело вовсе не в	1	2
22	так же как и	1	2
23	это было так то	1	1
24	в ней как в	1	1
25	взятые сами по себе	1	1
26	ошибемся если скажем что	1	1
27	в том смысле как	1	1
28	мы не ошибемся если	1	1
29	в жизни и в	1	1
30	до тех пор пока	2	1
31	между тем и другим	1	1
32	что это относится только	1	1
33	все более и более	4	1
34	как и все прочие	1	1
35	в том что в	1	1
36	есть не более как	1	1
37	и вместе с тем	3	1
38	в такой же мере	1	1
39	если бы это было	1	1
40	все больше и больше	2	1
41	по самой своей природе	1	1
42	заключается в том что	8	1
43	не то же самое	1	1
44	что это вовсе не	1	1
45	мы все время говорим	1	1
46	так что в сущности	1	1
47	не потому что они	1	1
48	и т д спрашивается	1	1
49	с самого начала что	1	1
50	до сих пор не	1	1
51	точно так же как	1	1
52	и эти два плана	1	1
53	что и то и	1	1
54	это значит что и	1	1
55	в том случае если	4	1
56	в том что она	2	1
57	указать на то что	1	1
58	ни на одну минуту	1	1
59	сам по себе так	1	1
60	что они тоже суть	1	1
61	если мы будем говорить	1	1
62	в какой мере не	1	1
63	с другой стороны мы	1	1
64	что иное как сама	1	1
65	а на самом деле	1	1
66	это относится только к	1	1
67	можно было бы показать	1	1
68	на то что с	1	1
69	в самом деле почему	1	1
70	в том что он	3	1
71	бы это было так	1	1
72	не ошибемся если скажем	1	1
73	по себе так как	1	1
74	в том что они	2	1
75	не нуждается ни в	1	1
76	и с точки зрения	1	1
77	только для того чтобы	1	1
78	в ней и в	1	1
79	все время перед нами	1	1
80	ни в какой мере	2	1
81	о котором я говорил	1	1
82	то одним то другим	1	1
83	и в этом отношении	1	1
84	привело к тому что	1	1
85	в самом деле если	2	1
