N	3gram	Propp_Isto	KFilosof
1	по отношению к	2	22
2	не может быть	4	11
3	с точки зрения	1	10
4	но и здесь	1	3
5	может быть в	1	3
6	на самом деле	1	3
7	в том что	8	2
8	со стороны ее	1	2
9	и может быть	1	2
10	тем не менее	6	2
11	здесь мы имеем	3	2
12	вовсе не есть	1	2
13	в соответствии с	1	2
14	во всех этих	1	2
15	в целом и	1	2
16	для нас важно	1	2
17	и для этой	1	1
18	и действительно есть	1	1
19	с нашей точки	1	1
20	в этот момент	1	1
21	время от времени	1	1
22	сих пор не	1	1
23	и было бы	1	1
24	в свою очередь	1	1
25	а не просто	1	1
26	но прежде всего	1	1
27	это может быть	1	1
28	вместе с тем	1	1
29	равно как и	1	1
30	что и она	1	1
31	во всяком случае	2	1
32	то что и	1	1
33	на то что	4	1
34	он должен быть	1	1
35	на задний план	1	1
36	в большинстве случаев	2	1
37	в том смысле	1	1
38	на том что	1	1
39	в корне неправильно	1	1
40	в средние века	2	1
41	в себя и	1	1
42	не в этом	1	1
43	то же самое	1	1
44	средних веков и	1	1
45	нашей точки зрения	1	1
46	случае мы имеем	1	1
47	ничего не знаю	1	1
48	дело не в	1	1
49	они находятся в	1	1
50	между ним и	1	1
51	не может ничего	1	1
52	здесь мы видим	1	1
53	уже не в	1	1
54	независимо от того	2	1
55	и входит в	1	1
56	несмотря на то	1	1
57	он не имеет	1	1
58	именно в этой	1	1
59	все это только	1	1
60	до сих пор	7	1
61	смысле этого слова	3	1
62	мы имеем здесь	1	1
63	и в котором	1	1
64	конечно все это	1	1
65	всех этих случаях	1	1
66	то что этот	1	1
67	к которой он	1	1
68	и то что	4	1
69	мы ничего не	1	1
70	в зависимости от	1	1
71	как если бы	1	1
72	но в этом	1	1
73	до того что	1	1
74	со всем что	1	1
75	к тому что	1	1
76	одном случае мы	1	1
77	одновременно и в	1	1
78	но здесь мы	1	1
79	но уже не	1	1
80	и в его	1	1
81	полагать что эта	1	1
82	между прочим и	2	1
83	в одном случае	5	1
84	это и есть	2	1
85	что и в	3	1
86	в целом не	2	1
87	мы имеем не	2	1
88	же самое что	1	1
89	мы не можем	1	1
90	в другом случае	3	1
91	в иной мир	1	1
92	может быть и	1	1
