N	3gram	Propp_Isto	Tragedij
1	в том что	8	2
2	бросается в глаза	1	2
3	точно так же	8	2
4	в данном случае	6	2
5	о том что	3	2
6	но все же	5	2
7	и не случайно	1	2
8	момент ухода из	1	1
9	но не самому	1	1
10	не только по	1	1
11	из дома и	1	1
12	ли есть необходимость	1	1
13	в одном из	2	1
14	своего отца он	1	1
15	друг друга и	1	1
16	что он не	1	1
17	за то что	1	1
18	все эти черты	1	1
19	в обоих случаях	1	1
20	смысле этого слова	3	1
21	это может быть	1	1
22	вместе со своими	1	1
23	это мы видим	2	1
24	в последней главе	1	1
25	объясняется тем что	1	1
26	и вместе с	1	1
27	то что он	1	1
28	не может быть	4	1
29	до самой смерти	1	1
30	отцом и сыном	1	1
31	и в быту	1	1
32	в точности соответствует	2	1
33	в этом случае	8	1
34	и здесь есть	1	1
35	по сравнению с	2	1
36	и я тебе	1	1
37	с того что	2	1
38	в чем же	1	1
39	с самого начала	1	1
40	вряд ли есть	1	1
41	и то что	4	1
42	не только не	2	1
43	связаны между собой	1	1
44	говорит не только	1	1
45	обстоит дело с	1	1
46	в виду не	1	1
47	как и в	2	1
48	в связи с	5	1
49	может быть в	1	1
50	во всяком случае	2	1
51	и знает что	1	1
52	к тому что	1	1
53	тем не менее	6	1
54	но уже не	1	1
55	то и дело	1	1
56	на мысль что	1	1
57	в этой связи	1	1
58	на одной стороне	1	1
59	это и есть	2	1
60	со своими товарищами	1	1
61	после того как	3	1
62	все же не	1	1
63	и не может	1	1
