N	4gram	Potebnia_M	KulturaY
1	той мере в какой	1	7
2	в той мере в	1	7
3	и т п и	1	7
4	в то же время	3	6
5	можно было бы сказать	1	6
6	с этой точки зрения	1	5
7	не говоря уже о	1	5
8	и т п а	1	4
9	одного и того же	6	4
10	и т д и	1	4
11	заключается в том что	1	4
12	в том случае если	1	3
13	не только потому что	1	3
14	говоря уже о том	1	3
15	д и т д	1	3
16	уже о том что	1	3
17	по мере того как	6	3
18	в том что он	1	3
19	но с другой стороны	2	3
20	точно так же как	1	3
21	не в том что	3	3
22	лишь в той мере	1	2
23	в том смысле что	2	2
24	только после того как	1	2
25	а в том что	2	2
26	не что иное как	2	2
27	одной и той же	3	2
28	и т д не	1	2
29	один и тот же	1	2
30	не только в том	1	2
31	и с этой точки	1	2
32	мы тем не менее	1	2
33	в том что оно	1	2
34	и в том что	1	1
35	само по себе не	1	1
36	что же касается до	1	1
37	что в них не	1	1
38	в том только смысле	1	1
39	произвола как невозможно соловью	1	1
40	значат то что они	1	1
41	не для того чтобы	1	1
42	и в таком случае	1	1
43	уже с самого начала	2	1
44	все более и более	2	1
45	что само по себе	1	1
46	в том смысле как	1	1
47	язык как предмет лингвистики	1	1
48	и во многих других	1	1
49	и т д в	1	1
50	дело в том что	3	1
51	тогда как на самом	1	1
52	по себе еще не	1	1
53	в то время когда	2	1
54	и т п однако	1	1
55	история языка должна быть	1	1
56	и притом не только	2	1
57	в применении к языку	3	1
58	что бы то ни	1	1
59	в то время как	1	1
60	же невозможно влияние произвола	1	1
61	указание на то что	1	1
62	только в том что	5	1
63	но во всяком случае	3	1
64	после того как они	1	1
65	как невозможно соловью поменяться	1	1
66	несправедливо будто на язык	1	1
67	сама по себе не	1	1
68	и не могут быть	1	1
69	одном и том же	3	1
70	на язык как предмет	1	1
71	не существует потому что	1	1
72	совершенно несправедливо будто на	1	1
73	что в языке есть	1	1
74	сами по себе они	1	1
75	невозможно влияние произвола как	1	1
76	и в том и	1	1
77	же люди на чужих	1	1
78	в одном и том	3	1
79	будто на язык как	1	1
80	в свою очередь есть	1	1
81	смысле этого слова и	1	1
82	бы то ни было	1	1
83	так же невозможно влияние	1	1
84	языка и т д	1	1
85	предмет лингвистики так же	1	1
86	влияние произвола как невозможно	1	1
87	бы то ни стало	1	1
88	говорят же люди на	1	1
89	грамматики с логикой и	1	1
90	на язык как на	2	1
91	то что они значат	1	1
92	в каждом из этих	1	1
93	как на самом деле	1	1
94	и в этом отношении	1	1
95	во что бы то	1	1
96	как предмет лингвистики так	1	1
97	еще и потому что	1	1
98	лингвистики так же невозможно	1	1
