N	3gram	Voloshinov	slovoVRo
1	не может быть	23	19
2	то же время	7	18
3	в то же	7	18
4	той или иной	5	15
5	с точки зрения	31	15
6	в отличие от	7	14
7	в узком смысле	4	14
8	в той или	3	13
9	или иной степени	2	13
10	в отношении к	7	12
11	в большинстве случаев	7	11
12	с одной стороны	2	11
13	более или менее	3	9
14	в этом случае	3	9
15	в пределах одного	2	9
16	передачи чужой речи	1	8
17	в зависимости от	2	8
18	во всяком случае	4	8
19	передачи чужого слова	1	7
20	в значительной степени	3	7
21	но в то	6	7
22	так и в	2	6
23	в одной плоскости	1	6
24	как мы сказали	4	6
25	но все же	4	6
26	с другой стороны	6	6
27	большей или меньшей	1	6
28	в том что	9	5
29	по отношению к	9	5
30	хотя бы и	1	5
31	между словом и	1	5
32	как мы уже	3	5
33	не только в	2	5
34	в этом отношении	4	5
35	во всех областях	2	5
36	может быть и	8	5
37	одной стороны и	1	4
38	точка зрения на	1	4
39	для того чтобы	7	4
40	на первый план	2	4
41	можно прямо сказать	1	4
42	друг с другом	2	4
43	до сих пор	10	4
44	в большей или	1	4
45	и не может	11	4
46	могут быть и	1	4
47	в свою очередь	5	4
48	можно сказать что	4	4
49	языка в смысле	2	4
50	таким образом в	1	4
51	в точном смысле	5	4
52	с установкой на	2	4
53	у него нет	1	4
54	не могут быть	3	4
55	в новое время	1	4
56	и в сущности	1	4
57	никогда не может	1	4
58	все эти формы	1	4
59	мы уже сказали	1	4
60	и вне его	1	3
61	свое выражение в	2	3
62	с различными моментами	1	3
63	прямо сказать что	1	3
64	до известной степени	2	3
65	в собственном смысле	2	3
66	конечно не только	2	3
67	и то же	3	3
68	того или иного	2	3
69	может быть только	1	3
70	между этими двумя	2	3
71	не выходит за	1	3
72	по ту сторону	1	3
73	как если бы	6	3
74	в связи с	12	3
75	сама по себе	2	3
76	к тому что	4	3
77	там где они	1	3
78	в процессе его	2	3
79	как и в	1	3
80	и не в	3	3
81	разрыв между языком	1	3
82	на своем языке	1	3
83	со всех сторон	2	3
84	одно и то	3	3
85	как мы видели	4	3
86	выходит за пределы	1	3
87	в широком смысле	2	3
88	в романе не	1	3
89	первой и второй	1	3
90	в смысле системы	1	3
91	между языком и	1	3
92	в другом случае	1	3
93	в данную эпоху	1	3
94	языка а просто	1	2
95	рано или поздно	2	2
96	это не значит	1	2
97	в предшествующей главе	1	2
98	как бы ни	1	2
99	и в другом	1	2
100	то или иное	1	2
101	о которых мы	1	2
102	с этой точки	1	2
103	вовсе не в	1	2
104	так и от	3	2
105	тем не менее	3	2
106	то же слово	2	2
107	а между тем	1	2
108	в первом случае	3	2
109	но как мы	1	2
110	все же и	1	2
111	значит конечно что	1	2
112	не только не	1	2
113	точки зрения самого	2	2
114	и для понимания	1	2
115	в процессе идеологического	1	2
116	языка и не	2	2
117	но в этом	1	2
118	на данном языке	2	2
119	а не только	1	2
120	и в том	1	2
121	сих пор не	1	2
122	слово как мы	2	2
123	но и в	3	2
124	точном смысле слова	1	2
125	о том что	2	2
126	обстоит дело и	1	2
127	этой точки зрения	1	2
128	а следовательно и	2	2
129	и не было	1	2
130	во всех своих	1	2
131	или во всяком	1	2
132	в плане общего	1	2
133	философия слова и	1	2
134	языка не может	1	2
135	можно было бы	2	2
136	во всех этих	1	2
137	его так сказать	1	2
138	бы они ни	1	2
139	не значит конечно	1	2
140	с самого начала	9	2
141	форм передачи чужой	1	2
142	они ни были	1	2
143	же как и	2	2
144	связанных с ними	1	2
145	тем что он	1	2
146	друг для друга	1	2
147	по преимуществу в	1	2
148	и в нем	1	2
149	мы уже говорили	1	2
150	тот или иной	2	2
151	уже приходилось говорить	1	1
152	на этой почве	4	1
153	мы видели что	1	1
154	мы все же	1	1
155	исторического становления и	1	1
156	так сказать в	1	1
157	именно здесь в	2	1
158	только в процессе	3	1
159	исходить из языка	1	1
