N	2gram	Trubetskoy	NovoeSre
1	а не	1	17
2	не может	18	16
3	и в	24	16
4	во имя	3	15
5	совсем не	1	12
6	и не	9	11
7	что в	9	9
8	истории и	1	9
9	в том	31	8
10	как не	2	8
11	жизни и	2	8
12	он не	4	8
13	в этом	13	7
14	может быть	17	7
15	не будет	5	7
16	это есть	4	7
17	культуры и	11	7
18	как и	10	7
19	воля к	1	6
20	не знает	2	6
21	не в	9	6
22	лишь в	5	6
23	высшей степени	2	6
24	с его	1	6
25	в высшей	2	6
26	никогда не	4	6
27	и к	5	5
28	не только	10	5
29	в ней	3	5
30	все это	13	5
31	в жизни	3	5
32	в нем	3	5
33	с ее	2	5
34	должен быть	2	5
35	культуры в	10	5
36	перестает быть	1	4
37	и потому	3	4
38	жизни к	1	4
39	по своему	5	4
40	быть может	1	4
41	не во	1	4
42	должно быть	5	4
43	потому что	9	4
44	это не	3	4
45	прежде всего	3	4
46	в них	2	4
47	то что	18	4
48	не было	2	4
49	есть лишь	1	4
50	и все	9	4
51	всех сторон	1	4
52	не менее	7	4
53	не имеет	2	4
54	и для	6	4
55	о том	7	4
56	во всех	10	3
57	вопрос о	3	3
58	и пр	1	3
59	должна быть	6	3
60	она не	2	3
61	в ее	1	3
62	смысле слова	1	3
63	что такое	1	3
64	в прошлом	1	3
65	будут не	1	3
66	конечно не	3	3
67	в истории	3	3
68	в духе	1	3
69	с другой	6	3
70	в основе	2	3
71	к ним	2	3
72	сказать что	1	3
73	наряду с	1	3
74	и начало	2	3
75	с тем	4	3
76	к жизни	1	3
77	не есть	4	3
78	в своей	1	3
79	в мире	6	3
80	как в	1	3
81	жизни в	1	3
82	но и	11	3
83	это было	1	3
84	к тому	8	3
85	еще не	6	3
86	с этим	12	2
87	все они	6	2
88	центр тяжести	1	2
89	и от	5	2
90	в религиозном	1	2
91	и весь	2	2
92	это и	1	2
93	в центре	1	2
94	силы и	1	2
95	и что	9	2
96	что она	2	2
97	права и	1	2
98	ли это	1	2
99	зависит от	1	2
100	и заключается	1	2
101	с одной	3	2
102	на гибель	1	2
103	хотя бы	4	2
104	мы не	1	2
105	будет уже	1	2
106	того чтобы	8	2
107	они считают	1	2
108	хотя и	4	2
109	государств не	1	2
110	так и	10	2
111	одной стороны	2	2
112	не могла	1	2
113	силы над	1	2
114	можно было	1	2
115	каждого человека	2	2
116	не ставит	1	2
117	ни одна	1	2
118	другой стороны	5	2
119	том и	2	2
120	у него	5	2
121	приобщиться к	2	2
122	а в	3	2
123	и даже	1	2
124	и с	5	2
125	по существу	7	2
126	для этого	7	2
127	нет и	1	2
128	могут быть	1	2
129	и культуры	4	2
130	в себе	5	2
131	том чтобы	2	2
132	и на	6	2
133	быть в	1	2
134	уже не	1	2
135	я не	2	2
136	что все	5	2
137	время как	1	2
138	помнить что	2	2
139	все эти	19	2
140	есть в	2	2
141	же как	3	2
142	такой же	2	2
143	вместе с	7	2
144	общества и	2	2
145	одна из	2	2
146	стремление к	1	2
147	жизнью в	1	2
148	роль в	1	2
149	как будто	5	2
150	но не	3	2
151	в то	6	2
152	истории все	2	2
153	том что	20	2
154	не будут	2	2
155	ведь и	1	2
156	так же	8	2
157	и это	3	2
158	можно назвать	3	2
159	но для	2	2
160	в одну	4	2
161	но в	5	2
162	мысли и	1	2
163	не к	1	2
164	связаны с	1	2
165	и греческой	1	1
166	все в	2	1
167	всех своих	1	1
168	в самом	8	1
169	человеком хотя	1	1
170	ближе к	3	1
171	во всем	3	1
172	к одному	1	1
173	но те	1	1
174	нет ничего	1	1
175	они являются	1	1
176	для борьбы	1	1
177	ее на	1	1
178	и того	3	1
179	от нее	2	1
180	но тут	1	1
181	государство не	1	1
182	том случае	4	1
183	все что	10	1
184	социальной жизни	4	1
185	то они	4	1
186	для всех	1	1
187	более высокой	1	1
188	в более	1	1
189	это конечно	2	1
190	до сих	15	1
191	мире а	1	1
192	же процесса	1	1
193	а к	2	1
194	бы к	1	1
195	вступить в	1	1
196	и более	2	1
197	бы он	1	1
198	в котором	2	1
199	преобладать над	1	1
200	и всех	1	1
201	есть признак	1	1
202	быть перенесен	1	1
203	и народы	1	1
204	то это	1	1
205	ее он	1	1
206	ничем не	5	1
207	как другие	1	1
208	что этот	1	1
209	отличие от	3	1
210	и всеми	1	1
211	мыслей их	1	1
212	и русской	1	1
213	возможно лишь	3	1
214	вырабатывает свою	1	1
215	же и	1	1
216	они не	2	1
217	из них	5	1
218	культур и	2	1
219	к ней	1	1
220	она должна	1	1
221	на нем	1	1
222	пришли к	1	1
223	современной культуры	1	1
224	случае если	5	1
225	и сейчас	4	1
226	свидетельствует о	1	1
227	возможен лишь	1	1
228	культуре и	4	1
229	мы уже	4	1
230	т.е к	1	1
231	этом я	1	1
232	не могу	1	1
233	уже в	1	1
234	эти слова	1	1
235	в свою	2	1
236	в значительной	1	1
237	в состоянии	5	1
238	для себя	2	1
239	из этих	8	1
240	во всяком	2	1
241	том числе	1	1
242	должны занять	1	1
243	можно лишь	2	1
244	культуры мы	1	1
245	одну из	2	1
246	для того	8	1
247	не по	1	1
248	мы всегда	1	1
249	быть не	1	1
250	жизни во	1	1
251	не быть	1	1
