N	3gram	Losev_Vesc	KFilosof
1	не может быть	22	11
2	с точки зрения	6	10
3	может быть только	6	7
4	и только в	1	3
5	но и здесь	1	3
6	в этом смысле	2	3
7	один и тот	1	3
8	в данный момент	1	3
9	в котором и	1	3
10	это не есть	2	3
11	в современной философии	1	3
12	не было бы	1	3
13	и тот же	1	3
14	и в этом	2	3
15	то что я	2	2
16	в том что	9	2
17	а не я	2	2
18	к себе как	2	2
19	со стороны ее	1	2
20	ни в каком	6	2
21	принципиально не может	2	2
22	это значило бы	3	2
23	и может быть	1	2
24	то или иное	1	2
25	из себя в	1	2
26	она могла бы	2	2
27	тем не менее	11	2
28	бы и не	1	2
29	в то же	5	2
30	уже не может	3	2
31	вовсе не есть	6	2
32	и все эти	1	2
33	то ни было	12	2
34	а не в	2	2
35	и в нем	1	2
36	оба эти момента	1	2
37	бы то ни	12	2
38	вопрос о том	2	2
39	то же время	4	2
40	смысле и в	1	1
41	быть не может	1	1
42	что я буду	1	1
43	ясно отсюда что	1	1
44	в истории философии	1	1
45	но можно ли	1	1
46	в свою очередь	5	1
47	и тем не	5	1
48	и как бы	1	1
49	это не значит	1	1
50	в то или	1	1
51	это может быть	1	1
52	вместе с тем	3	1
53	равно как и	4	1
54	в себе в	4	1
55	по себе а	1	1
56	вмещает в себя	1	1
57	во всяком случае	2	1
58	а не к	2	1
59	быть и могло	1	1
60	на то что	7	1
61	он должен быть	1	1
62	и во всех	1	1
63	какого бы то	2	1
64	и кажется что	1	1
65	где она могла	2	1
66	может быть просто	3	1
67	не содержит в	1	1
68	в том смысле	1	1
69	в сознании в	1	1
70	не в этом	1	1
71	и в результате	1	1
72	то же самое	1	1
73	уже не будет	3	1
74	это уже не	1	1
75	ясно что это	1	1
76	и не потому	1	1
77	хотя бы и	2	1
78	мы будем говорить	1	1
79	ту или иную	3	1
80	дело не в	1	1
81	если мы возьмем	3	1
82	в ту или	1	1
83	вне ее и	1	1
84	самому своему смыслу	1	1
85	не есть еще	2	1
86	это не будет	1	1
87	они находятся в	1	1
88	и не в	3	1
89	как раз ведь	1	1
90	для себя и	1	1
91	а следовательно и	2	1
92	для того чтобы	2	1
93	в себе бытие	1	1
94	в себя момент	1	1
95	только в том	1	1
96	не значит что	1	1
97	то что уже	1	1
98	когда мы говорим	1	1
99	что я должен	2	1
100	было ни в	1	1
101	если бы оно	1	1
102	не в том	1	1
103	кем-нибудь или не	1	1
104	ее и в	1	1
105	есть для меня	1	1
106	независимо от того	1	1
107	имеют в виду	1	1
108	себя в своем	1	1
109	значит что я	5	1
110	и пр и	1	1
111	если бы я	3	1
112	одного и того	1	1
113	не выходит из	1	1
114	ли это что	4	1
115	как это было	1	1
116	до сих пор	1	1
117	не потому что	5	1
118	не было ни	2	1
119	по самому своему	1	1
120	я не могу	1	1
121	с тем или	1	1
122	а только в	1	1
123	для меня не	1	1
124	того что в	1	1
125	бы оно было	1	1
126	в первом случае	2	1
127	дело в том	4	1
128	по своей структуре	1	1
129	смысле этого слова	1	1
130	в его существе	1	1
131	но в то	1	1
132	и в котором	1	1
133	но можно и	1	1
134	себя в бытии	1	1
135	вместо того чтобы	1	1
136	само по себе	4	1
137	и это будет	2	1
138	раз ведь и	1	1
139	себе как к	2	1
140	в нем нет	2	1
141	в бытии кроме	1	1
142	факта и смысла	2	1
143	ее можно только	1	1
144	и в то	3	1
145	как бы ни	2	1
146	совершенно не зависит	1	1
147	ничем не отличаются	1	1
148	значит ли это	5	1
149	и то что	5	1
150	можно пройти мимо	1	1
151	в движении в	1	1
152	в зависимости от	1	1
153	с ним и	1	1
154	и того же	1	1
155	не может не	3	1
156	хотя бы только	1	1
157	но в этом	1	1
158	я позволю себе	1	1
159	значило бы что	3	1
160	она может быть	2	1
161	и все же	1	1
162	не есть просто	5	1
163	со всем что	1	1
164	и говорить о	1	1
165	к тому что	2	1
166	не в смысле	1	1
167	что может быть	1	1
168	это отнюдь не	1	1
169	могла бы и	1	1
170	говорить ни о	1	1
171	той или другой	3	1
172	между прочим и	1	1
173	в одном случае	1	1
174	что я заговорил	1	1
175	только тогда когда	2	1
176	это и есть	4	1
177	что и в	1	1
178	имеет смысл и	1	1
179	мы не можем	3	1
180	свой смысл и	1	1
181	в основе своей	2	1
182	в жизни в	2	1
183	может быть и	1	1
