N	2gram	Nazirov_Tr	Dialekti
1	не есть	1	181
2	т е	1	159
3	и не	7	120
4	и т	1	82
5	по себе	1	79
6	а не	1	78
7	и в	18	77
8	может быть	7	71
9	не только	8	66
10	то что	4	59
11	и есть	1	55
12	ничего не	2	54
13	не может	5	53
14	и даже	4	47
15	что это	5	46
16	потому что	2	45
17	не просто	2	44
18	стало быть	1	44
19	как бы	7	43
20	и что	4	42
21	ни в	2	42
22	не имеет	2	41
23	в том	2	40
24	в этом	9	39
25	то же	5	39
26	что она	2	38
27	в себе	4	38
28	что он	6	37
29	том что	4	37
30	прежде всего	4	37
31	так что	2	36
32	это не	5	36
33	– в	1	35
34	что в	4	34
35	в нем	4	34
36	и все	4	33
37	того что	1	33
38	но и	4	32
39	все это	4	31
40	отнюдь не	3	30
41	и как	3	30
42	так и	5	29
43	как и	5	28
44	никогда не	2	27
45	в виду	1	26
46	не в	2	26
47	есть и	1	26
48	и то	2	25
49	но это	4	24
50	таким образом	1	23
51	в то	5	23
52	это и	1	23
53	что оно	1	23
54	и вот	1	23
55	или от	1	22
56	я не	4	22
57	что не	1	21
58	в чем	1	21
59	личности и	2	21
60	должна быть	1	21
61	она не	1	21
62	и с	7	20
63	о том	2	20
64	что и	2	20
65	что все	2	20
66	в таком	2	20
67	только в	1	20
68	совершенно не	1	20
69	уже не	2	20
70	в самом	2	19
71	не менее	1	19
72	в своем	3	19
73	как же	2	19
74	и притом	1	19
75	и это	2	19
76	как это	3	19
77	и его	6	19
78	же время	6	18
79	хотя бы	1	18
80	в особенности	1	17
81	должно быть	3	17
82	он есть	1	17
83	но если	1	17
84	к нему	3	16
85	только не	1	16
86	тем не	1	16
87	сам по	1	16
88	в своей	1	16
89	об этом	4	16
90	только что	1	15
91	все же	5	15
92	так же	4	15
93	то в	1	15
94	несмотря на	5	15
95	но только	1	15
96	самом деле	1	15
97	в виде	2	15
98	и о	1	15
99	с ним	3	14
100	что тут	1	14
101	не было	1	14
102	и ее	2	14
103	жизнь и	3	14
104	на свете	1	14
105	и потому	1	14
106	говорит о	2	13
107	что именно	1	13
108	он не	2	13
109	с ее	3	13
110	но в	6	13
111	в ней	1	13
112	вы не	1	13
113	именно в	1	12
114	вопрос о	2	12
115	но как	1	12
116	но не	1	12
117	даже не	1	12
118	могут быть	1	12
119	не могут	2	12
120	перед нами	2	12
121	еще не	4	12
122	и если	1	12
123	все эти	3	12
124	в них	1	11
