N	4gram	Voloshinov	Hudozhes
1	в то же время	7	7
2	одно и то же	3	3
3	одного и того же	9	3
4	в том числе и	3	2
5	ни в коем случае	2	2
6	он тем не менее	1	2
7	в том что он	3	2
8	бы то ни было	11	2
9	в коем случае не	1	2
10	в той или иной	3	2
11	приводит к тому что	1	2
12	с этой точки зрения	1	2
13	в их отношении к	1	1
14	бы они ни были	1	1
15	в более или менее	1	1
16	не что иное как	1	1
17	той или иной форме	1	1
18	внутренней речи как бы	1	1
19	языка не может быть	1	1
20	с одной стороны и	1	1
21	по отношению к нему	1	1
22	в таком случае это	2	1
23	но в то же	6	1
24	не может быть и	4	1
25	одним и тем же	2	1
26	то же время они	1	1
27	какой бы то ни	3	1
28	в связи с этим	3	1
29	ни к чему не	1	1
30	более или менее широком	1	1
31	себе отчет в том	1	1
