N	2gram	Propp_Isto	ViktorSh
1	в книге	5	3
2	в конце	4	2
3	и в	41	2
4	в том	14	2
5	том что	18	2
6	в другом	2	1
7	все время	2	1
8	но это	5	1
9	по существу	5	1
10	нет есть	1	1
11	главным образом	3	1
12	в самом	2	1
13	один пример	1	1
14	а только	1	1
15	именно в	2	1
16	и стоит	1	1
17	имеется в	4	1
18	они на	1	1
19	самом деле	1	1
20	здесь достаточно	1	1
21	другом месте	2	1
22	ясно что	2	1
23	в частности	3	1
24	чем к	1	1
25	и то	3	1
26	так в	10	1
27	этом и	2	1
28	стоит на	3	1
29	то чего	1	1
30	и его	11	1
31	сводится к	3	1
32	на заре	1	1
33	под влиянием	2	1
34	на одном	1	1
35	хотя бы	1	1
36	сказать чтобы	1	1
37	далеко не	3	1
38	тем более	2	1
39	в которых	2	1
40	к этому	5	1
41	только в	10	1
42	не играет	1	1
43	же с	2	1
44	потому что	13	1
45	это далеко	1	1
46	уже известно	1	1
47	ничуть не	1	1
48	в их	4	1
49	все дело	2	1
50	роли не	1	1
51	и только	4	1
52	то же	12	1
53	по своим	3	1
54	чего не	1	1
55	не будем	2	1
56	и не	12	1
57	я не	1	1
58	дело в	1	1
59	в этом	19	1
60	так как	21	1
61	все это	9	1
62	совершенно ясно	8	1
