N	3gram	Bakhtin_KF	FransuaR
1	то же время	2	55
2	в то же	2	55
3	в том что	2	27
4	до сих пор	1	27
5	в средние века	1	25
6	в большинстве случаев	1	22
7	с точки зрения	10	20
8	но в то	1	20
9	для того чтобы	1	17
10	жизни и смерти	1	15
11	не может быть	11	13
12	дело в том	1	13
13	на самом деле	3	13
14	и в то	1	12
15	той или иной	2	10
16	в значительной степени	1	10
17	по отношению к	22	9
18	в его целом	10	8
19	включает в себя	2	7
20	в настоящее время	1	7
21	не подлежит сомнению	1	7
22	во всех этих	2	7
23	во всех его	1	6
24	имеем в виду	2	6
25	и все остальные	1	6
26	и во всех	1	6
27	и т.п но	1	6
28	в свою очередь	1	6
29	то же самое	1	5
30	но все это	1	5
31	не было ни	1	5
32	во всяком случае	1	5
33	все это в	1	5
34	средних веков и	1	5
35	и тот же	3	5
36	в том же	1	5
37	на первом плане	2	5
38	в первом случае	1	5
39	вместо того чтобы	1	5
40	между жизнью и	1	5
41	это и есть	1	5
42	в основе своей	1	5
43	здесь не в	1	4
44	и то что	1	4
45	во второй половине	1	4
46	в нем и	3	4
47	что и в	1	4
48	может быть и	1	4
49	но прежде всего	1	4
50	в нем не	1	4
51	это уже не	1	4
52	а следовательно и	1	4
53	конечно не в	1	4
54	один и тот	3	4
55	и как бы	1	3
56	потому что в	1	3
57	смысле этого слова	1	3
58	между тем как	3	3
59	и того же	1	3
60	но это не	1	3
61	нет места для	1	3
62	со всех сторон	1	3
63	вместе с тем	1	3
64	до конца в	1	3
65	дело здесь не	2	3
66	рождение и смерть	1	3
67	как бы ни	1	3
68	мир в его	1	3
69	оно ни было	1	3
70	ровно ничего не	1	3
71	ничего не остается	1	3
72	в себе в	1	3
73	в этом смысле	3	3
74	в себя момент	1	3
75	в ее целом	3	3
76	одного и того	1	3
77	и не в	1	3
78	бы то ни	2	3
79	образом и в	1	3
80	и в этом	3	3
81	бы оно ни	1	3
82	нет и не	1	3
83	может быть в	3	2
84	в себя и	1	2
85	с ним в	1	2
86	не потому что	1	2
87	то ни было	2	2
88	в нем нет	1	2
89	в нем в	1	2
90	и только в	3	2
91	и может быть	2	2
92	здесь вовсе не	1	2
93	и землю и	1	2
94	существенную связь с	1	2
95	может быть правильно	1	2
96	мы будем говорить	1	2
97	никогда не может	1	2
98	будем говорить в	1	2
99	притом не только	1	2
100	проникает во все	1	2
101	в конечном счете	1	2
102	сих пор не	1	2
103	всех этих моментов	1	2
104	связанных с ними	1	2
105	но ни в	1	2
106	может быть только	7	2
107	и по отношению	1	2
108	и рядом с	1	2
109	а именно в	1	2
110	и в его	1	2
111	в известном смысле	1	2
112	не должно быть	1	2
113	только тогда когда	1	2
114	т.п но и	1	2
115	и в нем	2	2
116	и та же	2	2
117	его целом в	1	2
118	одна и та	2	2
119	мы не можем	1	2
120	даны здесь в	1	2
121	в другом случае	1	2
122	областей культуры и	1	1
123	в едином и	5	1
124	даль и близость	1	1
125	вечной истины и	1	1
126	и было бы	1	1
127	это не значит	1	1
128	менее всего можно	1	1
129	мы прежде всего	1	1
130	человека и человеческого	1	1
131	в соответствии с	2	1
132	его никогда не	1	1
133	на том что	1	1
134	и ни к	1	1
135	не в этом	1	1
136	день и час	1	1
137	но все эти	3	1
138	и час и	1	1
139	мы не найдем	1	1
140	хотя бы и	1	1
141	книги но и	1	1
142	за собой и	1	1
143	это не есть	3	1
144	не совпадает с	1	1
145	к которой мы	1	1
146	именно в этой	1	1
147	и должна быть	1	1
148	приводит его в	1	1
149	это нисколько не	1	1
150	смысловой значимости и	1	1
151	вся жизнь в	1	1
152	не имеет определенного	1	1
153	во всех своих	3	1
154	и тем самым	1	1
155	в чем не	4	1
156	и в своих	1	1
157	в разные стороны	1	1
158	остановимся еще на	1	1
159	не может иметь	1	1
160	как если бы	1	1
161	и говорить о	1	1
162	все это лишь	1	1
163	в литературе о	1	1
164	и этот момент	1	1
165	его жизни в	1	1
166	но не было	1	1
167	ведь это не	1	1
168	же самое что	1	1
169	только в форме	1	1
170	все эти моменты	2	1
171	не было конечно	1	1
172	даже там где	1	1
173	которого является и	1	1
174	в целом не	1	1
175	именно там где	1	1
176	только в его	1	1
177	пространственный и временной	1	1
178	как это было	1	1
179	а не из	2	1
180	он не может	1	1
181	только в единстве	1	1
182	что тем самым	1	1
183	в ее основных	1	1
184	только таким путем	1	1
185	но здесь этот	1	1
186	него и в	1	1
187	имеет определенного и	1	1
188	все это только	1	1
189	в одном случае	1	1
190	не мог стать	1	1
191	в этом мире	1	1
192	мира и его	1	1
193	него самого и	1	1
194	такова же и	1	1
195	то или иное	2	1
196	во всех великих	1	1
197	мы дадим здесь	1	1
198	литературе о нем	1	1
199	мир в котором	7	1
200	пространства и времени	1	1
201	во всей его	2	1
202	готовое и завершенное	1	1
203	места и все	1	1
204	по самому своему	1	1
205	тем или иным	1	1
206	чтобы быть единым	1	1
207	было бы совершенно	1	1
208	она жива и	1	1
209	необходимый момент в	1	1
210	это и не	1	1
211	существенно проникает во	1	1
212	здесь одновременно и	1	1
213	в этом последнем	1	1
214	ни в чем	4	1
215	во всех отношениях	2	1
216	и не знает	1	1
217	для него самого	1	1
218	и в своей	3	1
219	время от времени	1	1
220	бы и не	2	1
221	и не быть	2	1
222	бы он ни	2	1
223	о нем не	1	1
224	в этом тоне	1	1
225	это значило бы	2	1
226	а не к	1	1
227	и всех других	1	1
228	в каком бы	1	1
229	в данном контексте	1	1
230	несравненно шире и	1	1
231	в нем как	4	1
232	он ни был	2	1
233	было и в	1	1
234	момент в нем	1	1
235	независимо от того	1	1
236	в котором он	3	1
237	в ней в	1	1
238	как необходимый момент	1	1
239	всех своих моментах	2	1
240	тем не менее	2	1
241	как и всякое	1	1
242	есть на самом	2	1
243	ней то же	1	1
244	не в том	1	1
245	и ценности все	1	1
246	и пр и	1	1
247	оба этих момента	1	1
248	в том случае	1	1
249	не было он	1	1
250	пространство и время	1	1
251	его в себе	1	1
252	его целом не	1	1
253	это может быть	1	1
254	в зависимости от	1	1
255	само по себе	1	1
256	на основе своей	1	1
257	все остальное в	1	1
258	многообразия мира в	1	1
259	как бы он	1	1
260	не может дать	2	1
261	этот акт в	1	1
262	себя в своих	1	1
263	к которой он	1	1
264	не может стать	1	1
265	здесь мы видим	1	1
266	в виду и	1	1
267	мир а не	1	1
268	могла бы быть	3	1
269	в нем для	1	1
270	в едином акте	1	1
271	в непосредственной близости	1	1
272	той или другой	1	1
273	никогда не было	1	1
274	ко всему что	1	1
275	раз и навсегда	2	1
276	и это нисколько	1	1
277	не проникает в	5	1
278	того или иного	3	1
279	для нас своим	1	1
280	к нему в	4	1
281	если ты хочешь	2	1
282	что может быть	1	1
283	на то что	1	1
284	он должен быть	1	1
285	в отношении ко	1	1
286	не только от	1	1
287	первая часть нашего	1	1
288	но здесь мы	1	1
289	до того что	1	1
290	прошлое и будущее	2	1
291	мира со всеми	1	1
292	может быть понято	1	1
293	и относит его	1	1
294	мире нет места	1	1
295	может быть таким	1	1
296	но нет и	1	1
297	а не как	1	1
298	отношению к ней	1	1
299	в виду его	1	1
300	относит его к	2	1
301	вопрос о том	2	1
302	вовсе не по	1	1
303	но никто не	1	1
304	и оба этих	1	1
305	и связанных с	1	1
306	а только в	1	1
307	имеют дело с	1	1
308	своей причастности к	1	1
309	в лучшем случае	1	1
310	события так и	2	1
311	точки зрения формальной	1	1
312	до конца и	1	1
313	акт в его	1	1
314	но конечно этот	1	1
315	его просто не	1	1
316	средневековых мистерий в	1	1
317	и в ее	1	1
318	но только не	1	1
319	жизни и культуры	1	1
320	но как и	1	1
321	между прочим и	1	1
322	все эти бесконечные	1	1
323	и новое и	1	1
324	свой смысл и	1	1
325	себе в своем	1	1
326	лежит в основе	1	1
