N	2gram	Trubetskoy	KFilosof
1	может быть	10	45
2	в его	5	42
3	в нем	4	32
4	не может	4	29
5	и не	8	28
6	и в	26	28
7	по отношению	1	26
8	в котором	4	24
9	не есть	1	22
10	отношению к	3	22
11	в себе	6	21
12	только в	4	18
13	и его	1	18
14	в своем	3	17
15	в ее	1	17
16	а не	5	17
17	в этом	15	15
18	для него	3	13
19	не в	2	13
20	точки зрения	13	13
21	к нему	7	12
22	ни в	1	12
23	но не	8	12
24	и это	2	12
25	в своей	1	11
26	все эти	6	11
27	во всех	2	11
28	из себя	2	11
29	все это	6	10
30	это не	1	10
31	с точки	6	10
32	и есть	1	10
33	бытия и	1	10
34	и для	5	10
35	в их	1	9
36	и все	2	9
37	но и	9	9
38	как бы	12	9
39	не было	2	8
40	если бы	3	8
41	в мире	5	8
42	было бы	1	8
43	лишь в	5	8
44	в себя	1	8
45	жизни и	2	8
46	себя в	1	8
47	и здесь	2	7
48	что и	6	7
49	уже не	3	7
50	совершенно не	1	7
51	то что	7	7
52	конечно не	2	7
53	для себя	1	7
54	и только	4	7
55	должно быть	1	6
56	но все	7	6
57	но эта	1	6
58	не имеет	5	6
59	в смысле	4	6
60	в том	11	6
61	и их	1	6
62	и действительно	2	6
63	отношение к	5	6
64	место в	1	6
65	он не	4	6
66	но это	1	6
67	мира в	1	6
68	со всем	1	5
69	то же	4	5
70	ко всему	2	5
71	мы имеем	2	5
72	не только	10	5
73	с ним	1	5
74	его в	1	5
75	но в	7	5
76	именно в	2	5
77	бы быть	1	5
78	как и	1	5
79	все же	6	5
80	еще не	2	5
81	время и	1	5
82	хотя бы	3	5
83	в одном	3	5
84	а в	4	5
85	культуры и	3	5
86	там где	1	5
87	бытия в	1	5
88	никогда не	5	5
89	что в	9	4
90	нему в	1	4
91	бытие не	1	4
92	и весь	1	4
93	при этом	3	4
94	ни было	2	4
95	что это	3	4
96	не как	2	4
97	прежде всего	2	4
98	в своих	1	4
99	нет в	1	4
100	с ними	1	4
101	мира и	1	4
102	том что	7	4
103	в чем	1	4
104	в каком	1	4
105	могло бы	1	4
106	входит в	1	4
107	только как	1	4
108	где я	1	4
109	во всей	1	4
110	не по	1	4
111	между тем	2	4
112	и т.д	6	4
113	к ним	3	4
114	быть в	1	4
115	из него	2	4
116	та же	1	3
117	культурные ценности	2	3
118	и на	2	3
119	этого мира	1	3
120	и пр	1	3
121	мы не	1	3
122	тогда когда	2	3
123	и этот	1	3
124	того что	3	3
125	ясно что	3	3
126	в виду	2	3
127	и тот	1	3
128	и делает	1	3
129	самом деле	1	3
130	тем что	1	3
131	но для	1	3
132	людей и	2	3
133	в корне	1	3
134	не менее	3	3
135	по своему	2	3
136	здесь не	1	3
137	один и	1	3
138	в момент	1	3
139	той или	2	3
140	себя не	1	3
141	это и	1	3
142	бы и	1	3
143	в свою	2	3
144	не должно	1	3
145	для того	5	3
146	в ней	1	3
147	быть и	2	3
148	к чему	1	3
149	человека и	1	3
150	только с	1	3
151	могут быть	1	3
152	о том	6	3
153	в то	4	3
154	а следовательно	1	3
155	события в	1	3
156	всех этих	1	3
157	и совершенно	1	3
158	тот же	2	3
159	ничего не	1	3
160	котором он	1	3
161	или иным	1	2
162	бы то	2	2
163	как к	1	2
164	один из	2	2
165	ему в	2	2
166	и конечно	1	2
167	и отсюда	1	2
168	может не	1	2
169	не нужен	1	2
170	и того	1	2
171	других для	1	2
172	его с	1	2
173	случае мы	1	2
174	дело с	1	2
175	чтобы стать	1	2
176	это уже	1	2
177	нет выхода	1	2
178	тем не	3	2
179	так и	6	2
180	из которых	4	2
181	этот мир	1	2
182	и за	1	2
183	в качестве	3	2
184	это есть	1	2
185	по себе	1	2
186	жизни мира	1	2
187	в виде	4	2
188	со всеми	2	2
189	не потому	2	2
190	если не	2	2
191	он может	1	2
192	всех его	1	2
193	в сознании	1	2
194	лишь постольку	1	2
195	в ту	1	2
196	не следует	1	2
197	в процессе	2	2
198	в жизни	1	2
199	с тем	18	2
200	и как	3	2
201	весь мир	1	2
202	что он	4	2
203	и вокруг	1	2
204	в соответствии	1	2
205	себя как	1	2
206	выход из	2	2
207	как в	1	2
208	во главе	1	2
209	от этого	1	2
210	смысла и	1	2
211	это было	1	2
212	вследствие этого	1	2
213	ли это	2	2
214	ничего общего	2	2
215	и смерти	1	2
216	вошли в	1	2
217	все они	1	2
218	и мир	2	2
219	этого слова	1	2
220	к этому	3	2
221	и потому	6	2
222	ни к	1	2
223	и ясно	1	2
224	а с	7	2
225	в данном	1	2
226	и других	1	2
227	бытие но	1	2
228	ни у	2	2
229	мира как	1	2
230	потому что	7	2
231	того чтобы	5	2
232	культура в	3	2
233	то ни	2	2
234	совсем не	1	2
235	с этого	1	2
236	дело не	1	2
237	а по	1	2
238	знает и	1	2
239	для этого	2	2
240	всех других	2	2
241	этот факт	2	2
242	всей своей	1	2
243	же время	2	2
244	думать что	1	2
245	этих людей	1	2
246	или иное	2	2
247	и будущее	1	2
248	имеем в	1	2
249	в этой	4	2
250	соответствии с	1	2
251	или иной	2	2
252	определить в	1	2
253	течение жизни	1	2
254	с его	2	2
255	в области	9	2
256	его к	1	2
257	а как	1	2
258	чему не	1	2
259	постольку поскольку	1	2
260	с ее	1	2
261	чтобы не	1	2
262	то или	2	2
263	и ее	1	2
264	одного и	1	2
265	как основной	1	1
266	все в	1	1
267	мир не	1	1
268	в самом	4	1
269	культуры который	1	1
270	и к	5	1
271	мире и	1	1
272	на почве	1	1
273	ввиду того	1	1
274	именно к	1	1
275	новое и	1	1
276	утверждать что	2	1
277	только не	2	1
278	влечет за	2	1
279	смерть и	1	1
280	во втором	1	1
281	все что	2	1
282	мы видим	1	1
283	до сих	5	1
284	рождение и	1	1
285	в душе	1	1
286	и всякий	1	1
287	этой задачи	2	1
288	собой и	1	1
289	можно говорить	1	1
290	этот выход	1	1
291	потому только	1	1
292	ничем не	4	1
293	так как	9	1
294	есть единственное	1	1
295	как с	1	1
296	и музыка	1	1
297	и этими	1	1
298	в план	1	1
299	и своего	1	1
300	пассивности и	1	1
301	только что	2	1
302	то есть	4	1
303	сознании в	1	1
304	первом случае	1	1
305	т.е к	1	1
306	зависит от	1	1
307	его бытие	1	1
308	за исключением	1	1
309	эта мысль	1	1
310	мы ничего	1	1
311	живет в	1	1
312	смысле слова	1	1
313	что уже	1	1
314	он как	1	1
315	целом есть	1	1
316	и должно	1	1
317	отношения к	1	1
318	а тот	1	1
319	он становится	1	1
320	тот единственный	1	1
321	и другую	1	1
322	и менее	1	1
323	несмотря на	6	1
324	людей но	1	1
325	нечто подобное	1	1
326	что мир	1	1
327	начало а	1	1
328	которых он	1	1
329	из всех	3	1
330	религии в	3	1
331	то для	1	1
332	и наконец	2	1
333	быть совершено	1	1
334	уже с	3	1
335	ни на	1	1
336	бы человек	1	1
337	и из	2	1
338	как раз	1	1
339	и относит	1	1
340	культуры на	2	1
341	и через	1	1
342	можно сказать	3	1
343	с нашей	1	1
344	одно из	2	1
345	картина мира	1	1
346	притом не	1	1
347	в отношении	6	1
348	это слово	1	1
349	его от	2	1
350	в результате	3	1
351	этого момента	1	1
352	смысле этого	1	1
353	содержанием в	1	1
354	конечно невозможно	1	1
355	теоретически и	1	1
356	от до	1	1
357	с собой	1	1
358	основана на	1	1
359	этого человека	1	1
360	различия между	2	1
361	лежит в	1	1
362	материальные и	1	1
363	только он	1	1
364	связь с	2	1
365	чем в	1	1
366	их не	1	1
367	него в	1	1
368	и даже	3	1
369	к его	2	1
370	языка это	1	1
371	образом в	5	1
372	есть проблема	1	1
373	в разные	1	1
374	не более	1	1
375	от исторического	1	1
376	оставаясь в	1	1
377	отличаются от	2	1
378	в которой	3	1
379	в заблуждение	1	1
380	в первом	1	1
381	бытия или	1	1
382	имеет для	1	1
383	и с	10	1
384	как этот	1	1
385	от своего	1	1
386	своей культуре	1	1
387	всегда в	1	1
388	с ней	3	1
389	жизнь в	1	1
390	знать о	1	1
391	мысль о	2	1
392	с целью	2	1
393	которые как	1	1
394	всем что	1	1
395	сказать и	1	1
396	она является	1	1
397	и требует	1	1
398	превращается в	2	1
399	за свою	1	1
400	если он	1	1
401	есть что	1	1
402	тем же	1	1
403	этом последнем	1	1
404	как о	3	1
405	как не	1	1
406	вышла из	1	1
407	помнить что	1	1
408	есть тот	1	1
409	их в	1	1
410	для каждого	2	1
411	вследствие того	1	1
412	а именно	1	1
413	ничто в	1	1
414	выйти из	1	1
415	одновременно и	2	1
416	и так	1	1
417	вместе с	15	1
418	на этом	1	1
419	при таком	2	1
420	в этих	4	1
421	его все	1	1
422	никто не	1	1
423	т.е как	1	1
424	они не	1	1
425	приводит к	2	1
426	на все	2	1
427	землю и	1	1
428	было конечно	2	1
429	уже давно	2	1
430	тем или	1	1
431	отличается от	2	1
432	между собой	1	1
433	следовательно и	1	1
434	на его	1	1
435	лишь общие	1	1
436	людьми и	1	1
437	разные стороны	1	1
438	она и	1	1
439	в эту	2	1
440	культуры в	1	1
441	и таким	3	1
442	и смерть	1	1
443	целого и	1	1
444	к тому	6	1
445	в одной	1	1
446	сих пор	5	1
447	особенно в	2	1
448	этического смысла	1	1
449	эта ценность	2	1
450	не был	1	1
451	смерти и	1	1
452	только для	2	1
453	частей и	1	1
454	с этим	1	1
455	что эти	3	1
456	остается лишь	1	1
457	нет ничего	1	1
458	перестает быть	2	1
459	даже там	1	1
460	должен был	4	1
461	такую принципиальную	1	1
462	во всяком	6	1
463	только от	1	1
464	все и	1	1
465	мы можем	2	1
466	не является	1	1
467	не существует	1	1
468	но с	3	1
469	жизни а	1	1
470	своей теоретической	1	1
471	него выйти	1	1
472	любовь ко	1	1
473	на задний	1	1
474	что мы	2	1
475	действия в	1	1
476	а просто	1	1
477	совершенно иной	2	1
478	мы уже	1	1
479	вообще невозможно	1	1
480	совпадает с	1	1
481	другими словами	1	1
482	но при	2	1
483	всяком случае	6	1
