N	4gram	Losev_Prob	KFilosof
1	один и тот же	1	3
2	в данный момент в	1	1
3	в том случае когда	1	1
4	а эта последняя как	1	1
5	с нашей точки зрения	1	1
6	бы оно ни было	1	1
7	по самому своему смыслу	2	1
8	несмотря на то что	1	1
9	значит ли это что	1	1
10	и свой смысл и	1	1
11	дело в том что	3	1
12	он не может быть	1	1
13	и тем не менее	8	1
14	вовсе не относятся к	1	1
15	в то или иное	1	1
16	во всех этих случаях	1	1
17	но в то же	1	1
18	стороне и в своей	1	1
19	если бы оно было	1	1
20	и в то же	1	1
21	одного и того же	2	1
22	но для того чтобы	1	1
