N	2gram	Tiupa_Teor	Tragedij
1	и в	24	18
2	в романе	3	10
3	в этом	12	9
4	в году	2	9
5	не только	24	8
6	и на	2	7
7	и не	17	7
8	может быть	22	7
9	как бы	8	7
10	что он	4	6
11	у него	2	6
12	же время	8	6
13	но в	12	6
14	и его	11	6
15	это не	4	5
16	несмотря на	2	5
17	что это	1	5
18	так и	14	5
19	к жизни	2	5
20	все же	1	5
21	то же	12	5
22	как и	6	5
23	не может	8	5
24	в то	9	5
25	что в	10	4
26	в себе	14	4
27	и даже	2	4
28	все это	2	4
29	прежде всего	3	4
30	я не	2	4
31	об этом	2	4
32	еще не	6	4
33	но и	14	4
34	том что	11	4
35	и что	4	4
36	так же	2	4
37	то что	6	4
38	в этой	3	4
39	я люблю	1	4
40	в нем	7	4
41	что достоевский	1	4
42	в целом	4	4
43	своего рода	11	3
44	один из	2	3
45	должно быть	1	3
46	в его	12	3
47	для него	5	3
48	в своем	7	3
49	с ним	1	3
50	о чем	3	3
51	и сам	4	3
52	в конце	2	3
53	и как	3	3
54	в мире	26	3
55	как в	5	3
56	никто не	3	3
57	в поле	1	3
58	то есть	22	3
59	при этом	20	3
60	жизнь и	1	3
61	как это	10	3
62	тем самым	6	3
63	с ее	4	3
64	мог бы	3	3
65	как будто	2	3
66	отнюдь не	3	3
67	все эти	3	3
68	к нему	2	3
69	о жизни	2	2
70	в самом	7	2
71	не так	1	2
72	и то	3	2
73	в душе	9	2
74	xix веке	1	2
75	и здесь	2	2
76	со мной	1	2
77	и лучше	1	2
78	данном случае	5	2
79	в том	20	2
80	ивана карамазова	1	2
81	это уже	1	2
82	он и	2	2
83	с тем	1	2
84	в ее	6	2
85	для искусства	2	2
86	говорит о	1	2
87	как у	1	2
88	даже если	1	2
89	что и	2	2
90	из своих	1	2
91	ни в	5	2
92	к области	3	2
93	в русском	1	2
94	что все	1	2
95	не могут	2	2
96	его в	4	2
97	не в	9	2
98	он отчасти	1	2
99	в первом	2	2
100	но эта	1	2
101	от всего	1	2
102	в таком	3	2
103	между этими	1	2
104	как говорит	3	2
105	вопрос о	1	2
106	дома и	2	2
107	имеет в	2	2
108	и это	2	2
109	нет в	1	2
110	уже не	6	2
111	к тому	4	2
112	о том	2	2
113	перед нами	3	2
114	не имеет	1	2
115	и я	1	2
116	в данном	9	2
117	ее к	1	2
118	только к	1	2
119	отличие от	7	2
120	раз и	1	2
121	то и	1	2
122	потому что	3	2
123	я к	1	2
124	личности и	4	2
125	так что	1	2
126	времени в	2	2
127	в рассказе	2	2
128	он не	5	2
129	по поводу	1	2
130	в частности	23	2
131	на меня	3	2
132	в это	1	2
133	другим в	1	2
134	точно так	1	2
135	в одном	3	2
136	говорит что	2	2
137	и до	1	2
138	в глаза	2	2
139	в отличие	7	2
140	его за	1	2
141	отношение к	7	2
142	в ходе	5	2
143	о его	2	2
144	до конца	1	2
145	столь же	3	2
146	что она	2	2
147	который в	2	2
148	одна из	1	2
149	с его	6	2
150	поведение в	2	2
151	тем что	1	2
152	не просто	2	2
153	не случайно	5	2
154	только о	2	2
155	и ее	4	2
156	никогда не	4	2
157	в известной	1	2
158	жизнью и	1	2
159	друг друга	1	2
160	в той	2	1
161	в особенности	1	1
162	ситуации и	1	1
163	встреча не	1	1
164	то в	2	1
165	с помощью	1	1
166	от него	1	1
167	этом случае	1	1
168	могут быть	5	1
169	только не	3	1
170	проникает в	1	1
171	в последующих	1	1
172	мы видим	1	1
173	в центре	1	1
174	это тот	1	1
175	и мира	2	1
176	таким образом	3	1
177	сам же	2	1
178	под маской	1	1
179	предстает перед	1	1
180	после того	1	1
181	на вопрос	2	1
182	местом в	1	1
183	также что	1	1
184	свидетельствует о	1	1
185	первый том	1	1
186	если он	1	1
187	в последней	2	1
188	которой не	1	1
189	и который	2	1
190	цвет глаз	1	1
191	с одной	3	1
192	и вот	3	1
193	его с	1	1
194	что даже	1	1
195	с этой	3	1
196	дело с	1	1
197	стола и	1	1
198	начала и	1	1
199	в финале	3	1
200	к числу	2	1
201	иллюзии и	1	1
202	но от	2	1
203	неизмеримо более	1	1
204	эта встреча	1	1
205	на деле	2	1
206	содержит в	1	1
207	подчеркнуть что	1	1
208	с этими	1	1
209	того что	5	1
210	тем не	3	1
211	по слову	2	1
212	не как	1	1
213	а затем	2	1
214	для нас	1	1
215	одному из	1	1
216	части романа	1	1
217	своею и	1	1
218	одно из	1	1
219	смысл этой	1	1
220	в такое	1	1
221	xix века	2	1
222	пусть пусть	1	1
223	раз необходимо	1	1
224	которым человек	1	1
225	дается в	1	1
226	в результате	1	1
227	в виду	5	1
228	иными словами	1	1
229	быть может	1	1
230	с собой	1	1
231	и теперь	1	1
232	только в	9	1
233	позиции в	1	1
234	не столько	7	1
235	по себе	2	1
236	перед другим	1	1
237	есть высшая	2	1
238	в самой	2	1
239	хозяина и	1	1
240	а на	3	1
241	и притом	3	1
242	не было	1	1
243	но он	4	1
244	здесь мы	2	1
245	мы понимаем	1	1
246	до этого	1	1
247	говорит в	2	1
248	знал и	1	1
249	черт ивана	1	1
250	и некоторыми	1	1
251	а также	7	1
252	самом общем	1	1
253	тот кто	2	1
254	заключается в	2	1
255	и гордости	1	1
256	на нее	1	1
257	одним из	3	1
258	мысль о	1	1
259	же по	1	1
260	на себя	2	1
261	позицию по	1	1
262	что не	1	1
263	не есть	1	1
264	xviii века	1	1
265	именно в	3	1
266	ведет к	2	1
267	и пусть	1	1
268	указывает на	1	1
269	я и	2	1
270	но самое	1	1
271	тому что	2	1
272	несовместимое с	1	1
273	из тех	2	1
274	деятельность не	1	1
275	в связи	3	1
276	с жизнью	1	1
277	с ними	2	1
278	с такими	1	1
279	приходит в	1	1
280	есть в	3	1
281	на земле	1	1
282	сливается с	1	1
283	в своей	8	1
284	рядом с	1	1
285	вместе с	2	1
286	что ж	1	1
287	жизни ее	1	1
288	на этом	2	1
289	при таком	1	1
290	создает и	1	1
291	жизни в	2	1
292	роль в	3	1
293	не менее	6	1
294	это происходит	1	1
295	перед собой	1	1
296	бы не	1	1
297	в такой	1	1
298	полноте и	1	1
299	со своей	4	1
300	но у	1	1
301	между собой	3	1
302	роли в	5	1
303	глаза ее	1	1
304	в иной	3	1
305	именно эта	1	1
306	в двух	1	1
307	это было	2	1
308	в стихах	1	1
309	для публики	1	1
310	героя и	6	1
311	в чем	2	1
312	в момент	3	1
313	последней главе	1	1
314	тогда как	18	1
315	этом состоит	1	1
316	именно таков	1	1
317	всем его	1	1
318	становится не	1	1
319	случае как	1	1
320	бы в	1	1
321	в них	2	1
322	на них	1	1
323	во всех	3	1
324	к одному	2	1
325	и создается	1	1
326	которых можно	1	1
327	и потому	3	1
328	это и	2	1
329	о себе	2	1
330	совершенно не	1	1
331	но как	2	1
332	более чем	1	1
333	друг перед	1	1
334	он же	1	1
335	не является	5	1
336	развернута в	1	1
337	в котором	1	1
338	же я	1	1
339	в пьесе	1	1
340	виду не	3	1
341	не сводится	9	1
342	творческий процесс	1	1
343	не могли	2	1
344	восходит к	2	1
345	карамазова в	1	1
346	связи с	3	1
347	о счастье	1	1
348	она не	1	1
349	когда я	1	1
350	собой как	1	1
351	того чтобы	5	1
352	одну из	2	1
353	но не	13	1
354	в другом	4	1
355	дистанции между	1	1
356	этом мире	2	1
357	силе и	1	1
358	между тем	5	1
359	представляет собой	13	1
360	не быть	1	1
361	понимаем что	1	1
362	эта деталь	1	1
363	с совершенно	1	1
364	в условиях	1	1
365	самом деле	2	1
366	самого автора	1	1
367	характеризуется своей	1	1
368	это по	1	1
369	в развитии	1	1
370	в которой	3	1
371	лишь в	10	1
372	ориентация на	1	1
373	а не	14	1
374	а по	1	1
375	значение для	1	1
376	только на	2	1
377	и их	1	1
378	свою жизнь	2	1
379	не могла	1	1
380	это была	1	1
381	можно было	1	1
382	вещами и	2	1
383	в форме	4	1
384	за пределы	2	1
385	а между	1	1
386	но только	1	1
387	тем и	1	1
388	добро и	1	1
389	в смерти	1	1
390	в xix	1	1
391	не вполне	2	1
392	в истории	1	1
393	по своей	8	1
394	человека с	3	1
395	ту же	1	1
396	это может	2	1
397	так он	1	1
398	человека и	2	1
399	жизни на	2	1
400	перед ним	2	1
