N	2gram	Berdyaev_O	VLabPisa
1	в этом	12	29
2	не только	11	26
3	и в	19	26
4	может быть	11	23
5	и не	13	20
6	хотя бы	3	20
7	художественного творчества	1	19
8	т е	4	18
9	не может	4	17
10	в процессе	1	17
11	в его	7	15
12	в том	5	15
13	этом отношении	1	14
14	в силу	1	14
15	все это	6	13
16	прежде всего	9	13
17	вот что	1	12
18	в частности	1	12
19	как это	1	12
20	что в	4	11
21	из них	1	11
22	не могут	3	10
23	о том	3	10
24	но и	13	10
25	для него	5	9
26	к этому	2	9
27	могут быть	3	8
28	все эти	4	8
29	том что	2	8
30	было бы	3	8
31	в своем	2	8
32	это не	3	7
33	говорит о	1	7
34	не было	9	7
35	как и	6	7
36	а не	11	7
37	то что	5	7
38	в нем	10	7
39	один из	1	6
40	у него	22	6
41	все же	2	6
42	бы и	1	6
43	не в	11	6
44	художественном творчестве	2	6
45	так и	2	6
46	в себе	3	6
47	л толстого	1	6
48	и его	4	6
49	в них	1	5
50	он говорит	1	5
51	действующих лиц	1	5
52	для художника	1	5
53	в одном	1	5
54	как бы	3	5
55	сказать что	2	5
56	и есть	3	5
57	никогда не	9	5
58	в самом	5	4
59	ее в	2	4
60	в ее	2	4
61	что для	2	4
62	в этой	5	4
63	в единстве	2	4
64	что все	2	4
65	что он	3	4
66	в виду	1	4
67	с тем	2	4
68	с ними	1	4
69	в своей	2	4
70	одном из	1	4
71	с его	4	4
72	для его	1	4
73	когда он	3	4
74	в сознании	1	4
75	одна из	1	4
76	и ее	3	4
77	у л	1	3
78	и к	2	3
79	что они	2	3
80	и он	8	3
81	что у	2	3
82	в дневнике	2	3
83	того что	3	3
84	видеть в	1	3
85	него в	5	3
86	что и	2	3
87	у нас	1	3
88	его в	2	3
89	в форме	1	3
90	если бы	1	3
91	говорит в	1	3
92	в конце	1	3
93	например в	1	3
94	момент в	2	3
95	этого типа	1	3
96	и как	1	3
97	же и	1	3
98	в явлении	1	3
99	том как	1	3
100	что пишет	1	3
101	вовсе не	1	3
102	бы в	1	3
103	и мир	1	3
104	а в	5	3
105	попал в	1	3
106	что не	4	3
107	в котором	1	3
108	даже и	2	3
109	она не	1	3
110	его не	2	3
111	того чтобы	4	3
112	для того	3	3
113	своего творчества	1	3
114	человека и	10	3
115	в творчестве	5	3
116	и от	3	3
117	жизни и	1	3
118	что говорит	1	3
119	отметить что	1	2
120	и весь	1	2
121	все его	1	2
122	они и	1	2
123	достоевского и	5	2
124	достоевский о	2	2
125	должно быть	2	2
126	того как	1	2
127	эта не	1	2
128	ее как	1	2
129	должна быть	1	2
130	смысле слова	1	2
131	своих героев	1	2
132	да и	1	2
133	хотя и	2	2
134	о чем	1	2
135	для многих	1	2
136	после этого	1	2
137	в науке	1	2
138	как у	1	2
139	и через	1	2
140	и достоевский	1	2
141	не отрицает	1	2
142	по себе	2	2
143	ума и	2	2
144	художник не	1	2
145	в своих	3	2
146	что нет	1	2
147	и даже	1	2
148	в которой	2	2
149	мысль о	2	2
150	что она	1	2
151	но не	1	2
152	в ней	1	2
153	в жизни	1	2
154	к его	1	2
155	силу чего	1	2
156	чего бы	1	2
157	другом месте	1	2
158	не вполне	1	2
159	можно ли	2	2
160	отличается от	1	2
161	после того	1	2
162	на то	1	2
163	себе и	1	2
164	но к	1	2
165	еще не	3	2
166	братьях карамазовых	1	2
167	в каждом	1	2
168	во всяком	1	2
169	и потому	2	2
170	человека в	11	2
171	и заключается	1	2
172	всяком случае	1	2
173	также и	1	2
174	ту же	1	2
175	в другом	2	2
176	не по	1	2
177	не быть	1	2
178	творчестве он	1	2
179	лишь в	7	2
180	связана с	1	2
181	я бы	1	2
182	что творчество	1	2
183	не с	1	2
184	можно было	1	2
185	и сам	1	2
186	от того	1	2
187	как например	1	2
188	и формы	1	2
189	он и	1	2
190	он в	2	2
191	вообще и	1	2
192	братьев карамазовых	1	2
193	будто бы	1	2
194	и никогда	2	2
195	заключается в	1	2
196	начиная с	1	2
197	о его	5	2
198	бы еще	1	2
199	оно дает	1	2
200	как от	1	2
201	он не	7	2
202	который в	1	2
203	он сам	4	2
204	чтобы не	1	2
205	и для	2	2
206	творческому воображению	1	2
207	ни с	7	2
208	но в	2	2
209	открытие и	1	1
210	с которой	2	1
211	говорит достоевский	1	1
212	то в	1	1
213	его собственного	1	1
214	от него	7	1
215	у вл	1	1
216	смерть и	1	1
217	и то	2	1
218	а потому	1	1
219	человеческой личности	6	1
220	ее и	1	1
221	огромное значение	1	1
222	еще одну	1	1
223	некоторые места	1	1
224	е от	1	1
225	достоевского в	3	1
226	любой из	1	1
227	ней не	1	1
228	толстого и	1	1
229	можно и	1	1
230	к этой	2	1
231	в явлениях	2	1
232	есть одно	1	1
233	мы не	1	1
234	судьба человека	1	1
235	он всегда	7	1
236	еще больше	1	1
237	еще более	1	1
238	есть для	1	1
239	и менее	1	1
240	разум и	1	1
241	этого только	1	1
242	с ним	3	1
243	природе и	1	1
244	сам по	1	1
245	о нем	1	1
246	проникновения в	1	1
247	они в	1	1
248	раскрывается в	5	1
249	у многих	1	1
250	нет никакого	1	1
251	природу и	1	1
252	в этих	3	1
253	в русском	1	1
254	за это	1	1
255	и напряженной	1	1
256	всей ее	1	1
257	связанная с	1	1
258	говорит он	1	1
259	вл соловьева	1	1
260	ведь это	2	1
261	о природе	3	1
262	но он	7	1
263	самом деле	1	1
264	не очень	2	1
265	как мыслитель	1	1
266	приходит в	1	1
267	и все	10	1
268	и раскрыть	1	1
269	раз навсегда	1	1
270	тем что	2	1
271	ничего и	2	1
272	в сферу	1	1
273	о судьбе	1	1
274	между этими	1	1
275	все герои	5	1
276	и без	1	1
277	во имя	3	1
278	а именно	1	1
279	состоит из	1	1
280	как в	1	1
281	и характер	1	1
282	говорят о	1	1
283	а иногда	1	1
284	образе в	1	1
285	не имеет	2	1
286	эксперимент в	1	1
287	но у	1	1
288	сравнению с	1	1
289	это было	3	1
290	и это	1	1
291	художник и	1	1
292	на своем	1	1
293	вечном муже	1	1
294	и из	2	1
295	что их	1	1
296	достоевский он	1	1
297	мысли в	1	1
298	человека а	2	1
299	не все	2	1
300	природы с	1	1
301	нет ничего	7	1
302	бросается в	1	1
303	ни к	1	1
304	его и	1	1
305	совершенно не	1	1
306	том случае	1	1
307	а с	1	1
308	виду не	1	1
309	и иррациональной	1	1
310	вопрос о	10	1
311	не ошибается	1	1
312	в братьях	1	1
313	случае если	1	1
314	в чистом	1	1
315	он был	8	1
316	жизнь их	1	1
317	собой в	1	1
318	уже в	2	1
319	по сравнению	1	1
320	необходимо подчеркнуть	1	1
321	его творчества	1	1
322	это для	1	1
323	потому что	9	1
324	сознания в	1	1
325	кажется что	1	1
326	романы достоевского	1	1
327	и счастье	1	1
328	от всех	1	1
329	о достоевском	2	1
330	романов достоевского	2	1
331	только один	1	1
332	и открытий	1	1
333	со стороны	1	1
334	личность и	1	1
335	может служить	1	1
336	к творчеству	1	1
337	и ему	1	1
338	и что	1	1
339	плоти и	1	1
340	им самим	1	1
341	заключает в	1	1
342	вообще но	1	1
343	у достоевского	19	1
344	человеческой психики	1	1
345	доходит до	1	1
346	в истории	2	1
347	в глаза	1	1
348	не случайно	1	1
349	это вопрос	1	1
350	личности и	2	1
351	этого мира	2	1
352	достоевский в	1	1
353	отношение к	5	1
354	же не	1	1
355	жизни не	1	1
356	к ней	2	1
357	они всегда	1	1
358	частью в	2	1
359	что во	1	1
360	от которой	1	1
361	что есть	2	1
362	бы он	1	1
363	находится в	1	1
364	уже не	1	1
365	легенды о	1	1
366	творческого типа	1	1
367	на этот	1	1
368	человека вообще	1	1
369	и других	1	1
370	как будто	1	1
371	против теории	1	1
372	этими двумя	1	1
373	творчества это	1	1
374	в вечном	1	1
375	но это	1	1
376	к каким	1	1
377	из него	1	1
378	это подтверждается	1	1
379	в самой	9	1
380	и ни	2	1
381	он должен	1	1
382	начинает с	1	1
383	лишь его	1	1
384	нее не	1	1
385	с того	1	1
386	поэма о	1	1
387	мира в	1	1
388	и самый	1	1
