N	3gram	Nazirov_Tv	EvropaiC
1	в том что	8	16
2	до сих пор	1	15
3	по отношению к	3	11
4	мы знаем что	1	7
5	на самом деле	2	7
6	в самом деле	2	5
7	к тому же	1	5
8	не может быть	2	4
9	о том что	6	4
10	тем не менее	2	4
11	с другой стороны	2	4
12	в конце концов	1	4
13	в этой области	1	4
14	вместе с тем	1	3
15	заключается в том	1	3
16	в целом ряде	1	3
17	в том же	3	3
18	в настоящее время	1	3
19	все же не	1	3
20	одного и того	1	3
21	так же как	1	3
22	то ни было	1	3
23	в данном случае	2	3
24	и того же	1	3
25	не может не	1	3
26	в связи с	2	3
27	бы то ни	1	3
28	не может служить	1	2
29	в свою очередь	2	2
30	во всяком случае	2	2
31	друг на друга	1	2
32	при этом что	1	2
33	заключает в себе	1	2
34	что же касается	1	2
35	он не может	1	2
36	как и в	2	2
37	в то же	19	2
38	заметим кстати что	1	2
39	именно потому что	1	2
40	ничего общего с	1	2
41	а с другой	1	2
42	только то что	1	2
43	с одной стороны	1	2
44	то же время	18	2
45	о том чтобы	1	2
46	и в том	1	2
47	это имеет место	1	1
48	лицо к которому	1	1
49	а может быть	2	1
50	а как бы	1	1
51	за то что	1	1
52	университет историко-филологический факультет	1	1
53	в ту же	1	1
54	по крайней мере	4	1
55	и в другом	1	1
56	и в дальнейшем	1	1
57	их взаимоотношения в	1	1
58	смысл этого слова	1	1
59	еще далеко не	1	1
60	но в целом	1	1
61	приходит к сознанию	1	1
62	так и от	1	1
63	точно так же	3	1
64	в том числе	1	1
65	и дальше в	1	1
66	выше мы уже	1	1
67	между прочим в	1	1
68	важную роль в	1	1
69	что у него	2	1
70	но даже в	1	1
71	хотя и не	1	1
72	и если бы	1	1
73	у него в	1	1
74	но при этом	1	1
75	все та же	1	1
76	заключалось в том	1	1
77	я не могу	1	1
78	что он сам	1	1
79	каких бы то	1	1
80	даже если он	1	1
81	дело в том	4	1
82	почти ничего общего	1	1
83	в этом пункте	1	1
84	а с в	1	1
85	том числе и	1	1
86	можно было бы	1	1
87	уже говорили что	1	1
88	и это не	1	1
89	целом ряде случаев	1	1
90	в разные стороны	1	1
91	с самого начала	3	1
92	что в современной	1	1
93	на деле это	1	1
94	на наших глазах	1	1
95	на первый взгляд	1	1
96	то же самое	1	1
97	и все же	3	1
98	отличие от современных	1	1
99	к тому что	1	1
100	можно встретить и	1	1
101	с большим трудом	1	1
102	не только с	1	1
103	мы уже говорили	2	1
104	таким образом и	1	1
105	никогда не было	2	1
106	является одним из	3	1
107	в мире не	1	1
108	образом и в	1	1
109	нет и не	1	1
110	и не может	2	1
