N	4gram	Bakhtin_Fr	Vvedenie
1	в то же время	12	6
2	не что иное как	1	5
3	с одной стороны и	1	3
4	дело в том что	2	3
5	но в то же	3	3
6	есть не что иное	1	3
7	заключается в том что	1	2
8	только после того как	1	2
9	одного и того же	1	2
10	в том или ином	2	2
11	в целом ряде других	1	1
12	то же время в	1	1
13	и прежде всего в	1	1
14	большей или меньшей степени	1	1
15	во второй половине xix	1	1
16	и до наших дней	2	1
17	и в целом ряде	1	1
18	в большей или меньшей	1	1
19	литературы в широком смысле	1	1
20	мы имеем в виду	2	1
21	в той или иной	1	1
22	имеет дело не с	1	1
23	и в этом отношении	1	1
24	с каждым новым поколением	1	1
