N	3gram	Losev_Dial	slovoVRo
1	и т п	3	72
2	не может быть	4	19
3	то же время	8	18
4	в то же	7	18
5	той или иной	4	15
6	с точки зрения	18	15
7	в той или	3	13
8	в отношении к	1	12
9	с одной стороны	3	11
10	и т д	28	10
11	более или менее	5	9
12	в зависимости от	2	8
13	во всяком случае	3	8
14	и в особенности	1	7
15	но в то	1	7
16	и в то	3	6
17	не может не	1	6
18	но все же	2	6
19	с другой стороны	7	6
20	большей или меньшей	1	6
21	в том что	12	5
22	не только в	2	5
23	в этом отношении	2	5
24	может быть и	6	5
25	одной стороны и	3	4
26	точка зрения на	1	4
27	для того чтобы	1	4
28	друг с другом	2	4
29	до сих пор	4	4
30	те или иные	1	4
31	и не может	1	4
32	можно сказать что	6	4
33	не могут быть	1	4
34	в новое время	1	4
35	никогда не может	2	4
36	до известной степени	1	3
37	и то же	8	3
38	может быть только	2	3
39	тех или иных	1	3
40	в данном случае	1	3
41	в связи с	3	3
42	сама по себе	12	3
43	к тому что	3	3
44	как оно и	1	3
45	может быть очень	1	3
46	и не в	1	3
47	одно и то	8	3
48	в каждом моменте	1	3
49	в широком смысле	2	3
50	в другом случае	1	3
51	образ может быть	1	2
52	это не значит	3	2
53	как бы ни	2	2
54	и в другом	1	2
55	то или иное	4	2
56	вовсе не в	3	2
57	тем не менее	3	2
58	далеко не всегда	1	2
59	становления и в	1	2
60	не только о	1	2
61	а между тем	1	2
62	ничего нового не	1	2
63	в чем не	1	2
64	точки зрения самого	2	2
65	и с другой	2	2
66	а не только	1	2
67	что он есть	2	2
68	и в том	1	2
69	и в этом	4	2
70	сих пор не	1	2
71	в том и	1	2
72	хотя и не	1	2
73	иметь в виду	4	2
74	том и в	1	2
75	но и в	1	2
76	о том что	6	2
77	и в них	1	2
78	тем и другим	1	2
79	в то время	2	2
80	во всех своих	1	2
81	если она не	2	2
82	можно было бы	4	2
83	во всех этих	1	2
84	в этом его	1	2
85	с самого начала	2	2
86	же как и	1	2
87	с ним и	1	2
88	привело к тому	1	2
89	и в нем	3	2
90	и в частности	4	2
91	мы уже говорили	1	2
92	и не только	4	2
93	то время как	2	2
94	и следовательно в	1	2
95	ни в чем	2	2
96	в одно и	1	1
97	нужно отнести также	1	1
98	если они не	1	1
99	онегин у пушкина	1	1
100	только один и	1	1
101	как раз на	1	1
102	предполагает прежде всего	1	1
103	что он не	2	1
104	бы и не	2	1
105	и даже не	3	1
106	по себе а	2	1
107	одному из них	1	1
108	на задний план	1	1
109	точки зрения не	1	1
110	себя так что	1	1
111	т д если	1	1
112	представить себе как	1	1
113	не в такой	1	1
114	один и единственный	1	1
115	мы говорим о	1	1
116	дело не в	1	1
117	его отношении к	1	1
118	сказать и о	1	1
119	это не может	1	1
120	с ним в	1	1
121	она не может	1	1
122	том что она	1	1
123	несет на себе	2	1
124	все новые и	1	1
125	так или иначе	3	1
126	сами по себе	4	1
127	значение может иметь	2	1
128	как например в	1	1
129	мы можем сказать	3	1
130	вовсе не обязательно	2	1
131	речь идет о	1	1
132	говорить о себе	1	1
133	связанные с этим	1	1
134	само по себе	7	1
135	если бы мы	1	1
136	сказать что в	1	1
137	в нем нет	3	1
138	и наконец даже	1	1
139	мы все время	1	1
140	том что в	1	1
141	можно встретить такие	1	1
142	с чем именно	1	1
143	а в том	1	1
144	не стремится к	1	1
145	но всегда и	1	1
146	может быть конечно	1	1
147	мы должны сказать	1	1
148	время как поэзия	1	1
149	же и в	1	1
150	в предмете и	1	1
151	и как он	1	1
152	к нему а	1	1
153	а не с	1	1
154	самом же деле	2	1
155	на самом же	2	1
156	все это не	1	1
157	в последнем случае	1	1
158	известных условиях может	1	1
159	то прежде всего	1	1
160	в поэзии и	1	1
161	но это не	2	1
162	как одно и	1	1
163	в разной степени	2	1
164	в какой мере	1	1
165	с другом в	1	1
166	может и не	2	1
167	в этих случаях	1	1
168	они вообще не	1	1
169	вместе с ним	1	1
170	никогда не бывает	1	1
171	точек зрения и	1	1
172	и что же?	1	1
173	равно как и	1	1
174	на то что	4	1
175	и может быть	3	1
176	как бы только	1	1
177	она ни была	1	1
178	по крайней мере	11	1
179	не было у	1	1
180	в данный момент	1	1
181	как это было	1	1
182	в том чтобы	1	1
183	не с точки	2	1
184	в чем же	1	1
185	выйти за пределы	1	1
186	со всеми его	1	1
187	ни в какой	3	1
188	не может и	3	1
189	и в отношении	1	1
190	в виду не	1	1
191	все более и	1	1
192	как один из	2	1
193	это не только	1	1
194	не был бы	1	1
195	отнести также и	1	1
196	бы она ни	2	1
197	и ни в	2	1
198	связи с этим	2	1
199	она или прямо	1	1
200	новый смысл и	1	1
201	отношении к нему	1	1
202	более и более	1	1
203	но все это	2	1
204	при известных условиях	1	1
205	в них не	1	1
206	самого по себе	3	1
207	как и образ	1	1
208	жизни и в	2	1
209	добра и зла	1	1
210	широком смысле но	1	1
211	и с точки	1	1
212	с той или	2	1
213	и этим в	1	1
214	дело в том	1	1
215	как и все	1	1
216	как раз в	1	1
217	подобно тому как	1	1
218	не только два	1	1
219	это и не	2	1
220	одной и той	1	1
221	и ничего не	1	1
222	так же как	1	1
223	все дальше и	1	1
224	печорин у лермонтова	1	1
225	кроме того и	1	1
226	не менее в	1	1
227	именно в том	1	1
228	сказать несколько слов	1	1
229	так же нелепо	2	1
230	как бы она	1	1
231	том что он	1	1
232	и все его	1	1
233	точки зрения так	1	1
234	не в самом	1	1
235	на своем месте	1	1
236	в данном языке	1	1
237	только начинается это	1	1
238	дальше и дальше	1	1
239	она может быть	1	1
240	не может избежать	1	1
241	с которым они	1	1
242	ровно ничего не	3	1
243	в нем и	2	1
244	точки зрения и	1	1
245	и в смысле	1	1
246	и той же	1	1
247	это было бы	1	1
248	в нем есть	6	1
249	только в смысле	1	1
250	свой смысл и	1	1
251	новые и новые	1	1
252	друг к другу	2	1
