N	2gram	Berdyaev_O	SlovoVZh
1	не может	4	16
2	может быть	11	14
3	как бы	3	13
4	и его	4	13
5	и в	19	12
6	и не	13	10
7	так как	2	9
8	если бы	1	9
9	прежде всего	9	8
10	сказать что	2	7
11	все время	1	6
12	в ней	1	6
13	в том	5	6
14	в процессе	1	6
15	в нем	10	6
16	хотя бы	3	5
17	должна быть	1	5
18	а не	11	5
19	в виду	1	5
20	то что	5	5
21	в жизни	1	5
22	как и	6	5
23	как в	1	5
24	том что	2	5
25	но в	2	5
26	никогда не	9	5
27	в самом	5	4
28	и к	2	4
29	и на	2	4
30	не только	11	4
31	на самом	1	4
32	от того	1	4
33	его в	2	4
34	не в	11	4
35	дело в	1	4
36	отношение к	5	4
37	что не	4	4
38	так и	2	4
39	уже не	1	4
40	жизни и	1	4
41	в этом	12	4
42	все же	2	4
43	к нему	3	4
44	как к	2	3
45	и с	2	3
46	ее и	1	3
47	и более	1	3
48	в котором	1	3
49	и пр	1	3
50	мы не	1	3
51	для него	5	3
52	отношении к	1	3
53	с ним	3	3
54	того что	3	3
55	когда он	3	3
56	все это	6	3
57	он должен	1	3
58	по себе	2	3
59	в них	1	3
60	в творчестве	5	3
61	самом деле	1	3
62	в себе	3	3
63	все эти	4	3
64	о том	3	3
65	в своей	2	3
66	художественного творчества	1	3
67	нуждается в	1	3
68	да и	1	3
69	но и	13	3
70	и для	2	3
71	и ее	3	3
72	еще не	3	3
73	что в	4	2
74	нет ничего	7	2
75	но это	1	2
76	не так	1	2
77	и потому	2	2
78	и то	2	2
79	и самое	1	2
80	в душе	2	2
81	по природе	1	2
82	уже в	2	2
83	в его	7	2
84	она не	1	2
85	это не	3	2
86	была бы	1	2
87	от всех	1	2
88	но тем	1	2
89	как это	1	2
90	из него	1	2
91	и что	1	2
92	что и	2	2
93	в отношении	1	2
94	в форме	1	2
95	на примере	1	2
96	в этих	3	2
97	есть уже	1	2
98	связь с	1	2
99	бы даже	1	2
100	ко всем	2	2
101	и здесь	1	2
102	человеческого общества	1	2
103	и все	10	2
104	но не	1	2
105	его как	1	2
106	не есть	2	2
107	могут быть	3	2
108	до конца	7	2
109	в своем	2	2
110	в корне	1	2
111	к его	1	2
112	с его	4	2
113	к этому	2	2
114	он не	7	2
115	ничего не	2	2
116	собственно в	1	1
117	одного только	2	1
118	умирает в	2	1
119	все в	4	1
120	и мир	1	1
121	в русской	3	1
122	к одному	1	1
123	то в	1	1
124	во всяком	1	1
125	от него	7	1
126	что они	2	1
127	видели в	1	1
128	его и	1	1
129	но можно	1	1
130	то он	1	1
131	а с	1	1
132	и он	8	1
133	к другу	1	1
134	та же	1	1
135	может с	1	1
136	виду не	1	1
137	друг к	1	1
138	природы это	1	1
139	она должна	1	1
140	не имеют	1	1
141	должно быть	2	1
142	к одной	1	1
143	ли он	1	1
144	так для	1	1
145	даже и	2	1
146	и вот	3	1
147	особого рода	1	1
148	только и	4	1
149	того чтобы	4	1
150	еще более	1	1
151	ту же	1	1
152	в другом	2	1
153	и менее	1	1
154	вопросу о	1	1
155	это часто	1	1
156	бы эта	1	1
157	что это	1	1
158	хотя и	2	1
159	и тогда	1	1
160	и светом	1	1
161	этом отношении	1	1
162	о чем	1	1
163	в ее	2	1
164	она стала	1	1
165	кажется что	1	1
166	сам по	1	1
167	все основные	1	1
168	в частности	1	1
169	говорит о	1	1
170	и больше	1	1
171	со всей	1	1
172	пределы искусства	1	1
173	не хочет	1	1
174	было такой	1	1
175	в науке	1	1
176	в одном	1	1
177	одно из	2	1
178	у нас	1	1
179	можно было	1	1
180	же не	1	1
181	и это	1	1
182	сторон и	1	1
183	природу и	1	1
184	в идиоте	4	1
185	не вполне	1	1
186	у него	22	1
187	в истории	2	1
188	не могут	3	1
189	не существует	1	1
190	явление а	1	1
191	чего же	1	1
192	к которой	1	1
193	отметить что	1	1
194	у нее	1	1
195	противоречит самым	1	1
196	не было	9	1
197	как например	1	1
198	не совпадает	1	1
199	он еще	1	1
200	было бы	3	1
201	стала возможной	1	1
202	и можно	1	1
203	ведь это	2	1
204	и ценности	1	1
205	что она	1	1
206	и о	2	1
207	что для	2	1
208	тем же	1	1
209	него не	2	1
210	и эта	1	1
211	когда человек	1	1
212	не те	1	1
213	но есть	1	1
214	было дано	1	1
215	например в	1	1
216	из подполья	11	1
217	человек и	4	1
218	с которой	2	1
219	характер и	1	1
220	во внутренней	1	1
221	и без	1	1
222	дано еще	1	1
223	что все	2	1
224	места в	1	1
225	момент в	2	1
226	при чтении	2	1
227	и прежде	1	1
228	как будто	1	1
229	жизни в	2	1
230	человека для	1	1
231	нему как	1	1
232	по своей	1	1
233	на этих	1	1
234	и идеологических	1	1
235	отрешиться от	1	1
236	в эти	1	1
237	природой и	1	1
238	себе и	1	1
239	чтобы не	1	1
240	записок из	5	1
241	его творчество	1	1
242	в одной	1	1
243	и из	2	1
244	вовсе не	1	1
245	думать что	1	1
246	нее не	1	1
247	и самый	1	1
248	всяком случае	1	1
