N	2gram	Medvedev_B	UchenyiS
1	и в	1	14
2	не только	1	10
3	а не	1	10
4	и не	2	8
5	прежде всего	1	8
6	все это	2	5
7	с другой	1	4
8	было бы	1	3
9	не о	1	3
10	по нашему	1	3
11	в своей	1	3
12	все же	1	3
13	в области	1	3
14	у нас	3	3
15	другой стороны	1	3
16	не следует	1	3
17	нашему мнению	1	3
18	таким образом	1	2
19	же не	1	2
20	крайней мере	1	2
21	должна быть	1	2
22	словесного творчества	1	2
23	художественного произведения	1	2
24	художественном произведении	1	2
25	представляется нам	1	2
26	неудивительно что	1	2
27	а о	1	2
28	по крайней	1	2
29	что все	1	2
30	не все	1	2
31	было и	1	1
32	что в	1	1
33	не было	1	1
34	бы только	1	1
35	и потому	1	1
36	в данном	1	1
37	больше чем	2	1
38	быть эстетикой	1	1
39	только более	1	1
40	в формалистическое	1	1
41	поэтика должна	1	1
42	до конца	1	1
43	является только	1	1
44	говорить не	1	1
45	поэтики и	1	1
46	в значительной	1	1
47	по теории	1	1
48	установка на	1	1
49	в ней	2	1
50	меньшей мере	1	1
51	не вполне	1	1
52	по меньшей	1	1
53	так и	1	1
54	отнюдь не	1	1
55	теории словесности	2	1
56	эстетикой словесного	1	1
57	лучше и	2	1
58	за пределы	1	1
59	об этом	1	1
60	точно и	1	1
61	на выражение	1	1
62	в пределах	1	1
63	не то	2	1
64	далеко не	1	1
65	тем более	1	1
66	литературы как	1	1
