N	2gram	Berdyaev_N	StatiiOP
1	и в	16	103
2	в том	8	89
3	том что	2	77
4	в этом	7	76
5	что в	9	74
6	не только	5	60
7	о том	4	47
8	но и	3	46
9	то что	4	44
10	что он	1	42
11	в его	1	42
12	и не	11	41
13	может быть	7	38
14	было бы	1	32
15	в этой	1	31
16	тем что	1	29
17	все это	5	29
18	а в	2	27
19	а не	17	27
20	но в	2	26
21	так и	2	25
22	и его	1	24
23	не в	6	23
24	потому что	4	23
25	для того	1	22
26	в которой	1	22
27	как в	3	22
28	прежде всего	4	22
29	у нас	1	22
30	в области	1	22
31	и пр	3	21
32	того чтобы	2	21
33	до сих	1	20
34	это не	4	20
35	в своей	3	19
36	сих пор	1	19
37	в то	2	19
38	только в	1	19
39	в котором	1	18
40	с другой	3	18
41	он не	8	18
42	но также	1	18
43	не может	16	18
44	в самом	1	17
45	как на	1	17
46	в россии	3	17
47	в этих	1	16
48	с этим	2	16
49	сказать что	3	16
50	можно было	2	16
51	в статье	1	16
52	в ней	5	16
53	другой стороны	2	15
54	с тем	3	15
55	как и	7	15
56	из этих	1	15
57	у него	2	15
58	я не	2	15
59	и на	2	15
60	но все	1	14
61	к тому	3	14
62	я думаю	1	14
63	и что	2	14
64	в той	1	13
65	во всяком	1	13
66	в своем	1	13
67	из них	1	13
68	в конце	1	13
69	в нем	5	13
70	вместе с	2	13
71	всяком случае	1	13
72	но это	6	13
73	жизни и	8	13
74	не менее	4	12
75	хотя бы	2	12
76	ни в	6	12
77	как например	1	12
78	так как	1	12
79	того времени	1	12
80	в них	4	11
81	никогда не	6	11
82	не было	4	11
83	и с	2	11
84	своего рода	1	11
85	вопрос о	3	11
86	все эти	2	11
87	это было	3	11
88	думаю что	1	10
89	не столько	1	10
90	в виду	1	10
91	так же	2	10
92	что такое	3	10
93	xix века	5	10
94	но он	1	10
95	во всех	3	10
96	в каком	1	10
97	в истории	3	10
98	но не	2	10
99	и к	5	9
100	можно сказать	1	9
101	говорит что	1	9
102	и это	2	9
103	в чем	1	9
104	во время	1	9
105	такого рода	2	9
106	времени и	2	9
107	и для	4	9
108	что мы	1	9
109	место в	2	9
110	но ведь	1	8
111	и даже	2	8
112	связано с	1	8
113	к которому	1	8
114	что она	2	8
115	могут быть	2	8
116	не имеет	4	8
117	и более	1	8
118	а также	1	8
119	такой же	2	8
120	и очень	1	7
121	по себе	1	7
122	в это	1	7
123	и сейчас	1	7
124	того же	1	7
125	в ее	3	7
126	что все	2	7
127	в эту	1	7
128	как это	2	7
129	раньше чем	1	7
130	нет никакого	1	7
131	то время	1	7
132	можно назвать	2	7
133	еще не	3	7
134	уже в	1	7
135	что этот	1	7
136	лишь в	6	7
137	же и	1	6
138	вот что	1	6
139	в жизни	5	6
140	говорить о	1	6
141	к нему	1	6
142	время как	2	6
143	же как	2	6
144	должно было	2	6
145	этом смысле	2	6
146	в себе	2	6
147	и все	4	6
148	времени не	1	6
149	том смысле	1	6
150	в известном	1	6
151	и во	1	6
152	начала xix	1	6
153	с его	6	6
154	мы не	2	6
155	по существу	2	6
