N	2gram	Medvedev_S	Komedia
1	и в	3	77
2	и не	1	47
3	в том	5	44
4	том что	2	42
5	о том	1	33
6	но и	2	32
7	может быть	2	30
8	таким образом	2	29
9	в то	1	28
10	и его	1	28
11	в этом	5	27
12	что он	1	26
13	не только	3	25
14	как и	1	23
15	что в	2	23
16	то же	2	21
17	в конце	2	21
18	так и	1	21
19	а в	1	21
20	в его	3	20
21	в этой	1	18
22	тем что	1	17
23	же время	1	17
24	еще не	2	17
25	все же	1	16
26	у него	1	16
27	не в	3	15
28	его в	1	15
29	между тем	1	15
30	один из	1	15
31	было бы	2	15
32	прежде всего	1	15
33	столь же	1	14
34	все это	7	14
35	ли не	1	14
36	в них	1	13
37	что она	1	13
38	то что	2	13
39	в котором	1	12
40	с другой	1	12
41	не может	1	12
42	но не	1	12
43	по отношению	2	11
44	с ним	1	11
45	на этот	1	11
46	в частности	2	11
47	с одной	1	10
48	в чем	1	10
49	как бы	2	10
50	и что	2	10
51	более чем	3	10
52	на основании	1	10
53	ничего не	1	10
54	мы не	1	10
55	тем более	2	10
56	в целом	1	10
57	в своей	1	9
58	одной стороны	1	9
59	тому что	1	9
60	только в	2	9
61	даже не	1	9
62	и по	1	9
63	вовсе не	1	9
64	отношению к	2	9
65	не было	1	8
66	бы в	1	8
67	связи с	1	8
68	место в	1	8
69	в результате	2	7
70	в этих	1	7
71	во всяком	1	7
72	хотя бы	1	7
73	в связи	1	7
74	всяком случае	1	7
75	для нас	3	7
76	отнюдь не	1	7
77	и о	1	7
78	конце концов	2	7
79	даже в	1	6
80	не дает	1	6
81	в силу	1	6
82	в сущности	1	6
83	главным образом	2	6
84	в области	1	6
85	и как	1	6
86	как будто	2	6
87	больше того	1	6
88	именно в	1	5
89	с помощью	1	5
90	тем же	1	5
91	никогда не	1	5
92	представить себе	1	5
93	и мы	2	5
94	в мире	1	5
95	между собой	1	5
96	в каждом	1	5
97	что это	1	5
98	за пределы	2	5
99	том как	1	5
100	конечно не	1	5
101	же самое	1	5
102	это не	1	5
103	же не	1	5
104	по существу	2	5
105	для этого	1	5
106	что на	1	5
107	из себя	1	4
108	может служить	1	4
109	к которому	2	4
110	между ними	1	4
111	образом в	1	4
112	наконец в	1	4
113	чуть ли	1	4
114	этой области	1	4
115	в свои	1	4
116	далеко не	2	4
117	бы он	1	4
118	по себе	1	3
119	конечном счете	1	3
120	настаивает на	1	3
121	только для	1	3
122	должно было	1	3
123	остается в	1	3
124	а с	1	3
125	ни одно	1	3
126	не один	1	3
127	и есть	1	3
128	не мешает	1	3
129	мы понимаем	1	3
130	друг от	1	3
131	и более	1	3
132	правда он	1	3
133	не без	1	3
134	на что	1	3
135	в виде	1	3
136	от друга	1	3
137	на все	1	3
138	и потому	1	3
139	он говорит	1	3
140	только как	2	3
141	стало быть	1	3
142	они не	1	3
143	право на	1	3
144	те же	1	2
145	работы в	1	2
146	как только	2	2
147	на первый	1	2
148	что все	1	2
149	систему его	1	2
150	в конечном	1	2
151	очевидно что	2	2
152	я и	1	2
153	слишком много	1	2
154	представляется нам	1	2
155	в смысле	2	2
156	в лучшем	1	2
157	вот в	1	2
158	стр и	1	2
159	наше время	1	2
160	должна быть	2	2
161	никак не	1	2
162	же теперь	1	2
163	перед нами	1	2
164	ввести в	2	2
165	быть не	1	2
166	именно на	1	2
167	дает нам	1	2
168	еще и	1	2
169	все эти	1	2
170	что эти	1	2
171	сказать и	1	2
172	первый план	1	2
173	и только	3	2
174	как же	3	2
175	она должна	1	2
176	это как	1	2
177	дело не	2	2
178	со своими	1	2
179	это дает	1	2
180	активным образом	1	1
181	или нет	1	1
182	только когда	1	1
183	первенство принадлежит	1	1
184	собой не	1	1
185	на следующий	1	1
186	теперь он	1	1
187	в данном	1	1
188	темы и	1	1
189	существу своему	1	1
190	а между	1	1
191	жизни он	1	1
192	точке зрения	1	1
193	поэта и	1	1
194	настоящее время	1	1
195	а вот	1	1
196	литературы на	1	1
197	нам право	1	1
198	эти вопросы	1	1
199	область философии	1	1
200	этот основной	1	1
201	из современных	1	1
202	время в	1	1
203	перейдет в	1	1
204	самым активным	1	1
205	или не	1	1
206	он ни	1	1
207	том и	1	1
208	можно принять	1	1
209	благодаря тому	1	1
210	но как	1	1
211	в сердцах	1	1
212	от окружающих	1	1
213	в наше	1	1
214	в область	1	1
215	идей и	2	1
216	бы они	1	1
217	в цельном	1	1
218	и затем	1	1
219	самому существу	1	1
220	а тем	1	1
221	крайней мере	1	1
222	это вовсе	1	1
223	так наз	1	1
224	как художественный	1	1
225	стоит только	1	1
226	в противном	1	1
227	и связывается	1	1
228	в него	1	1
229	нет а	1	1
230	и стало	1	1
231	жанра и	1	1
232	кто не	1	1
233	художественный организм	1	1
234	но только	1	1
235	все то	1	1
236	обходится без	1	1
237	и основательно	1	1
238	и будет	1	1
239	из тех	1	1
240	что таким	1	1
241	может не	1	1
242	автор не	1	1
243	по крайней	1	1
244	в любой	1	1
245	опирающегося на	1	1
246	какие же	1	1
247	нашей работы	1	1
248	развития и	1	1
249	свойств и	1	1
250	он по	1	1
251	подняться на	1	1
252	их между	2	1
253	это же	1	1
254	не из	1	1
255	мы еще	1	1
256	в настоящее	1	1
257	что автор	1	1
258	выходит за	1	1
259	этом не	1	1
260	же по	1	1
261	сама по	1	1
262	или даже	2	1
263	противном случае	1	1
264	не от	1	1
265	ибо по	1	1
266	мы должны	1	1
267	и справедливым	1	1
268	вопросов в	1	1
269	как то	1	1
270	не успела	1	1
271	всего не	1	1
272	не желая	1	1
273	их на	1	1
274	же это	1	1
275	творчества это	1	1
276	лучшем случае	1	1
277	трудно представить	1	1
278	и наконец	1	1
