N	4gram	Trubetskoy	Vvedenie
1	в то же время	2	6
2	не трудно видеть что	1	5
3	в широком смысле слова	1	4
4	дело в том что	1	3
5	состоит в том что	1	2
6	с этой точки зрения	1	2
7	то же самое что	1	2
8	заключается в том что	3	2
9	одно и то же	1	2
10	одной и той же	1	2
11	одного и того же	3	2
12	в том или ином	1	2
13	в целом ряде других	1	1
14	и для того чтобы	1	1
15	уже и без того	1	1
16	то для того чтобы	1	1
17	что с течением времени	1	1
18	разница лишь в том	1	1
19	в том что он	1	1
20	может быть и не	1	1
21	представление о том что	1	1
22	но с другой стороны	1	1
23	в нем не осталось	1	1
24	для того чтобы быть	2	1
25	бы то ни было	3	1
26	но вместе с тем	2	1
27	говоря уже о том	1	1
28	же самое что и	1	1
29	и в целом ряде	1	1
30	то что входит в	1	1
31	и в конце концов	1	1
32	лишь в том что	3	1
33	кто так или иначе	1	1
34	в том виде в	1	1
35	уже о том что	1	1
36	не говоря уже о	1	1
37	идет речь в общем	1	1
38	в том виде как	1	1
39	также и то что	1	1
40	в том же направлении	1	1
