N	2gram	Bakhtin_Fr	Dialekti
1	и не	25	120
2	и т	1	82
3	по себе	1	79
4	а не	6	78
5	и в	68	77
6	точки зрения	8	72
7	может быть	10	71
8	не только	21	66
9	то что	11	59
10	и есть	5	55
11	ничего не	4	54
12	не может	5	53
13	и даже	7	47
14	с точки	4	46
15	что это	4	46
16	есть нечто	1	46
17	так как	7	46
18	потому что	3	45
19	как бы	7	43
20	и что	2	42
21	ни в	6	42
22	не имеет	1	41
23	вовсе не	18	41
24	в том	12	40
25	в этом	28	39
26	то же	14	39
27	что такое	1	39
28	это есть	2	38
29	в себе	5	38
30	что он	7	37
31	том что	6	37
32	прежде всего	23	37
33	так что	1	36
34	это не	5	36
35	она есть	1	35
36	что в	14	34
37	в нем	12	34
38	и все	16	33
39	того что	3	33
40	но и	17	32
41	все это	6	31
42	сказать что	3	30
43	отнюдь не	1	30
44	и как	5	30
45	было бы	4	29
46	так и	8	29
47	как и	17	28
48	никогда не	2	27
49	в виду	8	26
50	не в	2	26
51	есть и	4	26
52	и то	2	25
53	есть не	1	25
54	но это	5	24
55	если бы	3	24
56	таким образом	22	23
57	в то	14	23
58	это и	4	23
59	что оно	1	23
60	и вот	4	23
61	но что	1	22
62	что не	1	21
63	в чем	3	21
64	и с	15	20
65	о том	5	20
66	что и	3	20
67	что все	2	20
68	в таком	2	20
69	только в	9	20
70	совершенно не	1	20
71	только тогда	1	20
72	уже не	2	20
73	как раз	8	20
74	и вообще	3	20
75	в самом	6	19
76	не менее	2	19
77	в своем	11	19
78	как же	1	19
79	и притом	1	19
80	и это	5	19
81	как это	1	19
82	тогда когда	1	19
83	что мы	1	19
84	и его	26	19
85	же время	13	18
86	хотя бы	2	18
87	не что	1	18
88	с другой	8	18
89	что иное	1	18
90	жизни и	6	18
91	иное как	1	18
92	в особенности	6	17
93	можно сказать	2	17
94	в сущности	15	17
95	той или	2	17
96	должно быть	1	17
97	в основе	7	17
98	но если	1	17
99	кроме того	5	16
100	одно и	1	16
101	к нему	4	16
102	только не	1	16
103	само по	1	16
104	в своей	11	16
105	да и	2	16
106	нет ничего	1	16
107	конечно не	4	16
108	мы не	3	16
109	об этом	3	16
110	другими словами	4	16
111	же и	4	15
112	только что	1	15
113	ровно ничего	1	15
114	все же	6	15
115	так же	3	15
116	то в	2	15
117	и мы	2	15
118	несмотря на	1	15
119	мы уже	19	15
120	но только	2	15
121	самом деле	5	15
122	хотя и	2	15
123	сознания и	1	15
124	в виде	2	15
125	также и	6	15
126	быть и	2	15
127	и о	5	15
128	на то	1	15
129	а именно	1	14
130	есть то	1	14
131	даже и	3	14
132	с ним	3	14
133	не было	7	14
134	и ее	3	14
135	ни с	1	14
136	жизнь и	2	14
137	на свете	2	14
138	и потому	6	14
139	и только	1	14
140	и к	4	13
141	говорит о	2	13
142	другой стороны	5	13
143	отличается от	1	13
144	что они	3	13
145	время как	1	13
146	и следовательно	3	13
147	в смысле	1	13
148	он не	11	13
149	и та	1	13
150	с ее	1	13
151	но в	20	13
152	мы находим	3	13
153	в ней	6	13
154	вы не	4	13
155	именно в	5	12
156	с этим	2	12
157	но как	5	12
158	но не	4	12
159	никак не	3	12
160	не могут	1	12
161	перед нами	4	12
162	еще не	3	12
163	и если	2	12
164	и тут	2	12
165	все равно	1	12
166	все эти	16	12
167	а в	3	12
168	в них	19	11
169	от всего	1	11
170	в данном	5	11
171	только на	4	11
172	что я	2	11
173	быть в	2	11
174	и тем	1	11
175	должны быть	2	11
176	из них	8	11
177	тех или	2	11
178	не значит	1	11
179	себе не	1	11
180	думают что	1	11
181	от того	1	11
182	ничем не	1	11
183	мы имеем	2	11
184	или в	3	11
185	есть в	1	11
186	нисколько не	1	11
187	только то	2	11
188	в одну	1	11
189	во всем	4	10
190	если вы	1	10
191	одно из	3	10
192	в результате	1	10
193	в жизни	1	10
194	во всяком	2	10
195	для того	5	10
196	на себе	1	10
197	в меру	1	10
198	мы видим	9	10
199	в ее	5	10
200	от этого	2	10
201	себе и	1	10
202	и для	6	10
203	что для	2	10
204	времени и	5	10
205	в его	21	10
206	в их	6	10
207	это было	2	10
208	в частности	4	10
209	как мы	18	10
210	бытия и	1	10
211	как будто	2	10
212	и уже	1	10
213	при этом	5	9
214	тому что	1	9
215	не как	1	9
216	быть может	2	9
217	в этих	8	9
218	и на	16	9
219	мир и	2	9
220	в котором	3	9
221	в противоположность	2	9
222	в одном	7	9
223	превращается в	4	9
224	и он	2	9
225	не нуждается	1	9
226	же как	1	9
227	на этом	3	9
228	и по	4	9
229	подобно тому	2	9
230	с ними	4	9
231	то время	1	9
232	как о	2	9
233	и более	2	9
234	той же	9	9
235	всех этих	5	9
236	и от	4	9
237	или иной	2	9
238	смысл и	2	9
239	имеется в	2	9
240	как он	4	9
241	лишь как	1	9
242	в истории	5	9
243	о чуде	1	9
244	тому как	2	9
245	она всегда	1	8
246	даже в	4	8
247	в разных	3	8
248	в отношении	3	8
249	вопрос об	1	8
250	но все	5	8
251	в дальнейшем	4	8
252	уже и	2	8
253	всегда и	1	8
254	нет и	1	8
255	все время	3	8
256	себя в	2	8
257	с одной	5	8
258	ни от	2	8
259	и чисто	1	8
260	что эта	2	8
261	в этой	15	8
262	в одной	3	8
263	один из	9	8
264	и из	1	8
265	науки и	1	8
266	не на	2	8
267	но вот	1	8
268	у меня	2	8
269	при помощи	1	8
270	у нас	4	8
271	на самом	7	8
272	бы и	1	8
273	как нечто	3	8
274	если она	1	8
275	все что	4	7
276	как она	2	7
277	тем что	6	7
278	но он	9	7
279	мира и	4	7
280	на первый	1	7
281	и образ	2	7
282	тело и	1	7
283	не всегда	1	7
284	как на	3	7
285	он сам	1	7
286	что уже	2	7
287	и сама	2	7
288	это конечно	1	7
289	связи с	8	7
290	не знает	1	7
291	но для	1	7
292	в конце	8	7
293	в связи	7	7
294	в мире	6	7
