N	2gram	Savitsky_E	IolandNe
1	и с	2	3
2	что в	21	2
3	он не	2	2
4	и не	14	2
5	в этом	12	2
6	говорить о	1	1
7	все эти	1	1
8	для того	6	1
9	а в	2	1
10	и о	1	1
11	и со	3	1
12	и та	2	1
13	что для	1	1
14	для него	1	1
15	вплоть до	1	1
16	при такой	1	1
17	тех же	1	1
18	тем что	3	1
19	бы столь	1	1
20	от нее	1	1
21	а если	1	1
22	когда его	1	1
23	того же	3	1
24	с а	2	1
25	жизни и	2	1
26	с другой	7	1
27	но когда	1	1
28	более чем	2	1
29	значительной мере	1	1
30	очевидно что	3	1
31	в эту	2	1
32	другой стороны	2	1
33	то и	1	1
34	и еще	2	1
35	что при	1	1
36	если бы	2	1
37	доказать что	1	1
38	и сам	1	1
39	того что	7	1
40	цель и	1	1
41	иной как	1	1
42	не кто	1	1
43	так то	1	1
44	в брошюре	1	1
45	и тот	1	1
46	а также	7	1
47	так и	10	1
48	в основе	1	1
49	в значительной	2	1
50	от этого	5	1
51	та и	1	1
52	того чтобы	6	1
53	и творчества	2	1
54	а для	1	1
55	бы в	2	1
56	не дает	3	1
57	есть только	1	1
58	и в	37	1
59	никогда не	3	1
60	кто иной	1	1
61	по отношению	1	1
62	то она	1	1
63	в них	3	1
64	во многом	2	1
