N	3gram	Savitsky_E	Sovremen
1	мы не можем	1	6
2	с точки зрения	16	5
3	не может быть	2	4
4	мы видели что	1	3
5	не может не	1	3
6	друг с другом	3	2
7	в свою очередь	2	2
8	каждого из них	1	2
9	через некоторое время	1	2
10	во всяком случае	3	2
11	в отличие от	1	2
12	только одна возможность	1	2
13	может быть и	1	2
14	в данной области	2	1
15	не будет ли	1	1
16	то ни было	4	1
17	не может дать	1	1
18	в том что	6	1
19	один и тот	1	1
20	не более как	1	1
21	дело идет о	2	1
22	не могут быть	1	1
23	одной стороны и	6	1
24	и в начале	1	1
25	представление о том	1	1
26	ли он в	1	1
27	и тот же	1	1
28	в этом периоде	1	1
29	одна и та	1	1
30	и та же	1	1
31	физические и химические	1	1
32	в связи с	1	1
33	дело в том	1	1
34	в том случае	1	1
35	той или иной	4	1
36	в данном случае	2	1
37	и не было	1	1
38	что произошло в	1	1
39	и прежде всего	3	1
40	это значит что	1	1
41	с одной стороны	8	1
42	как одной из	1	1
43	в известном смысле	3	1
44	так же как	5	1
45	то же время	14	1
46	в то же	15	1
47	бы то ни	4	1
48	заключает в себе	3	1
49	силы в таком	1	1
50	на этот раз	1	1
51	на этот вопрос	1	1
52	и в этом	4	1
53	можно было бы	3	1
54	в этом смысле	3	1
55	в западной европе	1	1
56	и в то	8	1
57	в себе в	1	1
