N	3gram	Vygotskiy_	Myslijsy
1	в том что	24	47
2	по отношению к	9	26
3	не может быть	6	19
4	заключает в себе	2	19
5	тем не менее	4	18
6	только тогда когда	1	17
7	сам по себе	2	14
8	само по себе	1	14
9	в свою очередь	3	14
10	то же время	1	13
11	от того что	2	13
12	в том смысле	2	13
13	в то же	2	13
14	смысле этого слова	4	12
15	с другой стороны	3	12
16	и в этом	2	12
17	до сих пор	6	12
18	только в том	2	12
19	во всяком случае	1	12
20	для того чтобы	24	11
21	подобно тому как	2	11
22	в то время	8	10
23	с одной стороны	7	10
24	потому что в	1	9
25	одного и того	3	9
26	и того же	3	9
27	потому что не	1	9
28	то и другое	4	9
29	на то что	5	9
30	но и в	1	9
31	о том что	4	9
32	до тех пор	1	9
33	мы не можем	3	9
34	не могут быть	3	9
35	что и в	1	9
36	так и в	1	8
37	вместе с тем	6	8
38	было бы невозможно	1	8
39	на самом деле	2	8
40	только потому что	3	8
41	в этом случае	15	8
42	с тем что	1	8
43	в этом смысле	2	7
44	и то же	3	7
45	не только не	11	7
46	сама по себе	1	7
47	в слове и	1	7
48	с точки зрения	31	7
49	как и в	4	7
50	можно сказать что	7	7
51	не в состоянии	1	7
52	и той же	5	7
53	одно и то	3	7
54	одной и той	5	7
55	не только в	2	7
56	может быть не	1	6
57	друг от друга	3	6
58	вместе с этим	1	6
59	то же самое	11	6
60	то что мы	3	6
61	то тем самым	1	6
62	и может быть	1	6
63	с самого начала	13	6
64	после того как	1	6
65	потому что как	1	5
66	таким образом что	1	5
67	с тем и	2	5
68	и таким образом	1	5
69	к тому что	10	5
70	не только по	1	5
71	языка и его	1	5
72	то что в	1	5
73	смотреть как на	1	5
74	таким образом в	2	5
75	что если бы	1	5
76	в ряду других	2	5
77	и то что	5	5
78	мы видели что	3	4
79	что мы не	1	4
80	в том же	3	4
81	но и по	1	4
82	том смысле что	2	4
83	в собственном смысле	4	4
84	с этой точки	4	4
85	в данном случае	5	4
86	но не в	1	4
87	зависит от того	1	4
88	то время когда	1	4
89	в том и	3	4
90	лишь тогда когда	1	4
91	и тем же	2	4
92	в живой речи	1	4
93	в том чтобы	1	4
94	слово может быть	1	4
95	могут быть названы	1	4
96	на этот вопрос	1	4
97	тех и других	4	4
98	не что иное	1	4
99	одним и тем	2	4
100	так что в	2	4
101	с таким образом	1	4
102	и то и	1	4
103	и что в	1	4
104	что иное как	1	4
105	в этом отношении	7	4
106	вопрос о том	1	4
107	то время как	7	4
108	точно так же	3	3
109	что он не	1	3
110	если б мы	1	3
111	тех пор пока	1	3
112	одной стороны и	4	3
113	до известной степени	2	3
114	и связанное с	1	3
115	в большинстве случаев	2	3
116	того как мы	1	3
117	том и другом	2	3
118	мы тем самым	1	3
119	возможно только в	1	3
120	том что он	2	3
121	ничего общего с	1	3
122	в первом случае	5	3
123	если бы мы	1	3
124	и том же	3	3
125	и тем самым	8	3
126	а потому что	1	3
127	по себе и	1	3
128	том что оно	3	3
129	одном и том	3	3
130	но так как	1	3
131	таким образом мы	2	3
132	представим себе что	1	3
133	только после того	1	3
134	заключается в том	9	3
135	того что мы	1	3
136	что то же	1	3
137	с и след	1	3
138	внимание на то	2	3
139	так как оно	1	3
140	не может стать	1	3
141	из того что	5	3
142	потому что он	4	3
143	можно было бы	5	3
144	есть то что	1	3
145	которые могут быть	1	3
146	этой точки зрения	4	3
147	на первых порах	3	3
148	но с другой	1	3
149	оно не имеет	2	2
150	самих по себе	1	2
151	том что это	1	2
152	но вместе с	2	2
153	в себе в	2	2
154	заключать в себе	2	2
155	о том как	1	2
156	должны бы были	1	2
157	и тогда когда	2	2
158	что оно не	1	2
159	потому что его	1	2
160	у нас в	1	2
161	в приведенном выше	1	2
162	главным образом в	1	2
163	одного к другому	1	2
164	отношение слова к	3	2
165	то к чему	1	2
166	и во всех	2	2
167	друг на друга	2	2
168	есть такая же	1	2
169	то что она	1	2
170	но при этом	1	2
171	что при таком	1	2
172	словом и мыслью	1	2
173	не только о	1	2
174	тогда когда мы	1	2
175	в его сознании	1	2
176	что как бы	1	2
177	есть прежде всего	1	2
178	его связь с	1	2
179	не иначе как	6	2
180	и по отношению	1	2
181	могут быть выражены	1	2
182	в начале развития	3	2
183	имеет дело с	1	2
184	в сознании слушающего	1	2
185	очевидно что в	1	2
186	нельзя сказать что	1	2
187	в образовании новых	1	2
188	мысль о необходимости	1	2
189	и там где	2	2
190	что происходит в	1	2
191	состоит в том	3	2
192	но все же	1	2
193	это значит что	1	2
194	в слове есть	1	2
195	в целом и	1	2
196	не прямо а	1	2
197	от одного к	1	2
198	так как в	2	2
199	же самое что	3	2
200	и не может	2	2
201	мы имеем дело	2	2
202	может и не	1	2
203	то что делает	1	2
204	того что она	1	2
205	мы не имеем	1	2
206	силу того что	6	2
207	ко всем другим	1	2
208	друг к другу	3	2
209	но и для	1	2
210	не только для	1	2
211	мы видели выше	1	2
212	подлежащего и сказуемого	2	2
213	в силу того	6	2
214	то же слово	1	2
215	здесь как и	1	2
216	и в отношении	1	2
217	при других условиях	1	2
218	не потому что	1	2
219	не только к	1	2
220	а следовательно и	1	2
221	того и другого	2	2
222	в своем развитии	1	2
223	друг другу и	1	2
224	иначе как в	1	2
