N	4gram	Savitsky_E	Vladivir
1	дело в том что	1	11
2	в то же время	14	9
3	и в то же	8	5
4	в то время как	1	5
5	не говоря уже о	1	4
6	и в этом смысле	2	4
7	только в том случае	1	3
8	заключается в том что	2	3
9	на то что в	1	2
10	один и тот же	1	2
11	с одной стороны и	6	2
12	в связи с этим	1	2
13	бы то ни было	4	2
14	в том случае если	1	2
15	но в то же	2	2
16	не может быть речи	1	1
17	само по себе не	2	1
18	как не может быть	1	1
19	с этой точки зрения	5	1
20	указать на то что	1	1
21	не говоря уже об	1	1
22	может быть речи о	1	1
23	тогда как и теперь	1	1
24	и то и другое	1	1
25	в последнее время в	1	1
26	так же как и	3	1
27	которые можно было бы	1	1
28	для нас между прочим	1	1
