N	4gram	Potebnia_M	Tvorches
1	в то же время	8	24
2	дело в том что	1	4
3	и не может быть	1	3
4	нет и не может	1	2
5	заключается в том что	1	2
6	не что иное как	1	1
7	в том смысле что	2	1
8	все более и более	1	1
9	одна и та же	2	1
10	то по крайней мере	1	1
11	и если так можно	1	1
12	по себе а как	1	1
13	бы он ни был	1	1
14	одного и того же	2	1
15	лишь в том что	1	1
16	в том что это	1	1
17	а вместе с тем	1	1
18	и в самом деле	1	1
19	по мере приближения к	1	1
20	до сих пор еще	1	1
21	бы то ни было	1	1
22	в том что этот	1	1
23	если так можно выразиться	1	1
24	и в свою очередь	1	1
