N	4gram	Propp_Russ	Freidism
1	на самом же деле	2	2
2	мы не можем конечно	1	1
3	в целом ряде других	1	1
4	но тем не менее	2	1
5	в такой же степени	1	1
6	приходит к выводу что	1	1
7	как мы уже знаем	2	1
8	одни и те же	1	1
9	бросается в глаза при	1	1
10	и один из них	1	1
11	первое что бросается в	1	1
12	ничего общего не имеет	1	1
13	это не совсем так	1	1
14	в том что в	6	1
15	и у нас в	1	1
16	можно сделать вывод что	1	1
17	говорит о том что	1	1
18	не что иное как	3	1
19	во всяком случае не	1	1
20	что бросается в глаза	1	1
21	пойти в двух направлениях	1	1
22	а может быть и	1	1
