N	2gram	Berdyaev_N	Vvedenie
1	в том	8	38
2	в этом	7	35
3	и в	16	35
4	может быть	7	30
5	том что	2	30
6	не только	5	26
7	для того	1	23
8	того чтобы	2	22
9	не может	16	19
10	то что	4	19
11	потому что	4	18
12	но также	1	16
13	только в	1	16
14	о том	4	16
15	так как	1	15
16	что в	9	13
17	в самом	1	13
18	и не	11	13
19	в нем	5	13
20	в его	1	12
21	что такое	3	12
22	как на	1	12
23	в ее	3	11
24	по себе	1	11
25	этом смысле	2	11
26	прежде всего	4	10
27	не в	6	10
28	вопрос о	3	10
29	в той	1	10
30	но в	2	10
31	из этих	1	9
32	но не	2	9
33	не менее	4	9
34	в истории	3	9
35	это не	4	8
36	можно было	2	8
37	с другой	3	8
38	до сих	1	7
39	смысле слова	3	7
40	как и	7	7
41	но и	3	7
42	сих пор	1	7
43	было бы	1	7
44	о природе	1	7
45	все это	5	6
46	не могут	1	6
47	тем что	1	6
48	с тем	3	6
49	вместе с	2	6
50	и это	2	6
51	уже не	2	6
52	и даже	2	6
53	хотя бы	2	6
54	и что	2	6
55	как например	1	6
56	сказать что	3	6
57	могут быть	2	6
58	том чтобы	2	6
59	но если	1	6
60	и его	1	6
61	в то	2	6
62	а в	2	6
63	уже в	1	5
64	хотя и	2	5
65	в виду	1	5
66	другой стороны	2	5
67	с их	2	5
68	в них	4	5
69	что не	1	5
70	не есть	3	5
71	что он	1	5
72	от этого	1	5
73	по своему	4	5
74	культуры в	5	5
75	во всяком	1	5
76	а не	17	5
77	говорить о	1	5
78	есть и	1	5
79	быть в	2	5
80	как это	2	5
81	всяком случае	1	5
82	в более	1	4
83	в центре	2	4
84	с одной	2	4
85	в себе	2	4
86	особого рода	1	4
87	но все	1	4
88	в котором	1	4
89	но ведь	1	4
90	в своей	3	4
91	в чем	1	4
92	должен быть	5	4
93	к тому	3	4
94	чтобы понять	1	4
95	еще не	3	4
96	не имеет	4	4
97	времени и	2	4
98	и заключается	2	4
99	одной стороны	2	4
100	связана с	2	4
101	отличие от	1	4
102	истории и	9	4
103	в отличие	1	4
104	можно сказать	1	4
105	в области	1	4
106	все более	1	4
107	и для	4	4
108	из них	1	4
109	своего рода	1	3
110	и к	5	3
111	с этим	2	3
112	и на	2	3
113	зависит от	2	3
114	такого рода	2	3
115	в сущности	1	3
116	в этих	1	3
117	а также	1	3
118	в силу	1	3
119	мы говорим	2	3
120	нет надобности	1	3
121	в конце	1	3
122	вообще не	1	3
123	как в	3	3
124	зависимости от	1	3
125	в известном	1	3
126	в каком	1	3
127	есть еще	1	3
128	и того	1	3
129	все эти	2	3
130	то это	1	3
131	и есть	10	3
132	духовной жизни	2	3
133	своей природе	1	3
134	в значительной	1	3
135	же как	2	3
136	совсем не	12	3
137	в ней	5	3
