N	3gram	Savitsky_P	StatiiOP
1	в том что	4	47
2	и т д	1	32
3	для того чтобы	1	19
4	с точки зрения	3	14
5	с другой стороны	1	13
6	во всяком случае	1	13
7	не может быть	1	11
8	то же время	7	9
9	вместе с тем	1	9
10	в то же	7	9
11	не только в	4	8
12	не в том	1	7
13	но также и	1	7
14	заключается в том	2	7
15	и в этом	1	7
16	так же как	1	6
17	в этом смысле	1	6
18	том что в	1	6
19	за то что	1	5
20	но и в	2	5
21	в применении к	1	4
22	сами по себе	3	4
23	с одной стороны	3	4
24	тем более что	1	4
25	в том числе	2	3
26	более или менее	1	3
27	нет сомнения что	1	3
28	можно судить по	1	3
29	во многих случаях	1	3
30	и пр в	1	3
31	нет никакого сомнения	1	3
32	в известном смысле	1	3
33	в каком смысле	1	3
34	в эту эпоху	1	2
35	хотя бы и	1	2
36	том числе и	1	2
37	если бы мы	1	2
38	и в то	2	2
39	в отличие от	1	2
40	только в виде	1	2
41	что в этом	1	2
42	чуть ли не	1	2
43	в наших глазах	1	2
44	тех пор пока	1	2
45	во всей полноте	1	2
46	в настоящее время	1	2
47	до тех пор	1	2
48	далеко не все	1	2
49	но в то	1	2
50	и то что	1	2
51	русской литературы и	1	1
52	в последние годы	1	1
53	в большинстве случаев	1	1
54	и с этим	1	1
55	по сравнению с	1	1
56	том что русская	1	1
57	к л а	2	1
58	в собственном смысле	1	1
59	было бы неправильно	1	1
60	и если бы	2	1
61	в отношении к	5	1
62	само по себе	1	1
63	о котором говорит	1	1
64	на пути к	1	1
65	и к л	2	1
66	с величайшим трудом	1	1
67	образ россии как	1	1
68	но также в	1	1
69	очень и очень	1	1
70	никакого сомнения что	1	1
71	что с точки	1	1
72	и в качестве	1	1
73	собою как бы	1	1
74	и не может	1	1
75	в с т	2	1
76	между тем в	1	1
77	в значительной мере	2	1
78	и духовные ценности	1	1
79	и именно в	1	1
80	что в момент	1	1
81	с с и	1	1
82	но в общем	1	1
83	и в частности	1	1
84	и более чем	1	1
85	только в ней	1	1
86	к о в	1	1
87	можно думать что	1	1
88	в том виде	1	1
89	что из всех	1	1
90	и не только	2	1
91	тот или иной	1	1
