N	4gram	Propp_Isto	Freidism
1	один и тот же	1	3
2	и не может быть	1	3
3	в зависимости от того	1	2
4	в том что он	1	2
5	бы то ни было	1	2
6	но тем не менее	2	1
7	все больше и больше	2	1
8	от того в какой	1	1
9	как мы уже знаем	1	1
10	мы видим таким образом	1	1
11	мы уже знаем что	4	1
12	не нуждается ни в	1	1
13	нуждается ни в каких	1	1
14	это не совсем так	1	1
15	заранее обречены на неудачу	1	1
16	во всяком случае в	1	1
17	в данном случае в	1	1
18	друг с другом и	1	1
19	говорит о том что	1	1
20	же мы имеем в	1	1
21	вступивший в противоречие с	1	1
22	видим таким образом что	1	1
23	во всяком случае не	1	1
24	мотив вступивший в противоречие	1	1
25	ответ на этот вопрос	1	1
