N	2gram	Savitsky_P	VLabPisa
1	в этом	10	29
2	не только	17	26
3	и в	14	26
4	и т	3	25
5	может быть	5	23
6	и не	12	20
7	хотя бы	8	20
8	т е	3	18
9	не может	4	17
10	т д	1	16
11	в его	2	15
12	в том	9	15
13	в силу	2	14
14	все это	2	13
15	прежде всего	3	13
16	в качестве	9	12
17	в частности	2	12
18	что в	4	11
19	с другой	5	11
20	из них	2	11
21	то же	9	10
22	но и	6	10
23	могут быть	3	8
24	другой стороны	1	8
25	только в	7	8
26	на основании	1	8
27	вместе с	1	8
28	том что	4	8
29	было бы	6	8
30	в своем	4	8
31	в основном	1	7
32	это не	3	7
33	не было	2	7
34	как и	1	7
35	во всех	2	7
36	а не	2	7
37	то что	4	7
38	главным образом	2	7
39	же в	4	7
40	в нем	3	7
41	из этих	1	7
42	думается что	1	6
43	более или	1	6
44	в порядке	3	6
45	все же	1	6
46	идеи и	1	6
47	бы и	1	6
48	не в	5	6
49	между тем	3	6
50	в себе	3	6
51	или менее	1	6
52	в то	7	6
53	в результате	1	5
54	в них	2	5
55	следует понимать	1	5
56	на основе	1	5
57	и при	1	5
58	в пределах	8	5
59	же время	7	5
60	как бы	4	5
61	и есть	2	5
62	никогда не	1	5
63	в самом	1	4
64	только что	1	4
65	вот как	1	4
66	в ее	2	4
67	как раз	2	4
68	в этой	1	4
69	что все	1	4
70	с тем	3	4
71	с ними	3	4
72	должен быть	1	4
73	с его	1	4
74	в философии	1	4
75	одна из	2	4
76	отнюдь не	2	4
77	и ее	1	4
78	в статье	2	4
79	и к	4	3
80	что оно	1	3
81	этой области	1	3
82	мы знаем	1	3
83	того что	2	3
84	никак не	2	3
85	но как	1	3
86	что и	1	3
87	сводится к	3	3
88	его в	1	3
89	творчества и	2	3
90	если бы	4	3
91	именно в	2	3
92	или иная	1	3
93	например в	2	3
94	и как	3	3
95	в которых	5	3
96	в явлении	1	3
97	с этим	2	3
98	и мир	1	3
99	а в	4	3
100	что не	1	3
101	в котором	4	3
102	она не	1	3
103	в значительной	2	3
104	того чтобы	1	3
105	для того	3	3
106	так называемые	2	3
107	и образы	1	3
108	вслед за	3	3
109	далеко не	1	3
110	так же	1	3
111	в творчестве	1	3
112	как на	2	3
113	та или	1	3
114	точки зрения	3	3
115	и по	1	3
116	значительной мере	2	3
117	а н	5	3
118	к сожалению	1	2
119	представить себе	1	2
120	у каждого	1	2
121	они не	1	2
122	если в	2	2
123	также что	1	2
124	должно быть	2	2
125	эта не	1	2
126	с одной	3	2
127	том числе	2	2
128	должна быть	1	2
129	тогда когда	1	2
130	говорить о	2	2
131	да и	2	2
132	хотя и	3	2
133	к а	1	2
134	подчеркнуть что	1	2
135	многие из	1	2
136	что при	1	2
137	а затем	1	2
138	и через	1	2
139	и достоевский	1	2
140	для них	2	2
141	не столько	2	2
142	по себе	4	2
143	частности в	1	2
144	и слова	1	2
145	в которой	1	2
146	не о	2	2
147	что его	1	2
148	мысль о	2	2
149	но не	3	2
150	в ней	6	2
151	в жизни	2	2
152	представляют собою	1	2
153	эти явления	1	2
154	по одному	1	2
155	же как	1	2
156	между прочим	2	2
157	что мы	3	2
158	не вполне	1	2
159	не менее	2	2
160	ли не	1	2
161	может не	1	2
162	на то	1	2
163	числе и	1	2
164	но к	2	2
165	еще не	1	2
166	в каждом	1	2
167	во всяком	1	2
168	и потому	4	2
169	и быть	1	2
170	было в	2	2
171	всяком случае	1	2
172	одной стороны	3	2
173	также и	1	2
174	связана с	1	2
175	не с	1	2
176	не об	1	2
177	в различных	1	2
178	идеи в	1	2
179	стороны и	2	2
180	только то	1	2
181	знаем что	1	2
182	как известно	1	2
183	к ним	1	2
